occurrence_id	page	locus	line_number	token_index	surface	head	written_i_minims	working_value	working_roman	section	language	hand	triple_reading_token_stable	working_default_de	whole_word_status	surface_line
G626-M00004	f100r	f100r.13	13	7	daiin	da	2	3	III	P	A	1	0	d-Wert III; lokal Mengen-/Gradmarker	NICHT_ALS_OPERATION_ODER_UND_LESEN__D_HEAD_OFFEN	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol
G626-M00008	f100r	f100r.25	25	4	daiin	da	2	3	III	P	A	1	1	d-Wert III; lokal Mengen-/Gradmarker	NICHT_ALS_OPERATION_ODER_UND_LESEN__D_HEAD_OFFEN	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G626-M00010	f100v	f100v.14	14	8	daiin	da	2	3	III	P	A	1	1	d-Wert III; lokal Mengen-/Gradmarker	NICHT_ALS_OPERATION_ODER_UND_LESEN__D_HEAD_OFFEN	deey sheocphy qoteody ckhoor ar chor oteey daiin qokomo
G626-M00012	f100v	f100v.22	22	1	daiin	da	2	3	III	P	A	1	1	d-Wert III; lokal Mengen-/Gradmarker	NICHT_ALS_OPERATION_ODER_UND_LESEN__D_HEAD_OFFEN	daiin cheky chory
G626-M00019	f102r1	f102r1.5	5	10	dain	da	1	2	II	P	A	1	0	d-Wert II; lokal Mengen-/Gradmarker	NICHT_ALS_OPERATION_ODER_UND_LESEN__D_HEAD_OFFEN	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain
G626-M00020	f102r1	f102r1.6	6	1	daiin	da	2	3	III	P	A	1	0	d-Wert III; lokal Mengen-/Gradmarker	NICHT_ALS_OPERATION_ODER_UND_LESEN__D_HEAD_OFFEN	daiin ykeeol oldy okodaiin
G626-M00023	f102r1	f102r1.8	8	5	daiin	da	2	3	III	P	A	1	1	d-Wert III; lokal Mengen-/Gradmarker	NICHT_ALS_OPERATION_ODER_UND_LESEN__D_HEAD_OFFEN	pshodaiin qoorar chopy chofol daiin oteol qoteol doly
G626-M00024	f102r1	f102r1.9	9	1	daiin	da	2	3	III	P	A	1	0	d-Wert III; lokal Mengen-/Gradmarker	NICHT_ALS_OPERATION_ODER_UND_LESEN__D_HEAD_OFFEN	daiin orsheoldy qokeol oteeody lshodykeodal qokshdy sy
G626-M00027	f102r1	f102r1.15	15	3	daiin	da	2	3	III	P	A	1	0	d-Wert III; lokal Mengen-/Gradmarker	NICHT_ALS_OPERATION_ODER_UND_LESEN__D_HEAD_OFFEN	or chol daiin dykeor sheey qokeody dor os ykeeykam
G626-M00035	f102v1	f102v1.11	11	8	daiin	da	2	3	III	P	A	1	1	d-Wert III; lokal Mengen-/Gradmarker	NICHT_ALS_OPERATION_ODER_UND_LESEN__D_HEAD_OFFEN	sol chol qooiin qokol cheol chey kolcheey daiin cheody dy
