reading	reading_role	working_value	working_roman	occurrences	surfaces	pages	loci
ZL3b	ALTERNATE_MANUSCRIPT_READING	1	I	102	46	57	93
ZL3b	ALTERNATE_MANUSCRIPT_READING	2	II	1565	249	157	1113
ZL3b	ALTERNATE_MANUSCRIPT_READING	3	III	3404	409	179	2151
ZL3b	ALTERNATE_MANUSCRIPT_READING	4	IV	105	33	61	98
IT2a	ALTERNATE_MANUSCRIPT_READING	1	I	107	50	62	98
IT2a	ALTERNATE_MANUSCRIPT_READING	2	II	1598	256	157	1124
IT2a	ALTERNATE_MANUSCRIPT_READING	3	III	3382	423	179	2143
IT2a	ALTERNATE_MANUSCRIPT_READING	4	IV	99	33	54	92
RF1b	ALTERNATE_MANUSCRIPT_READING	1	I	99	43	57	90
RF1b	ALTERNATE_MANUSCRIPT_READING	2	II	1543	243	157	1103
RF1b	ALTERNATE_MANUSCRIPT_READING	3	III	3363	412	179	2135
RF1b	ALTERNATE_MANUSCRIPT_READING	4	IV	103	29	61	96
