compound_id	page	locus	token_index	surface	wrapper	wrapper_class	thermal	moisture	frame_markers	state_id	working_quality_de	working_value	working_roman	working_compound_de	section	triple_reading_token_stable	surface_line
G626-Q0001	f106r	f106r.46	1	sotchdaiin	so	EXTENDED	t	ch	d	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	S	1	sotchdaiin shodaiin otedy qokeedy qokaiin ykar qokain cheedy lol
G626-Q0002	f106v	f106v.26	3	kshdain	BARE	BARE	k	sh	d	KSH	heiß-feucht	2	II	heiß-feucht, Grad II	S	0	tar air kshdain okal chdy lchedy kshar chopchy otches aral opchdy
G626-Q0003	f10r	f10r.7	4	kchaiin	BARE	BARE	k	ch	BARE	KCH	heiß-trocken	3	III	heiß-trocken, Grad III	H	0	dchy qokchol y kchaiin yty daiin cth dain dair am
G626-Q0004	f112r	f112r.41	6	okchaiin	o	O	k	ch	BARE	KCH	heiß-trocken	3	III	heiß-trocken, Grad III	S	1	yshesy alain cheey okchey qokchy okchaiin ykeeor okeey ory
G626-Q0005	f113r	f113r.25	5	kchdaiin	BARE	BARE	k	ch	d	KCH	heiß-trocken	3	III	heiß-trocken, Grad III	S	1	pchedair shotedy qopchody chfchol kchdaiin chpchshdy rair shedy qokchey sairy
G626-Q0006	f113v	f113v.15	5	otcheedaiin	o	O	t	ch	eed	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	S	0	ar ar okeey oeky otcheedaiin ol tchdy pcheol kcheor aiin cheey qokaram
G626-Q0007	f114r	f114r.7	7	okchedaiin	o	O	k	ch	ed	KCH	heiß-trocken	3	III	heiß-trocken, Grad III	S	1	cheol dchedy dkchs aiin chdedy qodaiin okchedaiin chain
G626-Q0008	f114r	f114r.24	1	tchedaiin	BARE	BARE	t	ch	ed	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	S	1	tchedaiin oldal chor chpcheey chcphey cphochy chos aiir chty chopo sair cphy dair
G626-Q0009	f114r	f114r.32	6	otchedain	o	O	t	ch	ed	TCH	kalt-trocken	2	II	kalt-trocken, Grad II	S	1	tcheodaiin chaiin qokaiin otaiin otalkain otchedain qotcho chdy dair qotar
G626-Q0010	f114r	f114r.39	2	cheoltchedaiin	cheol	EXTENDED	t	ch	ed	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	S	1	todaiin cheoltchedaiin daiin okar qoeedain qcho oeda opchedy qetchar
G626-Q0011	f114v	f114v.20	1	tshedain	BARE	BARE	t	sh	ed	TSH	kalt-feucht	2	II	kalt-feucht, Grad II	S	1	tshedain qotchody qokol shedy qokchedy daiin qofchdar chdor chdy dary
G626-Q0012	f115r	f115r.33	11	chokchaiin	cho	EXTENDED	k	ch	BARE	KCH	heiß-trocken	3	III	heiß-trocken, Grad III	S	0	y cheey qotaiin chokeeey chckhey qoky aiin cheey lkeedy oky chokchaiin
G626-Q0013	f115v	f115v.6	4	qokchdain	qo	QO	k	ch	d	KCH	heiß-trocken	2	II	heiß-trocken, Grad II	S	1	pchody odaiin chcphy qokchdain qotain qokor shed oteody solkaiin al
G626-Q0014	f15v	f15v.1	4	dtchan	d	EXTENDED	t	ch	BARE	TCH	kalt-trocken	1	I	kalt-trocken, Grad I	H	0	poror orshy choiin dtchan opchordy
G626-Q0015	f18r	f18r.11	1	sotchaiin	so	EXTENDED	t	ch	BARE	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	H	1	sotchaiin chokchy chckhol chor g
G626-Q0016	f18r	f18r.14	3	kchaiin	BARE	BARE	k	ch	BARE	KCH	heiß-trocken	3	III	heiß-trocken, Grad III	H	1	ychekch y kchaiin
G626-Q0017	f19v	f19v.10	6	okchan	o	O	k	ch	BARE	KCH	heiß-trocken	1	I	heiß-trocken, Grad I	H	1	daiin chor daiin qokor y okchan
G626-Q0018	f21r	f21r.9	3	tshaiin	BARE	BARE	t	sh	BARE	TSH	kalt-feucht	3	III	kalt-feucht, Grad III	H	1	okaiin sho tshaiin chkaiin sh cthey cthody cthy s
G626-Q0019	f22v	f22v.4	1	otchaiin	o	O	t	ch	BARE	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	H	1	otchaiin shoty qoky saiin odaiin ytaiin
G626-Q0020	f22v	f22v.13	1	okchain	o	O	k	ch	BARE	KCH	heiß-trocken	2	II	heiß-trocken, Grad II	H	1	okchain chkoldy shotoly
G626-Q0021	f25r	f25r.4	8	qotchain	qo	QO	t	ch	BARE	TCH	kalt-trocken	2	II	kalt-trocken, Grad II	H	1	dchckhy shocthy ytchey cthor s chan chaiin qotchain
G626-Q0022	f25r	f25r.5	1	qotcheaiin	qo	QO	t	ch	e	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	H	1	qotcheaiin dchain cthain daiin daiin cthain qotaiin
G626-Q0023	f28r	f28r.3	1	qotchaiin	qo	QO	t	ch	BARE	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	H	1	qotchaiin shor cthol cthol shor chotchy tchodar
G626-Q0024	f29r	f29r.3	3	kchaiin	BARE	BARE	k	ch	BARE	KCH	heiß-trocken	3	III	heiß-trocken, Grad III	H	1	qokchy qoty kchaiin shear cthor dchor choly
G626-Q0025	f29v	f29v.2	1	qotcheaiin	qo	QO	t	ch	e	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	H	1	qotcheaiin s chol chol cthy chey cthold ytchor dary
G626-Q0026	f2r	f2r.5	6	ytchaiin	y	EXTENDED	t	ch	BARE	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	H	1	otochor al shodaiin chol dan ytchaiin dan
G626-Q0027	f30r	f30r.10	1	chokchaiin	cho	EXTENDED	k	ch	BARE	KCH	heiß-trocken	3	III	heiß-trocken, Grad III	H	1	chokchaiin dchor chkchean qotchy chctho rchody
G626-Q0028	f30r	f30r.10	3	chkchean	ch	EXTENDED	k	ch	e	KCH	heiß-trocken	1	I	heiß-trocken, Grad I	H	1	chokchaiin dchor chkchean qotchy chctho rchody
G626-Q0029	f32v	f32v.6	2	kchan	BARE	BARE	k	ch	BARE	KCH	heiß-trocken	1	I	heiß-trocken, Grad I	H	0	o kchan chol shal dchcthy
G626-Q0030	f34v	f34v.4	1	tchdaiin	BARE	BARE	t	ch	d	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	H	0	tchdaiin chekal shedy qokedar chdaiin oldar qoldar chedy daiin otam
G626-Q0031	f35r	f35r.12	8	chetchaiin	che	EXTENDED	t	ch	BARE	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	H	1	olor chy chaiin chy taiin kchey koldy chetchaiin
G626-Q0032	f35r	f35r.13	3	qokchaiin	qo	QO	k	ch	BARE	KCH	heiß-trocken	3	III	heiß-trocken, Grad III	H	1	qokoiin chaiin qokchaiin lshy lodaly oteey taiin
G626-Q0033	f35v	f35v.9	1	qokchaiin	qo	QO	k	ch	BARE	KCH	heiß-trocken	3	III	heiß-trocken, Grad III	H	0	qokchaiin cho ksho l choiin
G626-Q0034	f35v	f35v.11	1	qotcheeaiin	qo	QO	t	ch	ee	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	H	1	qotcheeaiin chodaiin
G626-Q0035	f35v	f35v.14	1	tcheain	BARE	BARE	t	ch	e	TCH	kalt-trocken	2	II	kalt-trocken, Grad II	H	1	tcheain shy tar dain
G626-Q0036	f36v	f36v.3	7	otchaiin	o	O	t	ch	BARE	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	H	1	dchytchy ytor s otaiin qopchor otar otchaiin s
G626-Q0037	f42r	f42r.2	4	otshaiin	o	O	t	sh	BARE	TSH	kalt-feucht	3	III	kalt-feucht, Grad III	H	0	solkaiin char cheky otshaiin daiiry
G626-Q0038	f42r	f42r.7	3	kshaiin	BARE	BARE	k	sh	BARE	KSH	heiß-feucht	3	III	heiß-feucht, Grad III	H	1	pcho chy kshaiin shotaiin cham shan
G626-Q0039	f42r	f42r.22	1	kchaiin	BARE	BARE	k	ch	BARE	KCH	heiß-trocken	3	III	heiß-trocken, Grad III	H	1	kchaiin chos ckhaiin choro r chaiin
G626-Q0040	f44v	f44v.2	3	qokchain	qo	QO	k	ch	BARE	KCH	heiß-trocken	2	II	heiß-trocken, Grad II	H	1	yolkol cheol qokchain daly otchol daiin shol qotor ar
G626-Q0041	f44v	f44v.6	6	kchain	BARE	BARE	k	ch	BARE	KCH	heiß-trocken	2	II	heiß-trocken, Grad II	H	1	tol dair ytaiin dol y kchain oty keey otchol ytaiin dy
G626-Q0042	f44v	f44v.7	2	tchaiin	BARE	BARE	t	ch	BARE	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	H	1	oky tchaiin cthol dy cheol ololy
G626-Q0043	f48r	f48r.8	1	otchdain	o	O	t	ch	d	TCH	kalt-trocken	2	II	kalt-trocken, Grad II	H	1	otchdain shol oteol oteoly ykeey dam dr
G626-Q0044	f56v	f56v.11	5	tchain	BARE	BARE	t	ch	BARE	TCH	kalt-trocken	2	II	kalt-trocken, Grad II	H	1	chotchey keeol chey kchol tchain
G626-Q0045	f86v6	f86v6.1	9	qotchdaiin	qo	QO	t	ch	d	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	T	0	pcheypchdar opory ches aiin ofy chedy otedalol orairody qotchdaiin qopy
G626-Q0046	f94v	f94v.10	4	okchaiin	o	O	k	ch	BARE	KCH	heiß-trocken	3	III	heiß-trocken, Grad III	H	1	ol air cheey okchaiin shy tararain otody qodar oteey dar
G626-Q0047	f95v1	f95v1.12	9	tchdaiin	BARE	BARE	t	ch	d	TCH	kalt-trocken	3	III	kalt-trocken, Grad III	H	1	shotshey s aiin ody olkchdy qotaiin shcthy dolkchy tchdaiin dal
