wrapper_class	state_id	working_quality_de	working_value	working_roman	occurrences	surfaces	pages	triple_stable_occurrences
BARE	KCH	heiß-trocken	1	I	1	kchan	1	0
BARE	KCH	heiß-trocken	2	II	1	kchain	1	1
BARE	KCH	heiß-trocken	3	III	4	kchaiin	4	3
BARE	KCH	heiß-trocken	4	IV	0	NONE	0	0
BARE	KSH	heiß-feucht	1	I	0	NONE	0	0
BARE	KSH	heiß-feucht	2	II	0	NONE	0	0
BARE	KSH	heiß-feucht	3	III	1	kshaiin	1	1
BARE	KSH	heiß-feucht	4	IV	0	NONE	0	0
BARE	TCH	kalt-trocken	1	I	0	NONE	0	0
BARE	TCH	kalt-trocken	2	II	1	tchain	1	1
BARE	TCH	kalt-trocken	3	III	1	tchaiin	1	1
BARE	TCH	kalt-trocken	4	IV	0	NONE	0	0
BARE	TSH	kalt-feucht	1	I	0	NONE	0	0
BARE	TSH	kalt-feucht	2	II	0	NONE	0	0
BARE	TSH	kalt-feucht	3	III	1	tshaiin	1	1
BARE	TSH	kalt-feucht	4	IV	0	NONE	0	0
O	KCH	heiß-trocken	1	I	1	okchan	1	1
O	KCH	heiß-trocken	2	II	1	okchain	1	1
O	KCH	heiß-trocken	3	III	2	okchaiin	2	2
O	KCH	heiß-trocken	4	IV	0	NONE	0	0
O	KSH	heiß-feucht	1	I	0	NONE	0	0
O	KSH	heiß-feucht	2	II	0	NONE	0	0
O	KSH	heiß-feucht	3	III	0	NONE	0	0
O	KSH	heiß-feucht	4	IV	0	NONE	0	0
O	TCH	kalt-trocken	1	I	0	NONE	0	0
O	TCH	kalt-trocken	2	II	0	NONE	0	0
O	TCH	kalt-trocken	3	III	2	otchaiin	2	2
O	TCH	kalt-trocken	4	IV	0	NONE	0	0
O	TSH	kalt-feucht	1	I	0	NONE	0	0
O	TSH	kalt-feucht	2	II	0	NONE	0	0
O	TSH	kalt-feucht	3	III	1	otshaiin	1	0
O	TSH	kalt-feucht	4	IV	0	NONE	0	0
QO	KCH	heiß-trocken	1	I	0	NONE	0	0
QO	KCH	heiß-trocken	2	II	1	qokchain	1	1
QO	KCH	heiß-trocken	3	III	2	qokchaiin	2	1
QO	KCH	heiß-trocken	4	IV	0	NONE	0	0
QO	KSH	heiß-feucht	1	I	0	NONE	0	0
QO	KSH	heiß-feucht	2	II	0	NONE	0	0
QO	KSH	heiß-feucht	3	III	0	NONE	0	0
QO	KSH	heiß-feucht	4	IV	0	NONE	0	0
QO	TCH	kalt-trocken	1	I	0	NONE	0	0
QO	TCH	kalt-trocken	2	II	1	qotchain	1	1
QO	TCH	kalt-trocken	3	III	1	qotchaiin	1	1
QO	TCH	kalt-trocken	4	IV	0	NONE	0	0
QO	TSH	kalt-feucht	1	I	0	NONE	0	0
QO	TSH	kalt-feucht	2	II	0	NONE	0	0
QO	TSH	kalt-feucht	3	III	0	NONE	0	0
QO	TSH	kalt-feucht	4	IV	0	NONE	0	0
