entry	kind	working_meaning_de	composition	scope	status
-an	VALUE_SUFFIX	Stufe/Wert I	Kopf + a + Schlussstrich n	alle passenden Köpfe	WORKING_DEFAULT
-ain	VALUE_SUFFIX	Stufe/Wert II	Kopf + a + i+n	alle passenden Köpfe	WORKING_DEFAULT
-aiin	VALUE_SUFFIX	Stufe/Wert III	Kopf + a + ii+n	alle passenden Köpfe	WORKING_DEFAULT
-aiiin	VALUE_SUFFIX	Stufe/Wert IV	Kopf + a + iii+n	alle passenden Köpfe	WORKING_DEFAULT_RARE
k	QUALITY_STEM	heiß	thermaler Pol	k/t + ch/sh Qualitätskern	INHERITED_WORKING_DEFAULT
t	QUALITY_STEM	kalt	thermaler Pol	k/t + ch/sh Qualitätskern	INHERITED_WORKING_DEFAULT
ch	QUALITY_STEM	trocken	Feuchtepol	k/t + ch/sh Qualitätskern	INHERITED_WORKING_DEFAULT
sh	QUALITY_STEM	feucht	Feuchtepol	k/t + ch/sh Qualitätskern	INHERITED_WORKING_DEFAULT
kcha(i*)n	QUALITY_VALUE_COMPOUND	heiß-trocken, Grad I-IV	k+ch+Wert	exakte Endkomposita	NEW_COMPOSITIONAL_DEFAULT
ksha(i*)n	QUALITY_VALUE_COMPOUND	heiß-feucht, Grad I-IV	k+sh+Wert	exakte Endkomposita	NEW_COMPOSITIONAL_DEFAULT
tcha(i*)n	QUALITY_VALUE_COMPOUND	kalt-trocken, Grad I-IV	t+ch+Wert	exakte Endkomposita	NEW_COMPOSITIONAL_DEFAULT
tsha(i*)n	QUALITY_VALUE_COMPOUND	kalt-feucht, Grad I-IV	t+sh+Wert	exakte Endkomposita	NEW_COMPOSITIONAL_DEFAULT
cth	PART_STEM	Blatt-/oberirdisches Drogengut	Pflanzenteilkopf	Herbal	INHERITED_WORKING_DEFAULT
cthan/cthain/cthaiin	PART_VALUE_COMPOUND	Blatt-/oberirdisches Drogengut, Stufe I/II/III	cth+Wert	Herbal; Einheit offen	NEW_COMPOSITIONAL_DEFAULT
chor	PART_STEM	Blüten-/Pflanzenteil	Pflanzenteilkopf	Herbal	INHERITED_WEAK_DEFAULT
chorain/choraiin	PART_VALUE_COMPOUND	Blüten-/Pflanzenteil, Stufe II/III	chor+Wert	Herbal; Einheit offen	NEW_COMPOSITIONAL_DEFAULT
d	OPEN_VALUE_HEAD	unbekannter d-Kopf vor einem Wert	d+Wert	dan/dain/daiin/daiiin	OPEN_HEAD
daiin	OPEN_VALUE_COMPOUND	d-Wert III; lokal Mengen-/Gradmarker	d+III	nicht automatisch und/item/Operation	NEW_RESEGMENTED_DEFAULT
