head	surface_I	surface_II	surface_III	surface_IV	count_I	count_II	count_III	count_IV	stable_I	stable_II	stable_III	stable_IV	occurrences	pages	herbal_occurrences
da	dan	dain	daiin	daiiin	17	193	721	17	14	149	602	12	948	176	568
a	an	ain	aiin	aiiin	5	106	432	42	4	67	338	39	585	111	130
qoka	qokan	qokain	qokaiin	qokaiiin	8	273	261	2	8	256	241	2	544	75	43
oka	okan	okain	okaiin	okaiiin	4	132	200	6	3	112	177	4	342	98	79
sa	san	sain	saiin	saiiin	3	60	109	2	2	53	89	1	174	78	39
qota	qotan	qotain	qotaiin	qotaiiin	2	60	79	1	2	60	77	1	142	55	15
ka	kan	kain	kaiin	kaiiin	2	43	74	4	2	36	44	3	123	58	31
lka	lkan	lkain	lkaiin	lkaiiin	1	33	48	2	1	27	43	0	84	28	0
cha	chan	chain	chaiin	chaiiin	12	19	48	1	10	18	42	1	80	51	60
oda	odan	odain	odaiin	odaiiin	2	14	55	4	2	11	42	3	75	55	34
ta	tan	tain	taiin	taiiin	1	9	45	1	0	8	38	1	56	38	16
ola	olan	olain	olaiin	olaiiin	1	11	39	1	1	10	32	1	52	37	9
cheda	chedan	chedain	chedaiin	chedaiiin	1	17	32	1	0	13	17	1	51	25	6
sha	shan	shain	shaiin	shaiiin	6	9	19	1	5	7	18	1	35	28	23
ara	aran	arain	araiin	araiiin	1	4	9	1	0	0	4	0	15	14	1
