mixed_id	page	locus	head	values	value_span	series_surfaces_in_order	series_token_count	all_series_tokens_triple_stable	section	surface_line
G626-L0001	f103r	f103r.19	qoka	II|III	1	qokaiin|qokain	2	1	S	okaiin chey qoy shey qokaiin chedy qokain oteol lkar okaral lkldy lr
G626-L0002	f103v	f103v.20	oka	II|III	1	okaiin|okain	2	0	S	pol char otar okaiin shay oteal okain qotal shedy qokeey lolain
G626-L0003	f103v	f103v.24	ota	I|II	1	otan|otain|otain	3	1	S	ykeey lchey qokeey ror aiin olan otan otain otain ar y kain
G626-L0004	f104r	f104r.43	qoka	II|III	1	qokaiin|qokain	2	0	S	tsheodl qokaiin qokchedy ykchdy pchedy qokeedy oteey qokain oteo l dal
G626-L0005	f104r	f104r.45	ota	II|III	1	otain|otaiin|otaiin	3	0	S	daiin olcheeo l s aiin otain ar chedy qokaiin otaiin otaiin
G626-L0006	f104v	f104v.18	qoka	III|IV	1	qokaiiin|qokaiin	2	1	S	dcheeoy qokaiiin qokaiin lkar ytaiin otcheochy sarain
G626-L0007	f104v	f104v.34	oka	II|III	1	okaiin|okain	2	1	S	ycheo lkeed qotain okaiin chokain okain cheol olcho
G626-L0008	f104v	f104v.41	qota	II|III	1	qotaiin|qotain	2	1	S	tchedy qotechy otcheeo l keedy qoty raiin cheedy qotaiin otchdy qotain
G626-L0009	f105r	f105r.24	a	II|IV	2	ain|aiiin	2	1	S	pcheor ain ckheey okeeey paiin ar aiiin chpaiikey sheo pcheey dal daiin dam
G626-L0010	f105v	f105v.11	a	III|IV	1	aiiin|aiin	2	1	S	roees aiiin ol okaiin os aiin chckhodu qoteedy ckhddl aiir ypar kaiidy
G626-L0011	f106r	f106r.25	qoka	II|III	1	qokaiin|qokain	2	1	S	soraiin cheeo lo lchey qokaiin shedy okain shear qokain chees ykarain
G626-L0012	f106r	f106r.29	oka	II|III	1	okain|okaiin	2	0	S	saiin chal chlal okal ykalaiin okain qokain ar okaiin char aiiny
G626-L0013	f106r	f106r.46	qoka	II|III	1	qokaiin|qokain	2	1	S	sotchdaiin shodaiin otedy qokeedy qokaiin ykar qokain cheedy lol
G626-L0014	f106v	f106v.29	ota	II|III	1	otaiin|otain	2	1	S	ycheey olchey chedy qotaiin cheos otaiin otain chotar olos aiin cheog
G626-L0015	f107r	f107r.21	oka	II|III	1	okain|okaiin	2	0	S	taror olal okain okaiin qotal shaiin qokeol lkaiin okeeo lkaiin aiin
G626-L0016	f107r	f107r.24	lka	II|IV	2	lkain|lkaiiin	2	0	S	pal alchky okil cheol kair lkain qokeeo kair dar aiinpchod lkaiiin olfy
G626-L0017	f107r	f107r.33	ka	III|IV	1	kaiin|kaiiin	2	1	S	yaiin chekain cheo kaiin chey qol kaiiin chky lcheel lkar okal
G626-L0018	f107r	f107r.48	ota	II|III	1	otain|otaiin	2	1	S	fairal chkal lky otain ar kalkal qotain oty lky otaiin ytaiin om
G626-L0019	f107v	f107v.3	a	II|IV	2	ain|aiiin	2	1	S	sain ain aiiin qokaiin shol kal qokar al ochedy lkaiin otal olkiir alody
G626-L0020	f107v	f107v.9	qoka	II|III	1	qokain|qokaiin	2	1	S	saiin shey kedy qokain qokedy qokaiin y lkaiin qoky lkal tar aty
G626-L0021	f107v	f107v.13	qoka	II|III	1	qokain|qokaiin|qokaiin	3	1	S	ycheey qokain ockheody qokair otal qokaiin otal shoy qokaiin dalam
G626-L0022	f107v	f107v.30	oka	II|III	1	okain|okaiin	2	1	S	okain ol okaiin lkeody otaiin chol lkaiin lkeeey qokaiin chey qoky
G626-L0023	f107v	f107v.39	oka	II|III	1	okain|okaiin	2	0	S	okain cheor olkaiin oain cheary raiin okoiin odaiin okaiin y
G626-L0024	f108v	f108v.22	da	II|III	1	daiin|dain	2	1	S	daiin shey sheey dain alsar sheeo lkain shey cheeegaiin oloeeedy otaiin al
G626-L0025	f108v	f108v.36	da	II|III	1	daiin|dain	2	1	S	daiin shechy qokedy qokain chor chal chal chedy dain alal keedy otalys
G626-L0026	f10r	f10r.7	da	II|III	1	daiin|dain	2	1	H	dchy qokchol y kchaiin yty daiin cth dain dair am
G626-L0027	f10v	f10v.2	da	II|III	1	dain|daiin|daiin	3	1	H	dain daiin ckhy chcthor choiin qot chodaiin cthy daiin
G626-L0028	f10v	f10v.4	da	II|III	1	daiin|dain	2	1	H	qotchytor shoiin daiin qotchey shy ytor dain
G626-L0029	f10v	f10v.7	da	II|III	1	daiin|dain	2	1	H	qokol chy ky chol cheky daiin dain chckhan
G626-L0030	f111r	f111r.21	da	II|III	1	daiin|dain	2	0	S	daiin okar ain teey oteey ox o r shey chey ky deedy cheo dain sheet ar al l cheotydy
G626-L0031	f111r	f111r.51	a	II|III	1	aiin|ain	2	0	S	polkeeo shey cheokeain chl kar r aiin char ain al lkeedy qokal okchy
G626-L0032	f111v	f111v.15	qoka	II|III	1	qokaiin|qokain	2	1	S	sar shey l otain qokaiin al kain chedy otal lchedy qokain chtal otain l s
G626-L0033	f111v	f111v.19	qoka	II|III	1	qokaiin|qokain|qokain|qokaiin	4	1	S	qokaiin cheal tain qokain shey qokain char shcthey qoky chy qokaiin
G626-L0034	f111v	f111v.23	qoka	II|III	1	qokaiin|qokain	2	1	S	qokaiin sheckhy qokar chalkain chckhedy lcheol okaiin qokain cheol daiin lam
G626-L0035	f113r	f113r.31	oka	II|III	1	okaiin|okain	2	1	S	ytaiin okaiin chear ckhar shal shckhy okain o ar chor cky chokain qoky
G626-L0036	f113r	f113r.41	oka	II|III	1	okaiin|okain	2	1	S	dsheo oin okaiin cheey taiin lkeechey okain sheey qoees okeeody
G626-L0037	f113v	f113v.2	a	II|III	1	ain|aiin	2	0	S	teoar ain qotar ycheey otaiir otaiin okchy lkchdy oteol ar al ar aiin okal cheyor
