head	surface_I	surface_II	surface_III	surface_IV	count_I	count_II	count_III	count_IV	stable_I	stable_II	stable_III	stable_IV	distinct_values	present_values	complete_I_II_III	complete_I_II_III_IV	occurrences	pages	herbal_occurrences
da	dan	dain	daiin	daiiin	17	193	721	17	14	149	602	12	4	I|II|III|IV	1	1	948	176	568
a	an	ain	aiin	aiiin	5	106	432	42	4	67	338	39	4	I|II|III|IV	1	1	585	111	130
qoka	qokan	qokain	qokaiin	qokaiiin	8	273	261	2	8	256	241	2	4	I|II|III|IV	1	1	544	75	43
oka	okan	okain	okaiin	okaiiin	4	132	200	6	3	112	177	4	4	I|II|III|IV	1	1	342	98	79
sa	san	sain	saiin	saiiin	3	60	109	2	2	53	89	1	4	I|II|III|IV	1	1	174	78	39
qota	qotan	qotain	qotaiin	qotaiiin	2	60	79	1	2	60	77	1	4	I|II|III|IV	1	1	142	55	15
ka	kan	kain	kaiin	kaiiin	2	43	74	4	2	36	44	3	4	I|II|III|IV	1	1	123	58	31
lka	lkan	lkain	lkaiin	lkaiiin	1	33	48	2	1	27	43	0	4	I|II|III|IV	1	1	84	28	0
cha	chan	chain	chaiin	chaiiin	12	19	48	1	10	18	42	1	4	I|II|III|IV	1	1	80	51	60
oda	odan	odain	odaiin	odaiiin	2	14	55	4	2	11	42	3	4	I|II|III|IV	1	1	75	55	34
ta	tan	tain	taiin	taiiin	1	9	45	1	0	8	38	1	4	I|II|III|IV	1	1	56	38	16
ola	olan	olain	olaiin	olaiiin	1	11	39	1	1	10	32	1	4	I|II|III|IV	1	1	52	37	9
cheda	chedan	chedain	chedaiin	chedaiiin	1	17	32	1	0	13	17	1	4	I|II|III|IV	1	1	51	25	6
sha	shan	shain	shaiin	shaiiin	6	9	19	1	5	7	18	1	4	I|II|III|IV	1	1	35	28	23
ara	aran	arain	araiin	araiiin	1	4	9	1	0	0	4	0	4	I|II|III|IV	1	1	15	14	1
ota	otan	otain	otaiin	otaiiin	3	95	138	0	3	88	128	0	3	I|II|III	1	0	236	79	46
ra	ran	rain	raiin	raiiin	0	21	62	1	0	14	45	0	3	II|III|IV	0	0	84	38	3
yka	ykan	ykain	ykaiin	ykaiiin	1	11	43	0	1	7	33	0	3	I|II|III	1	0	55	30	21
qoda	qodan	qodain	qodaiin	qodaiiin	0	10	41	1	0	9	34	1	3	II|III|IV	0	0	52	28	16
ora	oran	orain	oraiin	oraiiin	0	16	26	1	0	14	21	1	3	II|III|IV	0	0	43	36	10
choka	chokan	chokain	chokaiin	chokaiiin	2	10	15	0	2	8	13	0	3	I|II|III	1	0	27	23	11
sheda	shedan	shedain	shedaiin	shedaiiin	0	12	10	1	0	8	5	0	3	II|III|IV	0	0	23	17	3
cheoda	cheodan	cheodain	cheodaiin	cheodaiiin	0	8	12	1	0	5	6	0	3	II|III|IV	0	0	21	20	6
la	lan	lain	laiin	laiiin	0	5	13	2	0	4	7	2	3	II|III|IV	0	0	20	15	4
ctha	cthan	cthain	cthaiin	cthaiiin	2	4	11	0	2	4	11	0	3	I|II|III	1	0	17	13	16
cheka	chekan	chekain	chekaiin	chekaiiin	0	7	7	1	0	7	6	1	3	II|III|IV	0	0	15	10	6
alka	alkan	alkain	alkaiin	alkaiiin	1	6	4	0	1	6	4	0	3	I|II|III	1	0	11	7	1
chea	chean	cheain	cheaiin	cheaiiin	2	2	4	0	2	2	3	0	3	I|II|III	1	0	8	6	7
cheta	chetan	chetain	chetaiin	chetaiiin	1	4	3	0	1	4	3	0	3	I|II|III	1	0	8	7	3
cpha	cphan	cphain	cphaiin	cphaiiin	1	0	6	1	1	0	5	0	3	I|III|IV	0	0	8	7	6
lda	ldan	ldain	ldaiin	ldaiiin	0	2	4	1	0	1	2	1	3	II|III|IV	0	0	7	7	1
sheka	shekan	shekain	shekaiin	shekaiiin	0	3	3	1	0	3	2	1	3	II|III|IV	0	0	7	7	1
kcha	kchan	kchain	kchaiin	kchaiiin	1	1	4	0	0	1	3	0	3	I|II|III	1	0	6	6	6
chara	charan	charain	charaiin	charaiiin	1	2	1	0	0	2	1	0	3	I|II|III	1	0	4	4	0
okcha	okchan	okchain	okchaiin	okchaiiin	1	1	2	0	1	1	2	0	3	I|II|III	1	0	4	4	3
oteeda	oteedan	oteedain	oteedaiin	oteedaiiin	1	1	2	0	0	1	0	0	3	I|II|III	1	0	4	4	1
teeoda	teeodan	teeodain	teeodaiin	teeodaiiin	1	1	1	0	1	1	1	0	3	I|II|III	1	0	3	3	1
ykeeda	ykeedan	ykeedain	ykeedaiin	ykeedaiiin	1	1	1	0	0	0	1	0	3	I|II|III	1	0	3	2	0
olka	olkan	olkain	olkaiin	olkaiiin	0	33	28	0	0	30	25	0	2	II|III	0	0	61	32	8
yta	ytan	ytain	ytaiin	ytaiiin	0	12	39	0	0	12	39	0	2	II|III	0	0	51	29	15
choda	chodan	chodain	chodaiin	chodaiiin	0	7	42	0	0	7	37	0	2	II|III	0	0	49	36	27
oa	oan	oain	oaiin	oaiiin	0	11	22	0	0	10	17	0	2	II|III	0	0	33	25	16
chka	chkan	chkain	chkaiin	chkaiiin	0	12	16	0	0	11	14	0	2	II|III	0	0	28	23	11
qoa	qoan	qoain	qoaiin	qoaiiin	0	5	21	0	0	4	20	0	2	II|III	0	0	26	21	10
shoda	shodan	shodain	shodaiin	shodaiiin	0	4	21	0	0	2	16	0	2	II|III	0	0	25	20	15
chda	chdan	chdain	chdaiin	chdaiiin	0	8	16	0	0	5	12	0	2	II|III	0	0	24	17	10
yda	ydan	ydain	ydaiin	ydaiiin	0	4	14	0	0	4	14	0	2	II|III	0	0	18	18	13
chota	chotan	chotain	chotaiin	chotaiiin	0	4	8	0	0	4	7	0	2	II|III	0	0	12	11	7
shea	shean	sheain	sheaiin	sheaiiin	0	3	9	0	0	1	8	0	2	II|III	0	0	12	11	8
opa	opan	opain	opaiin	opaiiin	0	1	10	0	0	1	6	0	2	II|III	0	0	11	9	0
sora	soran	sorain	soraiin	soraiiin	0	2	8	0	0	2	6	0	2	II|III	0	0	10	9	3
osa	osan	osain	osaiin	osaiiin	0	4	5	0	0	2	4	0	2	II|III	0	0	9	9	3
olda	oldan	oldain	oldaiin	oldaiiin	0	1	7	0	0	1	5	0	2	II|III	0	0	8	8	4
toda	todan	todain	todaiin	todaiiin	0	1	7	0	0	1	5	0	2	II|III	0	0	8	8	7
cheeda	cheedan	cheedain	cheedaiin	cheedaiiin	0	2	5	0	0	2	4	0	2	II|III	0	0	7	6	0
pchoda	pchodan	pchodain	pchodaiin	pchodaiiin	0	3	4	0	0	2	4	0	2	II|III	0	0	7	6	2
qokeda	qokedan	qokedain	qokedaiin	qokedaiiin	0	4	3	0	0	1	3	0	2	II|III	0	0	7	7	0
qola	qolan	qolain	qolaiin	qolaiiin	0	3	4	0	0	3	3	0	2	II|III	0	0	7	5	1
qolka	qolkan	qolkain	qolkaiin	qolkaiiin	0	5	2	0	0	5	2	0	2	II|III	0	0	7	7	1
shka	shkan	shkain	shkaiin	shkaiiin	0	2	5	0	0	2	4	0	2	II|III	0	0	7	7	2
teda	tedan	tedain	tedaiin	tedaiiin	0	4	3	0	0	2	2	0	2	II|III	0	0	7	7	3
ala	alan	alain	alaiin	alaiiin	0	3	3	0	0	1	2	0	2	II|III	0	0	6	6	1
cheoka	cheokan	cheokain	cheokaiin	cheokaiiin	0	3	3	0	0	3	2	0	2	II|III	0	0	6	6	0
cholka	cholkan	cholkain	cholkaiin	cholkaiiin	0	1	5	0	0	1	4	0	2	II|III	0	0	6	6	1
chta	chtan	chtain	chtaiin	chtaiiin	0	4	2	0	0	3	2	0	2	II|III	0	0	6	6	2
okeda	okedan	okedain	okedaiin	okedaiiin	0	3	3	0	0	1	3	0	2	II|III	0	0	6	5	0
pcheda	pchedan	pchedain	pchedaiin	pchedaiiin	0	2	4	0	0	1	3	0	2	II|III	0	0	6	6	2
solka	solkan	solkain	solkaiin	solkaiiin	0	2	4	0	0	2	3	0	2	II|III	0	0	6	6	2
chora	choran	chorain	choraiin	choraiiin	0	2	3	0	0	1	3	0	2	II|III	0	0	5	5	4
oteoda	oteodan	oteodain	oteodaiin	oteodaiiin	0	1	4	0	0	0	2	0	2	II|III	0	0	5	4	2
qoeeda	qoeedan	qoeedain	qoeedaiin	qoeedaiiin	0	1	4	0	0	1	2	0	2	II|III	0	0	5	4	1
qora	qoran	qorain	qoraiin	qoraiiin	0	4	1	0	0	2	1	0	2	II|III	0	0	5	5	1
rara	raran	rarain	raraiin	raraiiin	0	0	4	1	0	0	3	0	2	III|IV	0	0	5	5	0
shoka	shokan	shokain	shokaiin	shokaiiin	0	1	4	0	0	1	1	0	2	II|III	0	0	5	5	2
chckha	chckhan	chckhain	chckhaiin	chckhaiiin	1	0	3	0	1	0	3	0	2	I|III	0	0	4	4	2
cheeka	cheekan	cheekain	cheekaiin	cheekaiiin	0	3	1	0	0	3	1	0	2	II|III	0	0	4	4	1
ckha	ckhan	ckhain	ckhaiin	ckhaiiin	0	1	3	0	0	1	3	0	2	II|III	0	0	4	4	3
dcha	dchan	dchain	dchaiin	dchaiiin	0	1	3	0	0	1	2	0	2	II|III	0	0	4	4	4
dyka	dykan	dykain	dykaiin	dykaiiin	0	1	3	0	0	1	3	0	2	II|III	0	0	4	4	2
otea	otean	oteain	oteaiin	oteaiiin	0	2	2	0	0	1	2	0	2	II|III	0	0	4	3	0
qokeeda	qokeedan	qokeedain	qokeedaiin	qokeedaiiin	0	2	2	0	0	2	1	0	2	II|III	0	0	4	2	0
sara	saran	sarain	saraiin	saraiiin	0	1	3	0	0	1	1	0	2	II|III	0	0	4	4	1
ska	skan	skain	skaiin	skaiiin	0	1	3	0	0	1	3	0	2	II|III	0	0	4	4	0
soa	soan	soain	soaiin	soaiiin	0	1	3	0	0	1	2	0	2	II|III	0	0	4	4	1
soda	sodan	sodain	sodaiin	sodaiiin	0	0	3	1	0	0	2	1	2	III|IV	0	0	4	4	3
tchoda	tchodan	tchodain	tchodaiin	tchodaiiin	0	1	3	0	0	1	2	0	2	II|III	0	0	4	4	3
aka	akan	akain	akaiin	akaiiin	0	1	2	0	0	0	1	0	2	II|III	0	0	3	3	1
dala	dalan	dalain	dalaiin	dalaiiin	0	1	2	0	0	1	1	0	2	II|III	0	0	3	3	1
