entry_id	what_slot	how_record	condition_shelf	condition_family_de	working_primary	selection_source	automatic_join	working_reason_de
WH01	P1	B1	C1	Kalender-, Sektor- oder Phasenbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH01	P1	B1	C2	Stern-, Strahlen- oder Aspektbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH01	P1	B1	C3	Sternort- oder Konstellationsbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH01	P1	B1	C4	lokale 28er Stations- oder Tagesbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH01	P1	B1	C5	Wetter-, Feuchte- oder Luftbedingung	YES	MASTER_EXEMPLAR_ONLY	NO	Bei der gemeinsamen Wasser-/Beckenfolge wäre eine Wetter- oder Feuchtebedingung der anschaulichste Meistereintrag.
WH01	P1	B1	C6	Licht-, Körper- oder Qualitätsbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH02	P4	B2	C1	Kalender-, Sektor- oder Phasenbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH02	P4	B2	C2	Stern-, Strahlen- oder Aspektbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH02	P4	B2	C3	Sternort- oder Konstellationsbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH02	P4	B2	C4	lokale 28er Stations- oder Tagesbedingung	YES	MASTER_EXEMPLAR_ONLY	NO	Die Folge vieler kurzer Stationsanwendungen passt als Arbeitslesung zu einem lokal gewählten 28er Platz.
WH02	P4	B2	C5	Wetter-, Feuchte- oder Luftbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH02	P4	B2	C6	Licht-, Körper- oder Qualitätsbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH03	P2	B3	C1	Kalender-, Sektor- oder Phasenbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH03	P2	B3	C2	Stern-, Strahlen- oder Aspektbedingung	YES	MASTER_EXEMPLAR_ONLY	NO	Für Gewinnung und Verteilung eines Auszugs wäre ein lokaler Stern-/Aspektvermerk eine plausible Werkstattbedingung.
WH03	P2	B3	C3	Sternort- oder Konstellationsbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH03	P2	B3	C4	lokale 28er Stations- oder Tagesbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH03	P2	B3	C5	Wetter-, Feuchte- oder Luftbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH03	P2	B3	C6	Licht-, Körper- oder Qualitätsbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH04	P3	B4	C1	Kalender-, Sektor- oder Phasenbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH04	P3	B4	C2	Stern-, Strahlen- oder Aspektbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH04	P3	B4	C3	Sternort- oder Konstellationsbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH04	P3	B4	C4	lokale 28er Stations- oder Tagesbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH04	P3	B4	C5	Wetter-, Feuchte- oder Luftbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH04	P3	B4	C6	Licht-, Körper- oder Qualitätsbedingung	YES	MASTER_EXEMPLAR_ONLY	NO	Wärme und Halten lassen sich am ehesten mit einer Licht-/Körperqualitätsbedingung koppeln.
WH05	P4	B5	C1	Kalender-, Sektor- oder Phasenbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH05	P4	B5	C2	Stern-, Strahlen- oder Aspektbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH05	P4	B5	C3	Sternort- oder Konstellationsbedingung	YES	MASTER_EXEMPLAR_ONLY	NO	Der kurze Routennachtrag kann an einen direkt gezeigten Sternort im Mehrpaneelatlas gebunden werden.
WH05	P4	B5	C4	lokale 28er Stations- oder Tagesbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH05	P4	B5	C5	Wetter-, Feuchte- oder Luftbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH05	P4	B5	C6	Licht-, Körper- oder Qualitätsbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH06	P3	B6	C1	Kalender-, Sektor- oder Phasenbedingung	YES	MASTER_EXEMPLAR_ONLY	NO	Die offene Zieleinstellung kann unter einem lokalen Sektor-/Phasenvermerk stehen.
WH06	P3	B6	C2	Stern-, Strahlen- oder Aspektbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH06	P3	B6	C3	Sternort- oder Konstellationsbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH06	P3	B6	C4	lokale 28er Stations- oder Tagesbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH06	P3	B6	C5	Wetter-, Feuchte- oder Luftbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
WH06	P3	B6	C6	Licht-, Körper- oder Qualitätsbedingung	NO	MASTER_EXEMPLAR_ONLY	NO	als alternative Bedingungsfamilie im Meisterexemplar möglich
