page	locus	group_count	local_image_owner	local_namespace	condition_shelf	condition_family_de	workshop_lookup_de	authorial_start	authorial_direction	crosspage_key
f67r2	f67r2.1	3	A1_RIGHT_SECTOR_SLOT_01	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	lokalen Sektor oder Phasenplatz aus dem Meisterexemplar wählen	UNKNOWN	UNKNOWN	NONE
f67r2	f67r2.2	3	A1_RIGHT_SECTOR_SLOT_02	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	lokalen Sektor oder Phasenplatz aus dem Meisterexemplar wählen	UNKNOWN	UNKNOWN	NONE
f67r2	f67r2.3	3	A1_RIGHT_SECTOR_SLOT_03	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	lokalen Sektor oder Phasenplatz aus dem Meisterexemplar wählen	UNKNOWN	UNKNOWN	NONE
f67r2	f67r2.4	2	A1_RIGHT_SECTOR_SLOT_04	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	lokalen Sektor oder Phasenplatz aus dem Meisterexemplar wählen	UNKNOWN	UNKNOWN	NONE
f67r2	f67r2.5	2	A1_RIGHT_SECTOR_SLOT_05	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	lokalen Sektor oder Phasenplatz aus dem Meisterexemplar wählen	UNKNOWN	UNKNOWN	NONE
f67r2	f67r2.6	1	A1_RIGHT_SECTOR_SLOT_06	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	lokalen Sektor oder Phasenplatz aus dem Meisterexemplar wählen	UNKNOWN	UNKNOWN	NONE
f67r2	f67r2.7	3	A1_RIGHT_SECTOR_SLOT_07	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	lokalen Sektor oder Phasenplatz aus dem Meisterexemplar wählen	UNKNOWN	UNKNOWN	NONE
f67r2	f67r2.8	1	A1_RIGHT_SECTOR_SLOT_08	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	lokalen Sektor oder Phasenplatz aus dem Meisterexemplar wählen	UNKNOWN	UNKNOWN	NONE
f67r2	f67r2.9	2	A1_RIGHT_SECTOR_SLOT_09	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	lokalen Sektor oder Phasenplatz aus dem Meisterexemplar wählen	UNKNOWN	UNKNOWN	NONE
f67r2	f67r2.10	3	A1_RIGHT_SECTOR_SLOT_10	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	lokalen Sektor oder Phasenplatz aus dem Meisterexemplar wählen	UNKNOWN	UNKNOWN	NONE
