plan_id	idea_id	title	priority	work_packages	guide_anchor	proposal
P01	IDEA000144	Differentialdiagnose: ähnliche Befunde, verschiedene Behandlungen	ALTERNATIVE	HERB4	docs/TRANSLATION_PROGRAMS_30.md#p01	research_registry/proposals/translation_programs_20260912/P01.json
P02	IDEA000145	Verlaufsfälle: ein Gegenstand durch mehrere Zustände	ALTERNATIVE	HERB4	docs/TRANSLATION_PROGRAMS_30.md#p02	research_registry/proposals/translation_programs_20260912/P02.json
P03	IDEA000146	Therapeutisches Rezeptbuch: Anlass, Durchführung und Anwendung trennen	ALTERNATIVE	HERB4	docs/TRANSLATION_PROGRAMS_30.md#p03	research_registry/proposals/translation_programs_20260912/P03.json
P04	IDEA000147	Ersatzstoffe: ein Kapitel regelt erlaubte und unerlaubte Vertretungen	ALTERNATIVE	HERB4	docs/TRANSLATION_PROGRAMS_30.md#p04	research_registry/proposals/translation_programs_20260912/P04.json
P05	IDEA000148	Herstellungsprotokoll mit Zwischenprodukten und Qualitätskontrolle	REVIEW_PRIORITY	HERB4	docs/TRANSLATION_PROGRAMS_30.md#p05	research_registry/proposals/translation_programs_20260912/P05.json
P06	IDEA000149	Trennen und Wiedervereinigen: ein Stoffkreislauf statt einer linearen Rezeptliste	ALTERNATIVE	BATH3	docs/TRANSLATION_PROGRAMS_30.md#p06	research_registry/proposals/translation_programs_20260912/P06.json
P07	IDEA000150	Körperweg-Anleitung: Ort, Handlung und Ziel in einer Behandlungsfolge	ALTERNATIVE	BATH3	docs/TRANSLATION_PROGRAMS_30.md#p07	research_registry/proposals/translation_programs_20260912/P07.json
P08	IDEA000151	Lehranalogie zwischen Pflanze und Körper: gleiche Beziehungen, andere Dinge	ALTERNATIVE	HERB4,BATH3	docs/TRANSLATION_PROGRAMS_30.md#p08	research_registry/proposals/translation_programs_20260912/P08.json
P09	IDEA000152	Vergleichende Materia medica: Eigenschaften, Nutzen, Schaden und Ausgleich	REVIEW_PRIORITY	HERB4,SOURCE_OLD	docs/TRANSLATION_PROGRAMS_30.md#p09	research_registry/proposals/translation_programs_20260912/P09.json
P10	IDEA000153	Lehrdialog: Behauptung, Einwand und begründete Antwort	REVIEW_PRIORITY	HERB4,BATH3	docs/TRANSLATION_PROGRAMS_30.md#p10	research_registry/proposals/translation_programs_20260912/P10.json
