statement_id	record_unit_id	page	event_count	state_marker_count	state_sequence	value_sequence
H1-S001	H1	f10r	10	3	M1_RAW_PART → M2_PREPARATION → M4_MEASURED_PORTION	Wurzelteil → Bereitansatz → Sollmaß
H1-S002	H1	f10r	4	0	NONE	NONE
H2-S001	H2	f10r	9	4	M2_PREPARATION → M2_PREPARATION → M4_MEASURED_PORTION → M4_MEASURED_PORTION	Auszugsansatz → Ansatz → Bereitsollmaß → Sollmaß
H2-S002	H2	f10r	8	4	M2_PREPARATION → M2_PREPARATION → M2_PREPARATION → M4_MEASURED_PORTION	Folgeansatz → Ansatz → Fortsetzungsansatz → Sollmaß
H2-S003	H2	f10r	7	4	M2_PREPARATION → M2_PREPARATION → M2_PREPARATION → M4_MEASURED_PORTION	Gefäßansatz → Ansatz → Ansatz → Zutatsollmaß
H3-S001	H3	f11r	7	2	M1_RAW_PART → M3_CLEAR_EXTRACT	Blütenkraut → Klarauszug
H3-S002	H3	f11r	1	1	M1_RAW_PART	Zutatfolgeteil
H3-S003	H3	f11r	5	1	M4_MEASURED_PORTION	Sollmaß
H3-S004	H3	f11r	4	0	NONE	NONE
H4-S001	H4	f55v	5	3	M4_MEASURED_PORTION → M4_MEASURED_PORTION → M4_MEASURED_PORTION	Sollmaß → Postenportion → Postenzweitportion
H4-S002	H4	f55v	3	1	M4_MEASURED_PORTION	Sollmaß
H4-S003	H4	f55v	4	2	M4_MEASURED_PORTION → M3_CLEAR_EXTRACT	Postensollmaß → Auszugnahme
H4-S004	H4	f55v	6	4	M4_MEASURED_PORTION → M2_PREPARATION → M2_PREPARATION → M4_MEASURED_PORTION	Sollmaß → Fortsetzungszubereitung → Ansatz → Ansatzportion
H5-S001	H5	f56r	9	6	M2_PREPARATION → M1_RAW_PART → M1_RAW_PART → M4_MEASURED_PORTION → M1_RAW_PART → M2_PREPARATION	Zutatenansatz → Zutat → Zutatstelle → Sollmaß → Zutat → Folgeansatz
H5-S002	H5	f56r	4	1	M1_RAW_PART	Zutatposten
H5-S003	H5	f56r	4	2	M1_RAW_PART → M1_RAW_PART	Pflanzenteil → Zutat
H5-S004	H5	f56r	3	0	NONE	NONE
H5-S005	H5	f56r	4	3	M1_RAW_PART → M1_RAW_PART → M5_APPLICATION_ITEM	Zutat → Quellenzutatbindung → Gebrauchen
H5-S006	H5	f56r	3	1	M4_MEASURED_PORTION	Sollmaß
B1-S001	B1	f81v	1	0	NONE	NONE
B1-S002	B1	f81v	19	6	M4_MEASURED_PORTION → M4_MEASURED_PORTION → M1_RAW_PART → M2_PREPARATION → M4_MEASURED_PORTION → M4_MEASURED_PORTION	Portion → Folgeportion → Zusatz → Fortsetzungsansatz → Sollmaß → Sollmaß
B1-S003	B1	f81v	2	0	NONE	NONE
B1-S004	B1	f81v	3	0	NONE	NONE
B1-S005	B1	f81v	1	0	NONE	NONE
