edition	paragraph_a	paragraph_b	projected_length	different_letter_counts_a_b	decision	rotation_offsets
ZL3b	f104v|f104v.19-f104v.21	f112r|f112r.23-f112r.26	179	"{""a"":[6,5],""c"":[18,14],""d"":[9,17],""e"":[22,31],""f"":[1,0],""h"":[25,15],""i"":[5,8],""k"":[8,11],""l"":[8,5],""n"":[3,4],""o"":[28,21],""p"":[2,1],""q"":[10,5],""r"":[8,4],""s"":[8,1],""t"":[5,11],""y"":[12,25]}"	UNEQUAL_INVENTORY	[]
ZL3b	f106v|f106v.40-f106v.41	f108r|f108r.35-f108r.36	111	"{""c"":[7,12],""d"":[11,12],""f"":[0,1],""h"":[8,13],""i"":[8,0],""l"":[1,8],""n"":[3,0],""o"":[16,13],""p"":[3,4],""q"":[4,3],""r"":[5,3],""s"":[2,1],""t"":[5,1],""y"":[11,13]}"	UNEQUAL_INVENTORY	[]
ZL3b	f112r|f112r.39-f112r.41	f116r|f116r.15-f116r.17	147	"{""a"":[13,16],""d"":[6,14],""e"":[19,21],""g"":[1,0],""h"":[8,9],""i"":[9,5],""k"":[15,6],""l"":[8,10],""n"":[5,4],""o"":[21,16],""p"":[3,2],""q"":[3,4],""r"":[5,6],""s"":[4,3],""t"":[3,9],""y"":[17,15]}"	UNEQUAL_INVENTORY	[]
IT2a	f102r1|f102r1.3-f102r1.6	f16v|f16v.1-f16v.6	175	"{""a"":[12,6],""c"":[6,30],""d"":[11,7],""e"":[19,2],""h"":[11,31],""i"":[19,4],""k"":[9,8],""l"":[15,6],""n"":[10,3],""o"":[32,23],""p"":[2,5],""q"":[3,2],""r"":[6,10],""s"":[5,4],""t"":[5,12],""y"":[10,22]}"	UNEQUAL_INVENTORY	[]
IT2a	f102r1|f102r1.3-f102r1.6	f24v|f24v.1-f24v.5	175	"{""c"":[6,17],""d"":[11,9],""e"":[19,7],""f"":[0,1],""g"":[0,1],""h"":[11,22],""i"":[19,10],""k"":[9,8],""l"":[15,6],""m"":[0,4],""n"":[10,4],""o"":[32,38],""p"":[2,4],""q"":[3,0],""r"":[6,10],""s"":[5,10],""t"":[5,7],""y"":[10,5]}"	UNEQUAL_INVENTORY	[]
IT2a	f102v1|f102v1.13-f102v1.14	f83r|f83r.52-f83r.55	72	"{""a"":[6,7],""c"":[5,4],""d"":[2,3],""e"":[7,6],""h"":[6,4],""i"":[11,4],""k"":[5,3],""l"":[4,12],""m"":[1,0],""n"":[4,3],""r"":[3,4],""s"":[1,3],""t"":[2,3],""y"":[3,4]}"	UNEQUAL_INVENTORY	[]
IT2a	f102v2|f102v2.37-f102v2.39	f106r|f106r.22-f106r.23	114	"{""a"":[4,8],""d"":[1,13],""e"":[22,13],""h"":[9,10],""k"":[9,5],""l"":[1,2],""n"":[3,1],""o"":[20,15],""p"":[0,5],""q"":[3,4],""r"":[11,9],""t"":[3,2],""y"":[12,11]}"	UNEQUAL_INVENTORY	[]
IT2a	f102v2|f102v2.37-f102v2.39	f108r|f108r.39-f108r.40	114	"{""a"":[4,7],""c"":[8,5],""d"":[1,9],""e"":[22,19],""h"":[9,6],""l"":[1,3],""m"":[0,2],""o"":[20,18],""p"":[0,1],""q"":[3,4],""r"":[11,6],""s"":[3,1],""t"":[3,6],""y"":[12,10]}"	UNEQUAL_INVENTORY	[]
IT2a	f103r|f103r.8-f103r.12	f86v5|f86v5.1-f86v5.6	302	"{""a"":[27,33],""c"":[10,9],""d"":[17,13],""e"":[41,22],""f"":[1,2],""h"":[22,20],""i"":[18,22],""k"":[18,13],""l"":[18,15],""m"":[2,4],""n"":[12,11],""o"":[41,38],""p"":[0,7],""q"":[5,7],""r"":[11,17],""s"":[14,13],""t"":[14,21],""y"":[31,35]}"	UNEQUAL_INVENTORY	[]
IT2a	f103r|f103r.13-f103r.15	f107v|f107v.29-f107v.31	150	"{""a"":[10,8],""c"":[9,7],""e"":[18,21],""h"":[15,8],""i"":[7,11],""k"":[13,15],""l"":[5,10],""m"":[0,1],""o"":[16,20],""p"":[2,0],""q"":[9,8],""r"":[3,2],""s"":[8,2],""t"":[5,6],""y"":[16,17]}"	UNEQUAL_INVENTORY	[]
IT2a	f103r|f103r.13-f103r.15	f114r|f114r.11-f114r.13	150	"{""a"":[10,8],""c"":[9,11],""d"":[8,16],""e"":[18,12],""f"":[0,2],""h"":[15,14],""i"":[7,13],""k"":[13,8],""l"":[5,7],""m"":[0,1],""n"":[6,4],""o"":[16,22],""q"":[9,3],""r"":[3,4],""s"":[8,4],""y"":[16,14]}"	UNEQUAL_INVENTORY	[]
IT2a	f103r|f103r.13-f103r.15	f114v|f114v.33-f114v.35	150	"{""a"":[10,11],""c"":[9,10],""d"":[8,3],""e"":[18,24],""h"":[15,13],""i"":[7,15],""k"":[13,9],""l"":[5,7],""m"":[0,1],""o"":[16,18],""p"":[2,0],""q"":[9,5],""s"":[8,4],""t"":[5,7],""y"":[16,14]}"	UNEQUAL_INVENTORY	[]
IT2a	f103r|f103r.13-f103r.15	f115v|f115v.31-f115v.33	150	"{""a"":[10,9],""c"":[9,19],""d"":[8,14],""e"":[18,15],""h"":[15,22],""k"":[13,4],""l"":[5,6],""n"":[6,3],""o"":[16,11],""p"":[2,5],""q"":[9,3],""r"":[3,7],""s"":[8,3],""t"":[5,6]}"	UNEQUAL_INVENTORY	[]
IT2a	f103r|f103r.13-f103r.15	f85r1|f85r1.20-f85r1.22	150	"{""c"":[9,12],""d"":[8,16],""e"":[18,15],""f"":[0,1],""h"":[15,14],""i"":[7,12],""k"":[13,4],""l"":[5,4],""n"":[6,5],""o"":[16,18],""q"":[9,4],""r"":[3,8],""s"":[8,2],""t"":[5,6],""y"":[16,17]}"	UNEQUAL_INVENTORY	[]
IT2a	f103r|f103r.16-f103r.17	f106r|f106r.32-f106r.33	105	"{""a"":[6,12],""c"":[5,7],""e"":[17,9],""f"":[1,0],""h"":[11,9],""i"":[4,8],""l"":[4,5],""n"":[2,3],""o"":[11,13],""p"":[1,2],""q"":[3,4],""r"":[5,6],""s"":[7,3],""t"":[3,2],""y"":[12,9]}"	UNEQUAL_INVENTORY	[]
IT2a	f103r|f103r.16-f103r.17	f112v|f112v.25-f112v.26	105	"{""a"":[6,4],""c"":[5,10],""d"":[5,7],""e"":[17,25],""f"":[1,0],""k"":[8,6],""m"":[0,1],""o"":[11,9],""q"":[3,4],""r"":[5,1],""s"":[7,3],""t"":[3,2],""y"":[12,11]}"	UNEQUAL_INVENTORY	[]
IT2a	f103r|f103r.16-f103r.17	f3r|f3r.11-f3r.14	105	"{""a"":[6,4],""c"":[5,7],""e"":[17,12],""f"":[1,0],""i"":[4,3],""k"":[8,7],""m"":[0,1],""n"":[2,1],""o"":[11,20],""q"":[3,8],""r"":[5,3],""t"":[3,2],""y"":[12,9]}"	UNEQUAL_INVENTORY	[]
IT2a	f103r|f103r.18-f103r.20	f106r|f106r.1-f106r.3	158	"{""a"":[13,2],""c"":[7,14],""d"":[6,19],""e"":[14,24],""f"":[0,1],""h"":[13,22],""i"":[12,0],""k"":[14,5],""l"":[11,3],""n"":[9,0],""o"":[20,16],""q"":[8,4],""r"":[4,5],""s"":[7,12],""t"":[4,10],""y"":[15,20]}"	UNEQUAL_INVENTORY	[]
IT2a	f103r|f103r.18-f103r.20	f10v|f10v.4-f10v.7	158	"{""a"":[13,8],""c"":[7,14],""e"":[14,5],""h"":[13,19],""i"":[12,18],""k"":[14,8],""l"":[11,4],""n"":[9,11],""o"":[20,22],""p"":[1,0],""q"":[8,9],""r"":[4,5],""s"":[7,5],""t"":[4,10],""y"":[15,14]}"	UNEQUAL_INVENTORY	[]
