edition	projected_length	paragraph_count	all_same_length_pairs	paragraph_ids
ZL3b	46	1	0	"[""f75r|f75r.47-f75r.53""]"
ZL3b	53	1	0	"[""f83r|f83r.47-f83r.49""]"
ZL3b	72	1	0	"[""f83r|f83r.52-f83r.55""]"
ZL3b	78	1	0	"[""f103r|f103r.33-f103r.34""]"
ZL3b	85	1	0	"[""f103r|f103r.43-f103r.44""]"
ZL3b	90	1	0	"[""f106v|f106v.26-f106v.27""]"
ZL3b	100	1	0	"[""f108r|f108r.29-f108r.30""]"
ZL3b	102	1	0	"[""f28v|f28v.4-f28v.6""]"
ZL3b	111	2	1	"[""f106v|f106v.40-f106v.41"",""f108r|f108r.35-f108r.36""]"
ZL3b	121	1	0	"[""f44v|f44v.1-f44v.3""]"
ZL3b	130	1	0	"[""f106r|f106r.24-f106r.26""]"
ZL3b	140	1	0	"[""f105r|f105r.35-f105r.37""]"
ZL3b	141	1	0	"[""f114v|f114v.23-f114v.25""]"
ZL3b	143	1	0	"[""f66v|f66v.6-f66v.8""]"
ZL3b	146	1	0	"[""f106r|f106r.10-f106r.12""]"
ZL3b	147	2	1	"[""f112r|f112r.39-f112r.41"",""f116r|f116r.15-f116r.17""]"
ZL3b	152	1	0	"[""f103r|f103r.21-f103r.23""]"
ZL3b	159	1	0	"[""f103r|f103r.18-f103r.20""]"
ZL3b	160	1	0	"[""f103r|f103r.30-f103r.32""]"
ZL3b	169	1	0	"[""f114v|f114v.20-f114v.22""]"
ZL3b	171	1	0	"[""f107r|f107r.1-f107r.3""]"
ZL3b	172	1	0	"[""f114v|f114v.8-f114v.10""]"
ZL3b	176	1	0	"[""f111v|f111v.45-f111v.47""]"
ZL3b	179	2	1	"[""f104v|f104v.19-f104v.21"",""f112r|f112r.23-f112r.26""]"
ZL3b	197	1	0	"[""f107v|f107v.16-f107v.19""]"
ZL3b	209	1	0	"[""f103v|f103v.5-f103v.8""]"
ZL3b	226	1	0	"[""f3r|f3r.1-f3r.10""]"
ZL3b	275	1	0	"[""f114v|f114v.1-f114v.5""]"
ZL3b	334	1	0	"[""f76v|f76v.10-f76v.15""]"
IT2a	9	2	1	"[""f24r|f24r.20-f24r.20"",""f27r|f27r.13-f27r.13""]"
IT2a	10	1	0	"[""f42r|f42r.6-f42r.6""]"
IT2a	12	2	1	"[""f28v|f28v.6-f28v.6"",""f31r|f31r.16-f31r.16""]"
IT2a	14	1	0	"[""f16r|f16r.4-f16r.4""]"
IT2a	15	2	1	"[""f18r|f18r.14-f18r.14"",""f94r|f94r.9-f94r.9""]"
IT2a	16	1	0	"[""f22v|f22v.16-f22v.16""]"
IT2a	17	2	1	"[""f58v|f58v.22-f58v.22"",""f9r|f9r.10-f9r.10""]"
IT2a	18	2	1	"[""f19v|f19v.14-f19v.14"",""f42r|f42r.15-f42r.15""]"
IT2a	19	1	0	"[""f42r|f42r.23-f42r.23""]"
IT2a	22	2	1	"[""f108v|f108v.53-f108v.53"",""f40v|f40v.19-f40v.19""]"
IT2a	24	2	1	"[""f105r|f105r.37-f105r.37"",""f86v5|f86v5.39-f86v5.39""]"
IT2a	25	1	0	"[""f82r|f82r.19-f82r.19""]"
IT2a	26	1	0	"[""f114r|f114r.34-f114r.34""]"
