surface	V40_concrete_prompt_default	prose_expansion	principal_reason
daiin	VORGESCHRIEBENES MASS:	in der für diesen Eintrag vorgeschriebenen Menge	Repeated measures can scope different local items.
chol	MIT ODER AUS DEM VORANSATZ:	mit der unmittelbar vorigen Zubereitung weiter	Repeated relation prompts can introduce multiple carried inputs.
dy	DIESER AKTIVE POSTEN:	diese gegenwärtig bearbeitete Portion oder Einheit	Triple and double local recurrence is natural as a deictic slot prompt, awkward as a repeated noun.
dal	BEZEICHNETES ZIEL:	an die im Bild oder Register bezeichnete Zielstelle führen	Separates destination ownership from the adjacent use/action card.
oky	JETZT VERWENDEN ODER AUSFÜHREN:	die aktive Portion jetzt verwenden	Portable Vollzug instruction across Herbal and Biological contexts.
chor	BEREITETE ARBEITSFLÜSSIGKEIT:	die bereits zubereitete Arbeitsflüssigkeit	Adjacent repetition can introduce parallel working-fluid slots rather than repeat a prose noun.
cthy	WENN GEBRAUCHSFERTIG:	sobald der erforderliche Bereitschaftszustand erreicht ist	Functions as a state gate in both registers.
char	AUS DEMSELBEN ANSATZ:	daraus oder aus derselben zuvor angesetzten Mischung	Same-source prompt avoids modern separate-charge wording.
shey	BIS KLARER DURCHGANG:	bis die Flüssigkeit klar abläuft oder die Sichtschwelle erfüllt ist	Best medical local anchor with a generic visible-threshold rival.
cholor	AUS DEM VORANSATZ ENTNEHMEN:	aus dem vorherigen Ansatz einen neuen Arbeitsteil entnehmen	Keeps the rare longer prior-source prompt distinct from CHOL.
chty	GLEICHMÄSSIG BEARBEITEN:	so lange bearbeiten bis der Zustand gleichmäßig ist	Medial process prompt survives both occurrences without requiring a specific mixing tool.
otchey	BEZEICHNETEN ANTEIL NEHMEN:	den zuvor bezeichneten Anteil als neuen Arbeitsteil nehmen	Field-initial TAKE prompt without unsupported finality.
