surface	exact_tuple_id	V39_concrete_default_German	events	pages	distinct_left_surfaces	literal_survives_all_occurrences
daiin	2f1c5e56e8f0ff459065	ein vorgeschriebenes Maß	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	17	PROVISIONAL_YES_WITH_GRAMMATICAL_POINTER_READING
chol	dcda95c81a5460feb191	mit der vorigen Zubereitung weiter	19	f10r|f81v|f83r	18	PROVISIONAL_YES_WITH_GRAMMATICAL_POINTER_READING
dy	b921a237be883a820352	diese aktive Portion	18	f10r|f11r|f55v|f81v|f82r|f83r	16	PROVISIONAL_YES_WITH_GRAMMATICAL_POINTER_READING
dal	dd0ecaf5e27d81befffc	an die bezeichnete Zielstelle führen	10	f56r|f81v|f82r|f83r	10	PROVISIONAL_YES_WITH_GRAMMATICAL_POINTER_READING
oky	276a7c2d74d1143446f4	die aktive Portion verwenden	10	f10r|f56r|f81v|f82r|f83r	9	PROVISIONAL_YES_WITH_GRAMMATICAL_POINTER_READING
chor	7a4bb8136330ee4e6e56	die bereitete Arbeitsflüssigkeit	7	f10r|f55v|f83r	6	PROVISIONAL_YES_WITH_GRAMMATICAL_POINTER_READING
cthy	e0b630cb1b5df5e7105b	sobald die Zubereitung gebrauchsfertig ist	7	f10r|f11r|f83r	7	PROVISIONAL_YES_WITH_GRAMMATICAL_POINTER_READING
char	4d4559019a961b834aa1	daraus, aus demselben Ansatz	5	f10r|f81v|f82r|f83r	5	PROVISIONAL_YES_WITH_GRAMMATICAL_POINTER_READING
shey	b5df9126607030b95175	bis die Flüssigkeit klar abläuft	4	f11r|f82r|f83r	4	PROVISIONAL_YES_WITH_GRAMMATICAL_POINTER_READING
cholor	dec401773c1f0347793d	aus dem vorigen Ansatz entnehmen	2	f10r|f81v	2	PROVISIONAL_YES_WITH_GRAMMATICAL_POINTER_READING
chty	80ebbbbf238eee9f0aef	gleichmäßig bearbeiten	2	f10r|f83r	2	PROVISIONAL_YES_WITH_GRAMMATICAL_POINTER_READING
otchey	faf321940aed922846a9	nimm den bezeichneten Anteil	2	f56r|f83r	1	PROVISIONAL_YES_WITH_GRAMMATICAL_POINTER_READING
