page	locus	record	core_event_count	repeated_core_surfaces	consecutive_same_core	visible_sequence	complete_effective_literal	diagnostic
f10r	f10r.2	1	4		FALSE	dchey cthoor char chty os chair otytchol oky daiin etyd	take the fibrous lower root / wash it in running water / daraus, aus demselben Ansatz / gleichmäßig bearbeiten / reduce it to a coarse powder / add red wine / drink it for pain of the stomach / die aktive Portion verwenden / ein vorgeschriebenes Maß / keep the remaining root dry	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f10r	f10r.6	2	6	dy	TRUE	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	it grows in damp meadow ground / sobald die Zubereitung gebrauchsfertig ist / die bereitete Arbeitsflüssigkeit / add the expressed juice / boil it gently / diese aktive Portion / diese aktive Portion / ein vorgeschriebenes Maß / diese aktive Portion	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f10r	f10r.8	2	6	chol	FALSE	qotchor chor otol chol cholor chol daiin dar	gathered before flowering / die bereitete Arbeitsflüssigkeit / one handful / mit der vorigen Zubereitung weiter / aus dem vorigen Ansatz entnehmen / mit der vorigen Zubereitung weiter / ein vorgeschriebenes Maß / daraus, aus demselben Ansatz	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f10r	f10r.9	2	4	chor|dy	TRUE	oykchor shor chor chy kaiiin dy chodaiin	when its flower has opened / die bereitete Arbeitsflüssigkeit / die bereitete Arbeitsflüssigkeit / diese aktive Portion / until a bitter taste remains / diese aktive Portion / preserve that portion under oil	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f11r	f11r.4	1	3	dy	FALSE	dchol chy kchy dy daiin	of this pictured simple / diese aktive Portion / bind it upon a swollen place / diese aktive Portion / ein vorgeschriebenes Maß	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f55v	f55v.5	1	2	daiin	FALSE	qokaiin chaiin ykain ykan ody daiin chedy talam	begin the next measured entry / ein vorgeschriebenes Maß / boil the broad leaf gently / in white wine / steep it until the liquor is clear / ein vorgeschriebenes Maß / stir until evenly mixed / wash the sore place once	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f55v	f55v.11	1	3		FALSE	ykaiin cheoar cheeky oldy aiin okal oltchy or y orain	for its second medicinal use / add white wine / while still warm / boil gently; close the rubric / ein vorgeschriebenes Maß / mix the two portions together / keep it in a covered jar / die bereitete Arbeitsflüssigkeit / diese aktive Portion / use the finished liquor fresh	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f81v	f81v.2	1	4	chol	FALSE	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	rinse the indicated place once; end this instruction / begin the next measured entry / the returning flow / mix the two portions together / daraus, aus demselben Ansatz / mit der vorigen Zubereitung weiter / one measured portion / the lower basin / an die bezeichnete Zielstelle führen / mit der vorigen Zubereitung weiter / before it cools / the prepared oil	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f81v	f81v.7	1	5	chol|daiin	FALSE	olor ol sheckhal daiin qokeedal daiin chckhy schedy qol	aus dem vorigen Ansatz entnehmen / mit der vorigen Zubereitung weiter / a moderate quantity / ein vorgeschriebenes Maß / the immersed part / ein vorgeschriebenes Maß / through the connected channels / wash the used vessel or channel through once; end this instruction / mit der vorigen Zubereitung weiter	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f81v	f81v.18	1	4	chol	FALSE	qokchdy chey ol cheky ol shedy qokedy qokedy chckhy qoky	heat it once; end this instruction / diese aktive Portion / mit der vorigen Zubereitung weiter / over a gentle heat / mit der vorigen Zubereitung weiter / let it stand until ready; end this instruction / rinse the indicated place once; end this instruction / rinse the indicated place once; end this instruction / through the connected channels / die aktive Portion verwenden	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f82r	f82r.23	1	3		FALSE	cheey qcthey qokeey lcheey daiin chey qokeeedy lchedy lar	bis die Flüssigkeit klar abläuft / under the same setting / temper the working liquid and keep it lukewarm / the immersed part / ein vorgeschriebenes Maß / diese aktive Portion / immerse fully; close the rubric / let the spent liquid drain into the lower receiving vessel; end this instruction / close the lower outlet	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f83r	f83r.3	1	4	dy	FALSE	olkeedy qotal chkeedy chey daiin chey lchedy qokaiin qotal dar	let the liquid settle; end this instruction / toward the lower outlet / immerse fully; close the rubric / diese aktive Portion / ein vorgeschriebenes Maß / diese aktive Portion / let the spent liquid drain into the lower receiving vessel; end this instruction / begin the next measured entry / toward the lower outlet / daraus, aus demselben Ansatz	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f83r	f83r.14	1	4	dal	FALSE	qokchedy qokeedy shedy qokshedy dal lchedy qokaiin shcthy dal sy	let it cool; close the rubric / bathe or immerse in the tempered warm liquid; end this instruction / let it stand until ready; end this instruction / boil gently; close the rubric / an die bezeichnete Zielstelle führen / let the spent liquid drain into the lower receiving vessel; end this instruction / begin the next measured entry / sobald die Zubereitung gebrauchsfertig ist / an die bezeichnete Zielstelle führen / diese aktive Portion	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f83r	f83r.15	1	4		FALSE	saiin shedal shecthy chey tal shcthy dalchdy qotchedy lchedy	ein vorgeschriebenes Maß / for one interval / warm water / diese aktive Portion / an die bezeichnete Zielstelle führen / sobald die Zubereitung gebrauchsfertig ist / retain the residue; close the rubric / mix in equal shares; close the rubric / let the spent liquid drain into the lower receiving vessel; end this instruction	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f83r	f83r.20	1	3		FALSE	solkeedy qoteedy qokeey qokedy sol cheeety qokedy qoky saiin	let the liquid settle; end this instruction / bind upon the place; close the rubric / temper the working liquid and keep it lukewarm / rinse the indicated place once; end this instruction / mit der vorigen Zubereitung weiter / after the first rinse / rinse the indicated place once; end this instruction / die aktive Portion verwenden / ein vorgeschriebenes Maß	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f83r	f83r.26	2	3		FALSE	otchey qokeey qoky tol shedy qokylddy	nimm den bezeichneten Anteil / temper the working liquid and keep it lukewarm / die aktive Portion verwenden / mit der vorigen Zubereitung weiter / let it stand until ready; end this instruction / bind upon the place; close the rubric	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f83r	f83r.48	3	3		FALSE	dal cheol lol chdal aiin	an die bezeichnete Zielstelle führen / mit der vorigen Zubereitung weiter / until warm / with the foregoing mixture / ein vorgeschriebenes Maß	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
f83r	f83r.54	4	3		FALSE	daiin ol dain chey ldalor	ein vorgeschriebenes Maß / mit der vorigen Zubereitung weiter / through a cloth / diese aktive Portion / at the indicated place	REPETITION_MAY_BE_GRAMMATICAL_POINTER_OR_LIST_SCOPING_NOT_CONTENT_NOUN
