page	locus	record	event_index	surface	exact_tuple_id	prior_default_English	V39_concrete_default_German	effective_default	anonymous_workshop_role	revision_status
f10r	f10r.2	1	1	dchey	65f320e75510b2f38182	take the fibrous lower root		take the fibrous lower root	PLANT_PART	V25_NONCORE_RETAINED
f10r	f10r.2	1	2	cthoor	dedc383b600397a301ee	wash it in running water		wash it in running water	PREPARATION_ACTION	V25_NONCORE_RETAINED
f10r	f10r.2	1	3	char	4d4559019a961b834aa1	from the same prepared batch	daraus, aus demselben Ansatz	daraus, aus demselben Ansatz	SAME_SOURCE	V39_CORE_REVISED
f10r	f10r.2	1	4	chty	80ebbbbf238eee9f0aef	work it until evenly homogeneous	gleichmäßig bearbeiten	gleichmäßig bearbeiten	PROCESS_TO_UNIFORMITY	V39_CORE_REVISED
f10r	f10r.2	1	5	os	df1098831679a8ad1b39	reduce it to a coarse powder		reduce it to a coarse powder	PREPARATION_ACTION	V25_NONCORE_RETAINED
f10r	f10r.2	1	6	chair	12efe866f335461823a6	add red wine		add red wine	MEDIUM	V25_NONCORE_RETAINED
f10r	f10r.2	1	7	otytchol	62ff059766b21c7de083	drink it for pain of the stomach		drink it for pain of the stomach	INDICATION	V25_NONCORE_RETAINED
f10r	f10r.2	1	8	oky	276a7c2d74d1143446f4	apply or use this portion	die aktive Portion verwenden	die aktive Portion verwenden	EXECUTE_USE	V39_CORE_REVISED
f10r	f10r.2	1	9	daiin	2f1c5e56e8f0ff459065	in the stated or usual measure	ein vorgeschriebenes Maß	ein vorgeschriebenes Maß	PARAMETER	V39_CORE_REVISED
f10r	f10r.2	1	10	etyd	a6939862e33ece5a0483	keep the remaining root dry		keep the remaining root dry	STORAGE	V25_NONCORE_RETAINED
f10r	f10r.5	1	1	qokchy	9ad66e67803a12e745de	use the freshly prepared remedy		use the freshly prepared remedy	PREPARATION_ACTION	V25_NONCORE_RETAINED
f10r	f10r.5	1	2	qotchol	e8a6105b5c3a6220b440	apply it while warm		apply it while warm	APPLICATION	V25_NONCORE_RETAINED
f10r	f10r.5	1	3	chol	dcda95c81a5460feb191	with the foregoing preparation	mit der vorigen Zubereitung weiter	mit der vorigen Zubereitung weiter	BACK_REFERENCE	V39_CORE_REVISED
f10r	f10r.5	1	4	cthy	e0b630cb1b5df5e7105b	when the preparation is ready	sobald die Zubereitung gebrauchsfertig ist	sobald die Zubereitung gebrauchsfertig ist	READINESS_GATE	V39_CORE_REVISED
f10r	f10r.6	2	1	ycheor	7249edc4df3419c26999	it grows in damp meadow ground		it grows in damp meadow ground	HABITAT	V25_NONCORE_RETAINED
