page	locus	record	event_count	core_event_count	visible_sequence	core_interlinear	complete_effective_literal
f10r	f10r.2	1	10	4	dchey cthoor char chty os chair otytchol oky daiin etyd	char=daraus, aus demselben Ansatz | chty=gleichmäßig bearbeiten | oky=die aktive Portion verwenden | daiin=ein vorgeschriebenes Maß	take the fibrous lower root / wash it in running water / daraus, aus demselben Ansatz / gleichmäßig bearbeiten / reduce it to a coarse powder / add red wine / drink it for pain of the stomach / die aktive Portion verwenden / ein vorgeschriebenes Maß / keep the remaining root dry
f10r	f10r.5	1	4	2	qokchy qotchol chol cthy	chol=mit der vorigen Zubereitung weiter | cthy=sobald die Zubereitung gebrauchsfertig ist	use the freshly prepared remedy / apply it while warm / mit der vorigen Zubereitung weiter / sobald die Zubereitung gebrauchsfertig ist
f10r	f10r.6	2	9	6	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	cthy=sobald die Zubereitung gebrauchsfertig ist | chor=die bereitete Arbeitsflüssigkeit | dy=diese aktive Portion | chy=diese aktive Portion | taiin=ein vorgeschriebenes Maß | shy=diese aktive Portion	it grows in damp meadow ground / sobald die Zubereitung gebrauchsfertig ist / die bereitete Arbeitsflüssigkeit / add the expressed juice / boil it gently / diese aktive Portion / diese aktive Portion / ein vorgeschriebenes Maß / diese aktive Portion
f10r	f10r.8	2	8	6	qotchor chor otol chol cholor chol daiin dar	chor=die bereitete Arbeitsflüssigkeit | chol=mit der vorigen Zubereitung weiter | cholor=aus dem vorigen Ansatz entnehmen | chol=mit der vorigen Zubereitung weiter | daiin=ein vorgeschriebenes Maß | dar=daraus, aus demselben Ansatz	gathered before flowering / die bereitete Arbeitsflüssigkeit / one handful / mit der vorigen Zubereitung weiter / aus dem vorigen Ansatz entnehmen / mit der vorigen Zubereitung weiter / ein vorgeschriebenes Maß / daraus, aus demselben Ansatz
f10r	f10r.9	2	7	4	oykchor shor chor chy kaiiin dy chodaiin	shor=die bereitete Arbeitsflüssigkeit | chor=die bereitete Arbeitsflüssigkeit | chy=diese aktive Portion | dy=diese aktive Portion	when its flower has opened / die bereitete Arbeitsflüssigkeit / die bereitete Arbeitsflüssigkeit / diese aktive Portion / until a bitter taste remains / diese aktive Portion / preserve that portion under oil
f11r	f11r.1	1	8	1	tshol schoal cfhy shfydaiin cphy shey tchody shoyty	shey=bis die Flüssigkeit klar abläuft	gather the root in spring / from shaded woodland / before the flowering crown opens / press the bruised root through cloth / strain the liquor a second time / bis die Flüssigkeit klar abläuft / leave the strained liquor uncovered to cool / reserve the flowering crown
f11r	f11r.4	1	5	3	dchol chy kchy dy daiin	chy=diese aktive Portion | dy=diese aktive Portion | daiin=ein vorgeschriebenes Maß	of this pictured simple / diese aktive Portion / bind it upon a swollen place / diese aktive Portion / ein vorgeschriebenes Maß
f11r	f11r.7	1	4	2	qotchy okchol cthy dy	cthy=sobald die Zubereitung gebrauchsfertig ist | dy=diese aktive Portion	make a warm poultice from its leaves / lay it on while warm / sobald die Zubereitung gebrauchsfertig ist / diese aktive Portion
f55v	f55v.5	1	8	2	qokaiin chaiin ykain ykan ody daiin chedy talam	chaiin=ein vorgeschriebenes Maß | daiin=ein vorgeschriebenes Maß	begin the next measured entry / ein vorgeschriebenes Maß / boil the broad leaf gently / in white wine / steep it until the liquor is clear / ein vorgeschriebenes Maß / stir until evenly mixed / wash the sore place once
f55v	f55v.11	1	10	3	ykaiin cheoar cheeky oldy aiin okal oltchy or y orain	aiin=ein vorgeschriebenes Maß | or=die bereitete Arbeitsflüssigkeit | y=diese aktive Portion	for its second medicinal use / add white wine / while still warm / boil gently; close the rubric / ein vorgeschriebenes Maß / mix the two portions together / keep it in a covered jar / die bereitete Arbeitsflüssigkeit / diese aktive Portion / use the finished liquor fresh
f56r	f56r.5	1	4	1	chochor cho chodaly daiin	daiin=ein vorgeschriebenes Maß	gather the plant in spring / then take the following ingredient or plant part / the thin lower root / ein vorgeschriebenes Maß
f56r	f56r.7	1	5	2	sho kchol otchor choky dal	choky=die aktive Portion verwenden | dal=an die bezeichnete Zielstelle führen	then take the following ingredient or plant part / steep it in white wine / gathered before flowering / die aktive Portion verwenden / an die bezeichnete Zielstelle führen
f56r	f56r.8	1	4	1	schol choy choky cheeckhody	choky=die aktive Portion verwenden	of this pictured simple / which grows on damp shaded heath / die aktive Portion verwenden / leave the plaster uncovered until dry
f56r	f56r.19	1	3	2	otchey keol daiin	otchey=nimm den bezeichneten Anteil | daiin=ein vorgeschriebenes Maß	nimm den bezeichneten Anteil / the pale opened flower / ein vorgeschriebenes Maß
f81v	f81v.2	1	12	4	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	sar=daraus, aus demselben Ansatz | ol=mit der vorigen Zubereitung weiter | al=an die bezeichnete Zielstelle führen | ol=mit der vorigen Zubereitung weiter	rinse the indicated place once; end this instruction / begin the next measured entry / the returning flow / mix the two portions together / daraus, aus demselben Ansatz / mit der vorigen Zubereitung weiter / one measured portion / the lower basin / an die bezeichnete Zielstelle führen / mit der vorigen Zubereitung weiter / before it cools / the prepared oil
f81v	f81v.7	1	9	5	olor ol sheckhal daiin qokeedal daiin chckhy schedy qol	olor=aus dem vorigen Ansatz entnehmen | ol=mit der vorigen Zubereitung weiter | daiin=ein vorgeschriebenes Maß | daiin=ein vorgeschriebenes Maß | qol=mit der vorigen Zubereitung weiter	aus dem vorigen Ansatz entnehmen / mit der vorigen Zubereitung weiter / a moderate quantity / ein vorgeschriebenes Maß / the immersed part / ein vorgeschriebenes Maß / through the connected channels / wash the used vessel or channel through once; end this instruction / mit der vorigen Zubereitung weiter
f81v	f81v.17	1	9	1	sshkchdy chedy ol shedy qolchedy qokain shckhy dl ral	ol=mit der vorigen Zubereitung weiter	keep it warm; close the rubric / stir until evenly mixed / mit der vorigen Zubereitung weiter / let it stand until ready; end this instruction / set the mixed liquid aside in a covered receiving vessel; end this instruction / add one measured portion to the vessel / through the connected channels / the prepared oil / and let it cool
f81v	f81v.18	1	10	4	qokchdy chey ol cheky ol shedy qokedy qokedy chckhy qoky	chey=diese aktive Portion | ol=mit der vorigen Zubereitung weiter | ol=mit der vorigen Zubereitung weiter | qoky=die aktive Portion verwenden	heat it once; end this instruction / diese aktive Portion / mit der vorigen Zubereitung weiter / over a gentle heat / mit der vorigen Zubereitung weiter / let it stand until ready; end this instruction / rinse the indicated place once; end this instruction / rinse the indicated place once; end this instruction / through the connected channels / die aktive Portion verwenden
f81v	f81v.21	1	9	1	lsho qokey lshedy lshedy chedy qolky lchedal qol otar	qol=mit der vorigen Zubereitung weiter	begin the rinsing / warm water / wash once; close this pass / wash once; close this pass / stir until evenly mixed / the affected place / the lower basin / mit der vorigen Zubereitung weiter / then use the lower outlet
