exercise	phase	control_core	control_reading_de	tail_recipe	surface	component_recipe	working_reading_de
S01	BEFORE	OK	ANSETZEN	AIIN	qokaiin	OK+AIIN	ANSETZEN · SOLLMASS
S01	AFTER	OL	WEITER	AIIN	qolaiin	OL+AIIN	WEITER · SOLLMASS
S02	BEFORE	OK	ANSETZEN	AL	qokal	OK+AL	ANSETZEN · ZIELSTELLE
S02	AFTER	OL	WEITER	AL	qolal	OL+AL	WEITER · ZIELSTELLE
S03	BEFORE	OK	ANSETZEN	E+DY	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS
S03	AFTER	OL	WEITER	E+DY	qoledy	OL+E+DY	WEITER · KURZ · SCHLUSS
S04	BEFORE	OK	ANSETZEN	AR	qokar	OK+AR	ANSETZEN · QUELLE
S04	AFTER	OL	WEITER	AR	qolar	OL+AR	WEITER · QUELLE
S05	BEFORE	OK	ANSETZEN	EE+Y	qokeey	OK+EE+Y	ANSETZEN · LANG · DIES
S05	AFTER	OL	WEITER	EE+Y	qoleey	OL+EE+Y	WEITER · LANG · DIES
S06	BEFORE	OK	ANSETZEN	EE+DY	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS
S06	AFTER	OL	WEITER	EE+DY	qoleedy	OL+EE+DY	WEITER · LANG · SCHLUSS
S07	BEFORE	OK	ANSETZEN	AL+Y	qokaly	OK+AL+Y	ANSETZEN · ZIELSTELLE · DIES
S07	AFTER	OT	DANACH	AL+Y	qotaly	OT+AL+Y	DANACH · ZIELSTELLE · DIES
S08	BEFORE	OK	ANSETZEN	SH+E+DY	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS
S08	AFTER	OT	DANACH	SH+E+DY	qotshedy	OT+SH+E+DY	DANACH · HALTEN · KURZ · SCHLUSS
