surface	value_de	kind	removed_overread
chodaly	Blütebeginn	picture-timed whole card	species-specific harvest date
kchol	auflegen	application whole card	body site
choy	waschen	wash whole card	named ailment
cheeckhody	auftragen; Schluss	terminal application card	external body diagnosis
sh	Kraut	picture-addressed material noun	flowering stalk anatomy
kchey	zerreiben	preparation whole card	tool and exact coarseness
kchal	abseihen	separation whole card	named filter material
kchoar	Gebrauchsauszug	product whole card	specific ailment remedy
sotodan	gebrauchen	use whole card	specific illness indication
keol	je Gabe	distribution whole card	named dosage unit
