order	event_id	locus	statement_id	surface	joint_tuple_id	selected_small_value_de	value_kind	old_context_removed
1	E074	f56r.5	H5-S001	chochor	b9d7b6d68209a9019e7a	Zutatenansatz	PRODUCTIVE_COMPOSITION	NO
2	E075	f56r.5	H5-S001	cho	2cc054357a929df85f64	Zutat	PRODUCTIVE_COMPOSITION	NO
3	E076	f56r.5	H5-S001	chodaly	0ec6a45e2950e8e7061d	Blütebeginn	MEMORIZED_WHOLE_CARD	YES
4	E077	f56r.5	H5-S001	daiin	2f1c5e56e8f0ff459065	Mass	PRODUCTIVE_COMPOSITION	NO
5	E078	f56r.7	H5-S001	sho	2cc054357a929df85f64	Zutat	PRODUCTIVE_COMPOSITION	NO
6	E079	f56r.7	H5-S001	kchol	893c570f3fa3fce99711	auflegen	MEMORIZED_WHOLE_CARD	YES
7	E080	f56r.7	H5-S001	otchor	10488b911aae52b3b334	Folgeansatz	PRODUCTIVE_COMPOSITION	NO
8	E081	f56r.7	H5-S001	choky	276a7c2d74d1143446f4	verwende dies	PRODUCTIVE_COMPOSITION	NO
9	E082	f56r.7	H5-S001	dal	dd0ecaf5e27d81befffc	Stelle	PRODUCTIVE_COMPOSITION	NO
10	E083	f56r.8	H5-S002	schol	d665560c8ff80799a82c	Fortsetzung	PRODUCTIVE_COMPOSITION	NO
11	E084	f56r.8	H5-S002	choy	c10aec6d4dd877ec8bd8	waschen	MEMORIZED_WHOLE_CARD	YES
12	E085	f56r.8	H5-S002	choky	276a7c2d74d1143446f4	verwende dies	PRODUCTIVE_COMPOSITION	NO
13	E086	f56r.8	H5-S002	cheeckhody	95987d6f198d6d247511	auftragen; Schluss	PRODUCTIVE_COMPOSITION	YES
14	E087	f56r.12	H5-S003	sh	ad3581d3144f69a5912d	Kraut	MEMORIZED_WHOLE_CARD	YES
15	E088	f56r.12	H5-S003	cho	2cc054357a929df85f64	Zutat	PRODUCTIVE_COMPOSITION	NO
16	E089	f56r.12	H5-S003	kchey	b74e9e65637b7c8538dd	zerreiben	MEMORIZED_WHOLE_CARD	YES
17	E090	f56r.12	H5-S003	qokokchy	1322bc176443fc2a8a86	erneut ansetzen	PRODUCTIVE_COMPOSITION	NO
18	E091	f56r.13	H5-S004	okchy	9ad66e67803a12e745de	nimm dies	PRODUCTIVE_COMPOSITION	NO
19	E092	f56r.13	H5-S004	chokcheo	087a47b5423438cd6b6a	Auszug zugeben	PRODUCTIVE_COMPOSITION	NO
20	E093	f56r.13	H5-S004	kchal	75a523fcf039b006f97b	abseihen	PRODUCTIVE_COMPOSITION	NO
21	E094	f56r.18	H5-S005	sho	2cc054357a929df85f64	Zutat	PRODUCTIVE_COMPOSITION	NO
22	E095	f56r.18	H5-S005	chokchy	9ad66e67803a12e745de	nimm dies	PRODUCTIVE_COMPOSITION	NO
23	E096	f56r.18	H5-S005	kchoar	c71c72da4e09e0833392	Gebrauchsauszug	MEMORIZED_WHOLE_CARD	NO
24	E097	f56r.18	H5-S005	sotodan	61a075bc54793c1c781f	gebrauchen	MEMORIZED_WHOLE_CARD	YES
25	E098	f56r.19	H5-S006	otchey	faf321940aed922846a9	nächstes	PRODUCTIVE_COMPOSITION	NO
26	E099	f56r.19	H5-S006	keol	9bb7122b386ebbc6138f	je Gabe	MEMORIZED_WHOLE_CARD	NO
27	E100	f56r.19	H5-S006	daiin	2f1c5e56e8f0ff459065	Mass	PRODUCTIVE_COMPOSITION	NO
