decision_id	surface	reading_id	input_category	dispatch_class	whole_family	expected_old_meaning_de	new_meaning_de	decision_basis	strongest_rival	open_slot_de	component_export_credit	historical_confirmation	observed_occurrence_count	observed_page_count	working_model_score_0_100_not_probability	working_model_level	semantic_scope	source_gdts_before	semantic_dose_hits_before_meaning	semantic_dose_hits_before_context	semantic_dose_hits_after_meaning	semantic_dose_hits_after_context	changed_fields	score_level_scope_export_evidence_unchanged	base_row_sha256	new_row_sha256	positive_evidence_sha256	counterevidence_sha256
G728-D001	chdain	chdain#GLOBAL	ROMAN_AXIS	PORTION	INDEXED_MATERIAL_AMOUNT	Trockendroge in Dosis II	zwei Portionen Trockendroge	VISIBLE_DRY_DRUG_HEAD_SELECTS_CARDINAL_AMOUNT	WERT	absolute Einheit und unabhängige Bestätigung des Stoffkopfs offen	0	H0_NONE	8	8	71	W3_SOLID_WORKING_THEORY	KNOWN_EXACT_WHOLE	GDT665:EXACT_WHOLE	1	1	0	0	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	1	9feadb4ad2654f9e0093eafff7989738151fa6b745b86b1e6ff2fc1a2e340b43	e6222ce710ccd69a5e15fdb9da7f82964aa6d9408164cddc3e51e4549352f1ee	97dda60467b39496bff8e0e216206b43e8984e1e8f4c07221d14f0e7fdfc6aa4	3a9a3e5f8f86a6dd3f185beedeb8b59140a313a56c274473dfb444df749c991b
G728-D002	chedain	chedain#GLOBAL	COUNTED_PLURAL	PORTION	COUNTED_DRY_DRUG_AMOUNT	zwei Dosen bis zur Mittelstufe getrockneter Droge	zwei Portionen bis zur Mittelstufe getrockneter Droge	COUNTED_MATERIAL_AMOUNT_WITHOUT_ADMINISTRATION	MASS	absolute Einheit und Stoffidentität offen	0	H0_NONE	17	12	76	W3_SOLID_WORKING_THEORY	KNOWN_EXACT_WHOLE	GDT667:EXACT_WHOLE	1	1	0	0	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	1	f15884fe0a7b172d5ed89c69535721d87e9b251e514d5e8b0db29aa3c42bada8	fbfd07c7466ce30102792d96ac35df072b60566a6ce284d10aeedae4eae4bd5d	8367100a5e373b2f2c8d8e5735acaa667e081126c94d0fe780b979529bf9afda	3a9a3e5f8f86a6dd3f185beedeb8b59140a313a56c274473dfb444df749c991b
G728-D003	cheedain	cheedain#GLOBAL	COUNTED_PLURAL	PORTION	COUNTED_DRY_DRUG_AMOUNT	zwei Dosen vollständig getrockneter Droge	zwei Portionen vollständig getrockneter Droge	COUNTED_MATERIAL_AMOUNT_WITHOUT_ADMINISTRATION	MASS	absolute Einheit und Stoffidentität offen	0	H0_NONE	2	2	48	W2_PROVISIONAL_WORKING	KNOWN_EXACT_WHOLE	GDT666:EXACT_WHOLE	1	1	0	0	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	1	3c6f86f7700c36e490fd3b826de4a2ab85e38677ad59413ffbdae4e3288bc4f2	ece22c5fab46aa522c82e278574e1fa31f3232078f535f84253ab76e551c08f4	b2004f9352dc730c29570ec14697c3cffad45853fed64833d11fb5026cefd489	3a9a3e5f8f86a6dd3f185beedeb8b59140a313a56c274473dfb444df749c991b
G728-D004	cheodaiin	cheodaiin#GLOBAL	COUNTED_PLURAL	PORTION	COUNTED_DRY_PREPARATION_AMOUNT	drei Dosen Trockenansatz auf mittlerer Trockenstufe	drei Portionen Trockenansatz auf mittlerer Trockenstufe	COUNTED_MATERIAL_AMOUNT_WITHOUT_ADMINISTRATION	WERT	Mengenachse des Ganzworts bleibt ersetzbar	0	H0_NONE	12	12	76	W3_SOLID_WORKING_THEORY	KNOWN_EXACT_WHOLE	GDT665:EXACT_WHOLE	1	1	0	0	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	1	045d7c6ba8672a648765d1a1c18b97fc4c3b7b309b84a37145b9ddd21cc72804	915d6a5f9902f9186b00d9dcf525891267071c9c9056b46044dbce00cb1e7a84	2eb7b173786bf46c80ee2e68b5fca4d660a70673e670daceb0d7d5c5db42adf2	3a9a3e5f8f86a6dd3f185beedeb8b59140a313a56c274473dfb444df749c991b
G728-D005	cheodain	cheodain#GLOBAL	ROMAN_AXIS	PORTION	INDEXED_DRY_PREPARATION_AMOUNT	Trockenansatz, Dosis II	zwei Portionen Trockenansatz	VISIBLE_PREPARATION_HEAD_SELECTS_CARDINAL_AMOUNT	WERT	Mengenachse des Ganzworts bleibt ersetzbar	0	H0_NONE	8	8	61	W3_SOLID_WORKING_THEORY	KNOWN_EXACT_WHOLE	GDT643:ROUND_01	1	1	0	0	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	1	e252135b811423d1ad4b5db095dffc9dcb8f1c71fde20714dd61dc804b42da55	c8d2e5541fa46c6793c01d9ae3634139ce70eee4f47efe1d55de7182d35a217f	3fa1ebe81b7e3d852daf40fb44ed96ab493e395f20722d1bf79b6d3ec34b7063	3a9a3e5f8f86a6dd3f185beedeb8b59140a313a56c274473dfb444df749c991b
G728-D006	daid	daid#GLOBAL	SINGULAR_OBJECT	PORTION	ORDINAL_WORK_PORTION	zweite Dosis abmessen und abschließen	die zweite Portion abmessen und abschließen	ORDINAL_WORK_ITEM_WITH_MEASURING_ACTION	WERT	Patient und Ordinalfunktion bleiben Ganzwortdefaults	0	H0_NONE	1	1	4	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	KNOWN_EXACT_WHOLE	GDT666:EXACT_WHOLE	1	1	0	0	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	1	b51d3e43747fc05722220f2aef87287dd0543007a95ea78de55e657ab2ebd4d8	3a4272f3c4515cd113b589f67fe71101be16abd52fe533813e40b6168b397c3f	6fc542e55cbe2394a3e53055f94c38d7be787f10cdf313b2be001e7e63cb2d9b	da09f4dbca2199684604af268afc304fe90cc9d15f41187bd40e46da883ee152
G728-D007	daiinls	daiinls#GLOBAL	COUNTED_PLURAL	PORTION	COUNTED_WOOD_DRUG_AMOUNT	drei Dosen einer Holzdrogencharge abmessen	drei Portionen einer Holzdrogencharge abmessen	COUNTED_MATERIAL_AMOUNT_WITHOUT_ADMINISTRATION	MASS	absolute Einheit und Holzstoffidentität offen	0	H0_NONE	1	1	4	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	KNOWN_EXACT_WHOLE	GDT666:EXACT_WHOLE	1	1	0	0	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	1	1a394bf565562e4b7517b467c3fc186b4a0f395adb1e1047ea5818e2bdd4820c	b66a3fb3e231e90dfe0685a2c3198d845546785f8c7b80339fe14267d2f58a06	6fc542e55cbe2394a3e53055f94c38d7be787f10cdf313b2be001e7e63cb2d9b	da09f4dbca2199684604af268afc304fe90cc9d15f41187bd40e46da883ee152
G728-D008	daiinol	daiinol#GLOBAL	COUNTED_PLURAL	PORTION	COUNTED_DRUG_MATERIAL_AMOUNT	drei Dosen Drogenstoff abmessen	drei Portionen Drogenstoff abmessen	COUNTED_MATERIAL_AMOUNT_WITHOUT_ADMINISTRATION	MASS	absolute Einheit und Stoffidentität offen	0	H0_NONE	1	1	4	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	KNOWN_EXACT_WHOLE	GDT669:EXACT_WHOLE	1	1	0	0	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	1	8454437f584de849fe6fe33397734490f67b67ea2d1a13c860efe22dbde2ca32	683d572dbbb7fdc9470f5bdacc8756dbb862ad2af25982d8acd7e0379650d97f	c9d69c51d53e783388b10c0e65c42ee832cb407715903f7b0c6c9d23cc4776a4	da09f4dbca2199684604af268afc304fe90cc9d15f41187bd40e46da883ee152
G728-D009	daim	daim#GLOBAL	SINGULAR_OBJECT	PORTION	ORDINAL_WORK_PORTION	eine zweite Dosis abmessen	eine zweite Portion abmessen	ORDINAL_WORK_ITEM_WITH_MEASURING_ACTION	WERT	Patient und Ordinalfunktion bleiben Ganzwortdefaults	0	H0_NONE	8	7	71	W3_SOLID_WORKING_THEORY	KNOWN_EXACT_WHOLE	GDT666:EXACT_WHOLE	1	1	0	0	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	1	c1544d6adacbe99aee4d75c115beb6f904fe905f3eb621622b31e13ccac4d551	a2cde7acc6b8f8d3fa30855a027823d197c9975b75b7e4e62013c5c5c626969d	f0e046d76b8effaecfb2957b5409625749af4dcf09ef430dcf1732eb63ecd50d	3a9a3e5f8f86a6dd3f185beedeb8b59140a313a56c274473dfb444df749c991b
G728-D010	dcheeey	dcheeey#GLOBAL	SINGULAR_OBJECT	PORTION	PROCESSED_WORK_PORTION	eine Dosis bis zur letzten Stufe trocknen und abschließen	eine Portion bis zur letzten Stufe trocknen und abschließen	WORK_PORTION_WITHOUT_ADMINISTRATION	HOLD	Patient bleibt aus dem Ganzwort erschlossen	0	H0_NONE	1	1	4	W0_PLACEHOLDER_OR_SEMANTICALLY_EMPTY	KNOWN_EXACT_WHOLE	GDT668:EXACT_WHOLE	1	1	0	0	working_meaning_de|source_gdts|relation_word_delta|v99_context_realizations_de|v99_audit_decision|v99_evidence_class|v99_open_semantic_slots|v99_lineage_class|v99_value_kind	1	3dcfe25f4a50d3b22b6d23a47db7a68da53faa15422c94fbc5955da441542f67	4db4cc2b4f6ab7e68ff0a03ba811fcd5d32ca4857f5c623b6291535897bce525	301aa02ed80ae3ffddb99a780e245e4544fe2ecdcab30dc2ade1d9a1c99c916a	da09f4dbca2199684604af268afc304fe90cc9d15f41187bd40e46da883ee152
