statement_id	page	record	owner_object_class	portable_objects	modifier_channels	owner_specialized_reading_de	object_inventory_complete
H1-S001	f10r	H1	PLANT_MATERIAL	MEASURED_PORTION|PICTURED_PLANT_MATTER|PREPARATION_BATCH	FLOW_LIQUID|GRADE|MEASURE|PREPARATION|READY|SOURCE	Bei der ersten abgebildeten Pflanze: abnehmen; dann übertragen; dann ablaufen lassen; dann eintragen + abnehmen; dann Pflanzenstoff in den Ansatz geben; dann eintragen. Angaben: bereit · Arbeitsgang · Ansatz | von dort | Arbeitsfach | vorgeschriebenes Maß.	YES
H1-S002	f10r	H1	PLANT_MATERIAL	PICTURED_PLANT_MATTER	READY	Bei der ersten abgebildeten Pflanze: Pflanzenstoff in den Ansatz geben; dann abnehmen. Angaben: fortsetzen | bereit · dieser Posten.	YES
H2-S001	f10r	H2	PLANT_MATERIAL	MEASURED_PORTION|PICTURED_PLANT_MATTER|PREPARATION_BATCH	GRADE|MEASURE|PREPARATION|READY	Bereite den Pflanzenstoff oder Ansatz vor. Vollfolge: abziehen.	YES
H2-S002	f10r	H2	PLANT_MATERIAL	MEASURED_PORTION|PICTURED_PLANT_MATTER|PREPARATION_BATCH	MEASURE|PREPARATION|SOURCE	Bereite den Pflanzenstoff oder Ansatz vor. Vollfolge: abziehen.	YES
H2-S003	f10r	H2	PLANT_MATERIAL	MEASURED_PORTION|PICTURED_PLANT_MATTER|PREPARATION_BATCH	MEASURE|PREPARATION|STAGE	Bei der ersten abgebildeten Pflanze: zugeben; dann zugeben; dann abziehen. Angaben: Ansatz | Ansatz | dieser Posten | dieser Posten.	YES
H3-S001	f11r	H3	BASIN_LIQUID	MEASURED_PORTION|WORKING_LIQUID	GRADE|MEASURE|TARGET	Bei der abgebildeten Blütenpflanze: eintragen + halten; dann an Ort halten; dann auswringen; dann ziehen lassen; dann hineingeben; dann ziehen lassen; dann abschließend eintragen + abziehen.	YES
H3-S002	f11r	H3	BASIN_LIQUID	WORKING_LIQUID	NONE	Bei der abgebildeten Blütenpflanze: halten + eintragen.	YES
H3-S003	f11r	H3	BASIN_LIQUID	MEASURED_PORTION|WORKING_LIQUID	MEASURE	Fülle eine abgemessene Portion der Beckenflüssigkeit ein. Vollfolge: zugeben.	YES
H3-S004	f11r	H3	BASIN_LIQUID	WORKING_LIQUID	READY	Fülle eine abgemessene Portion der Beckenflüssigkeit ein. Vollfolge: weiter beschicken.	YES
H4-S001	f55v	H4	PLANT_MATERIAL	MEASURED_PORTION|PICTURED_PLANT_MATTER	MEASURE|PORTION	Beschicke bis zum Sollmaß mit eine abgemessene Portion des Pflanzenstoffs und schließe den Schritt. Vollfolge: bis zum Sollmaß beschicken → dosiert zugeben → zugeben.	YES
H4-S002	f55v	H4	PLANT_MATERIAL	MEASURED_PORTION|PICTURED_PLANT_MATTER	MEASURE	Bei der abgebildeten breitblättrigen Pflanze: abmessen und umsetzen; dann verwahren. Angaben: vorgeschriebenes Maß.	YES
H4-S003	f55v	H4	PLANT_MATERIAL	MEASURED_PORTION|PICTURED_PLANT_MATTER	GRADE|HEAT|MEASURE|SOURCE	Bei der abgebildeten breitblättrigen Pflanze: dosiert zugeben; dann entnehmen; dann temperieren. Angaben: fortsetzen; Schritt schließen.	YES
H4-S004	f55v	H4	PLANT_MATERIAL	MEASURED_PORTION|PICTURED_PLANT_MATTER|PREPARATION_BATCH	MEASURE|PORTION|PREPARATION|TARGET	Bei der abgebildeten breitblättrigen Pflanze: anlegen; dann eintragen. Angaben: vorgeschriebenes Maß | Ansatz | dieser Posten | Ansatz · Portion.	YES
H5-S001	f56r	H5	PLANT_MATERIAL	MEASURED_PORTION|PICTURED_PLANT_MATTER|PREPARATION_BATCH	MEASURE|PREPARATION|TARGET	Bei der abgebildeten mehrköpfigen Pflanze: abziehen; dann zuführen; dann abziehen; dann Pflanzenstoff in den Ansatz geben. Angaben: Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | bezeichnete Stelle.	YES
H5-S002	f56r	H5	PLANT_MATERIAL	PICTURED_PLANT_MATTER	GRADE|PASSAGE	Bei der abgebildeten mehrköpfigen Pflanze: anlegen; dann ablaufen lassen. Angaben: fortsetzen | Gabe · dieser Posten.	YES
H5-S003	f56r	H5	PLANT_MATERIAL	PICTURED_PLANT_MATTER	GRADE	Bei der abgebildeten mehrköpfigen Pflanze: ziehen lassen; dann zugeben; dann einsetzen + einsetzen. Angaben: Gabe.	YES
H5-S004	f56r	H5	PLANT_MATERIAL	PICTURED_PLANT_MATTER	GRADE|TARGET	Bei der abgebildeten mehrköpfigen Pflanze: Pflanzenstoff in den Ansatz geben; dann ansetzen + abziehen; dann zuführen.	YES
H5-S005	f56r	H5	PLANT_MATERIAL	MEASURED_PORTION|PICTURED_PLANT_MATTER	PORTION|SOURCE	Bei der abgebildeten mehrköpfigen Pflanze: ansetzen; dann zugeben. Angaben: Gabe | danach · Arbeitsgang · Portion.	YES
H5-S006	f56r	H5	PLANT_MATERIAL	MEASURED_PORTION|PICTURED_PLANT_MATTER	GRADE|MEASURE	Fülle eine abgemessene Portion des Pflanzenstoffs ein. Vollfolge: zugeben.	YES
B1-S001	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	GRADE	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.	YES
B1-S002	f81v	B1	BASIN_LIQUID	MEASURED_PORTION|PREPARATION_BATCH|WORKING_LIQUID	FLOW_LIQUID|GRADE|MEASURE|PASSAGE|PORTION|PREPARATION|SOURCE|TARGET	Bei dem gemeinsamen Becken: bis zum Sollmaß beschicken; dann einspeisen; dann anlegen; dann dosiert zugeben; dann dosiert zugeben; dann abkühlen lassen; dann führen; dann zurückhalten; dann anlegen; dann durchleiten. Angaben: von dort | fortsetzen | bezeichnete Stelle | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | vorgeschriebenes Maß | Durchlass · dieser Posten.	YES
B1-S003	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	NONE	Bei dem gemeinsamen Becken: halten + zugeben + überführen. Angaben: fortsetzen.	YES
B1-S004	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	SETTLE	Führe die Bad- oder Beckenflüssigkeit weiter, fange sie oder ihn auf, lass absetzen und schließe den Schritt. Vollfolge: umschöpfen → absetzen lassen.	YES
B1-S005	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	NONE	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben.	YES
B1-S006	f81v	B1	BASIN_LIQUID	MEASURED_PORTION|WORKING_LIQUID	PASSAGE|PORTION|TARGET	Bei dem gemeinsamen Becken: eine abgemessene Portion der Beckenflüssigkeit einfüllen; dann durchleiten; dann abkühlen lassen. Angaben: Durchlass · dieser Posten.	YES
B1-S007	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	NONE	Fülle eine abgemessene Portion der Beckenflüssigkeit ein, führe sie weiter und schließe den Schritt. Vollfolge: einsetzen + überführen.	YES
B1-S008	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	GRADE|HEAT|SETTLE	Lass die Bad- oder Beckenflüssigkeit einwirken, dann absetzen, und schließe den Schritt. Vollfolge: warm halten → absetzen lassen.	YES
B1-S009	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	GRADE	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.	YES
B1-S010	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	GRADE	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.	YES
B1-S011	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	PASSAGE	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station. Vollfolge: einleiten.	YES
B1-S012	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	GRADE	Bei dem gemeinsamen Becken: waschen; dann wirken lassen; dann durchwaschen.	YES
B1-S013	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	GRADE	Bei dem gemeinsamen Becken: durchwaschen.	YES
B1-S014	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	SOURCE|TARGET	Bei dem gemeinsamen Becken: umschöpfen; dann auffangen; dann hinleiten + umfüllen. Angaben: fortsetzen | danach · von dort.	YES
B1-S015	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	GRADE	Übernimm die Bad- oder Beckenflüssigkeit, gib eine abgemessene Portion der Beckenflüssigkeit zu, führe weiter und schließe den Schritt. Vollfolge: übertragen → einsetzen + überführen.	YES
B1-S016	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	GRADE|SETTLE|TARGET	Bei dem gemeinsamen Becken: anlegen; dann wirken lassen; dann absetzen lassen. Angaben: fortsetzen.	YES
B1-S017	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	GRADE|TARGET	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: umfüllen.	YES
B1-S018	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	GRADE|STAGE	Bei dem gemeinsamen Becken: führen; dann stehen lassen; dann auffangen und stehen lassen. Angaben: Arbeitsgang · Sollstufe.	YES
B1-S019	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	SETTLE	Lass die Bad- oder Beckenflüssigkeit ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: absetzen lassen.	YES
B1-S020	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	GRADE|HEAT|PASSAGE	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: warm halten → zurückhalten.	YES
B1-S021	f81v	B1	BASIN_LIQUID	WORKING_LIQUID	TARGET	Bei dem gemeinsamen Becken: die gelernte Zustands- und Adressfolge setzen. Angaben: bezeichnete Stelle.	YES
B2-S001	f82r	B2	BASIN_LIQUID	WORKING_LIQUID	NONE	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben.	YES
B2-S002	f82r	B2	BASIN_LIQUID	WORKING_LIQUID	NONE	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben.	YES
B2-S003	f82r	B2	BASIN_LIQUID	MEASURED_PORTION|WORKING_LIQUID	GRADE|PORTION	Fülle eine abgemessene Portion der Beckenflüssigkeit ein, lass sie einwirken und schließe den Schritt. Vollfolge: eine abgemessene Portion der Beckenflüssigkeit einfüllen → einwirken lassen.	YES
B2-S004	f82r	B2	BASIN_LIQUID	WORKING_LIQUID	GRADE|PASSAGE|TARGET	Bei dem oberen Beckenpaar: anlegen; dann durchleiten; dann führen + umsetzen; dann wirken lassen; dann durchleiten.	YES
B2-S005	f82r	B2	BASIN_LIQUID	MEASURED_PORTION|WORKING_LIQUID	GRADE|HEAT|MEASURE|PASSAGE|READY|TARGET	Bei dem oberen Beckenpaar: anlegen; dann bis zum Maß auffangen; dann einleiten; dann einleiten; dann warm halten; dann abführen. Angaben: Durchlass · dieser Posten | Arbeitsgang · bereit · kurz · fortsetzen.	YES
B2-S006	f82r	B2	BASIN_LIQUID	WORKING_LIQUID	GRADE|PASSAGE|TARGET	Bei dem oberen Beckenpaar: anlegen; dann zurückhalten; dann die Bad- oder Beckenflüssigkeit einsetzen. Angaben: danach · länger · dieser Posten.	YES
