family	surface	zl3b_occurrences	pages	reader_exact_occurrences	cross_reader_only	working_reading_de
OTAL_GRID	okal	123	64	102	0	Ansatz aus heißem Rohstoff, Form I
OTAL_GRID	otal	119	57	109	0	Ansatz aus kaltem Rohstoff, Form I
OTAL_GRID	okar	119	55	91	0	Ansatz aus heißer Rohstofffraktion I
OTAL_GRID	otar	123	58	110	0	Ansatz aus kalter Rohstofffraktion I
OTAL_GRID	qokal	180	54	158	0	qo-Ansatz aus heißem Rohstoff, Form I
OTAL_GRID	qotal	57	36	54	0	qo-Ansatz aus kaltem Rohstoff, Form I
OTAL_GRID	qokar	153	62	132	0	qo-Ansatz aus heißer Rohstofffraktion I
OTAL_GRID	qotar	61	36	53	0	qo-Ansatz aus kalter Rohstofffraktion I
CTH_CARRIER	cthal	7	5	5	0	CTH-Rohstoffform I
CTH_CARRIER	cthar	14	12	13	0	CTH-Drogenfraktion I; im Kräuterbuch Blatt-/Krautfraktion
CTH_CARRIER	cthol	51	34	50	0	CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge
CTH_CARRIER	cthor	43	33	39	0	CTH-Drogenportion; im Kräuterbuch Blatt-/Krautportion
CTH_CARRIER	ctheol	8	8	7	0	gebundener CTH-Drogenstoff
CTH_CARRIER	ctheor	4	4	3	0	gebundener CTH-Drogenteil
NESTED_CHO_SHO	chokchy	15	13	13	0	Trockenansatz: heiß-trockene Grundform
NESTED_CHO_SHO	chotchy	11	7	10	0	Trockenansatz: kalt-trockene Grundform
NESTED_CHO_SHO	shokchy	6	6	5	0	Feuchtansatz: heiß-trockene Grundform
NESTED_CHO_SHO	shotchy	2	2	1	0	Feuchtansatz: kalt-trockene Grundform
CHOD_CLOSURE	kcho	7	7	4	0	heiß-trockene Zubereitung
CHOD_CLOSURE	kchod	3	3	3	0	heiß-trockene Zubereitung, fertig gebunden
CHOD_CLOSURE	kchody	4	4	3	0	heiß-trockene Zubereitung, fertig gebundene Grundform
CHOD_CLOSURE	tcho	8	8	3	0	kalt-trockene Zubereitung
CHOD_CLOSURE	tchod	2	2	2	0	kalt-trockene Zubereitung, fertig gebunden
CHOD_CLOSURE	tchody	8	8	6	0	kalt-trockene Zubereitung, fertig gebundene Grundform
CHOD_CLOSURE	okcho	7	7	6	0	heiß-trockene Zubereitung im o-Rahmen
CHOD_CLOSURE	okchod	1	1	1	0	heiß-trockene Zubereitung im o-Rahmen, fertig gebunden
CHOD_CLOSURE	okchody	3	3	2	0	heiß-trockene Zubereitung im o-Rahmen, fertig gebundene Grundform
CHOD_CLOSURE	otcho	7	7	6	0	kalt-trockene Zubereitung im o-Rahmen
CHOD_CLOSURE	otchod	2	2	2	0	kalt-trockene Zubereitung im o-Rahmen, fertig gebunden
CHOD_CLOSURE	otchody	3	3	2	0	kalt-trockene Zubereitung im o-Rahmen, fertig gebundene Grundform
CHOD_CLOSURE	qokcho	9	7	7	0	heiß-trockene Zubereitung im qo-Rahmen
CHOD_CLOSURE	qokchod	5	5	3	0	heiß-trockene Zubereitung im qo-Rahmen, fertig gebunden
CHOD_CLOSURE	qokchody	2	2	2	0	heiß-trockene Zubereitung im qo-Rahmen, fertig gebundene Grundform
CHOD_CLOSURE	qotcho	9	9	9	0	kalt-trockene Zubereitung im qo-Rahmen
CHOD_CLOSURE	qotchod	2	2	2	0	kalt-trockene Zubereitung, fertig gebunden
CHOD_CLOSURE	qotchody	3	3	2	0	kalt-trockene Zubereitung im qo-Rahmen, fertig gebundene Grundform
Y_QUALITY_CARRIER	ykol	12	12	9	0	heißer Drogenstoff dieser Droge
Y_QUALITY_CARRIER	ykor	5	5	4	0	heiße Portion dieser Droge
Y_QUALITY_CARRIER	ytol	14	13	11	0	kalter Drogenstoff dieser Droge
Y_QUALITY_CARRIER	ytor	13	13	12	0	kalte Portion dieser Droge
Y_QUALITY_CARRIER	ykchol	6	5	5	0	heiß-trockener Drogenstoff dieser Droge
Y_QUALITY_CARRIER	ykchor	5	4	4	0	heiß-trockene Portion dieser Droge
Y_QUALITY_CARRIER	ytchol	5	5	4	0	kalt-trockener Drogenstoff dieser Droge
Y_QUALITY_CARRIER	ytchor	8	7	8	0	kalt-trockene Portion dieser Droge
