introduced_round	enabled_by_surface	rank	score	strict_eligible	page	locus	section	language	hand	token_count	known_tokens	context_licensed_tokens	ambiguous_tokens	reader_unstable_tokens	unknown_tokens	coverage_fraction	reader_exact_tokens	split_normalized_tokens	all_three_present	all_present_exact	zl3b_line	token_glosses_de	gloss_sources	scope_states	unknown_ordinals	unknown_surfaces	unknown_ordinal	unknown_surface	previous	following	proposed_default_de	proposal_basis	proposal_strength	proposed_complete_translation_de
1	otal	51	1309800	1	f75v	f75v.50	B	B	2	2	1	0	0	0	1	0.500000	2	2	1	1	otal opal	Ansatz aus kaltem Rohstoff, Form I | [opal:?]	GDT644:ROUND_01 | OPEN	KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE	2	opal	2	opal	otal	<EOS>	Rohstoff, Zubereitung/Ansatz	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	Ansatz aus kaltem Rohstoff, Form I; Rohstoff, Zubereitung/Ansatz
1	otal	8	5299400	0	f83v	f83v.30	B	B	2	6	5	0	0	1	1	0.833333	5	5	1	0	qokaiin chedy qokal otal chedy qotals	heiß, Grad III | getrockneter Zustand | heiße Substanz | Ansatz aus kaltem Rohstoff, Form I | getrockneter Zustand | [qotals:?]	V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | GDT644:ROUND_01 | V13:TARGET_SURFACE_DEFAULT | OPEN	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE	6	qotals	6	qotals	chedy	<EOS>	kalt, Rohstoff	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	heiß, Grad III; getrockneter Zustand; heiße Substanz; Ansatz aus kaltem Rohstoff, Form I; getrockneter Zustand; kalt, Rohstoff
2	cthol	24	4109500	1	f18r	f18r.12	H	A	1	5	4	1	0	0	1	0.800000	5	5	1	1	ychair cthol daiin qokchy cthy	[ychair:?] | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | Qualitätsgrad III | heiß-trocken | CTH-Drogenmaterial	OPEN | GDT644:ROUND_02 | V13:CONTEXTUAL_VALUE_SERIES | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT	UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	1	ychair	1	ychair	<BOS>	cthol	ychair: ungeklärt	NO_VISIBLE_COMPOSITION_NO_FILLER	OPEN	ychair: ungeklärt; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; Qualitätsgrad III; heiß-trocken; CTH-Drogenmaterial
2	cthol	53	2199700	0	f19v	f19v.14	H	A	1	3	2	0	0	1	1	0.666667	1	1	1	0	otchol cheaiin cthol	kalt-trockener Zubereitungsstoff | [cheaiin:?] | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	GDT638:ROUND_06 | OPEN | GDT644:ROUND_02	READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE	2	cheaiin	2	cheaiin	otchol	cthol	trocken	VISIBLE_SINGLE_FIELD_COMPOSITION	LOW	kalt-trockener Zubereitungsstoff; trocken; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge
2	cthol	1	8109100	1	f28v	f28v.8	H	A	1	9	8	5	0	0	1	0.888889	9	9	1	1	okain chan chain cthor dain yk chy daiin cthol	heiß im Zubereitungsrahmen, Grad II | trocken, Grad I | trocken, Grad II | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | Menge/Portion II | [yk:?] | trocken, Grundform | Grad-/Maßwert III | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	V13:QUALITY_DEGREE_SERIES | V13:QUALITY_DEGREE_SERIES | V13:QUALITY_DEGREE_SERIES | GDT638:ROUND_04 | V13:CONTEXTUAL_VALUE_SERIES | OPEN | V13:TARGET_SURFACE_DEFAULT | V13:CONTEXTUAL_VALUE_SERIES | GDT644:ROUND_02	KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE	6	yk	6	yk	dain	chy	yk: ungeklärt	NO_VISIBLE_COMPOSITION_NO_FILLER	OPEN	heiß im Zubereitungsrahmen, Grad II; trocken, Grad I; trocken, Grad II; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; Menge/Portion II; yk: ungeklärt; trocken, Grundform; Grad-/Maßwert III; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge
2	cthol	2	7309200	1	f35r	f35r.14	H	A	1	8	7	3	0	0	1	0.875000	8	8	1	1	cthol chol aiin qotchy otchor daiin shol qotaiin	CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | trocken; nominal trockenes Gut/Material | Menge III | kalt-trocken | [otchor:?] | Menge/Portion III | feucht; nominal feuchtes Gut/Material | kalt, Grad III	GDT644:ROUND_02 | V13:DRY_OL_FORM | V13:TARGET_SURFACE_DEFAULT | V13:TARGET_SURFACE_DEFAULT | OPEN | V13:CONTEXTUAL_VALUE_SERIES | V13:MOIST_OL_FORM | V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE	5	otchor	5	otchor	qotchy	daiin	kalt, Portion/Zutat, Zubereitung/Ansatz	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; trocken; nominal trockenes Gut/Material; Menge III; kalt-trocken; kalt, Portion/Zutat, Zubereitung/Ansatz; Menge/Portion III; feucht; nominal feuchtes Gut/Material; kalt, Grad III
2	cthol	27	3309600	1	f36v	f36v.13	H	A	1	4	3	0	0	0	1	0.750000	4	4	1	1	oky she cthol oty	[oky:?] | feucht, attributiv gebunden | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | kalter Ansatz, Grundform	OPEN | V13:TARGET_SURFACE_DEFAULT | GDT644:ROUND_02 | V13:TARGET_SURFACE_DEFAULT	UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	1	oky	1	oky	<BOS>	she	heiß, Zubereitung/Ansatz, Grundform	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	heiß, Zubereitung/Ansatz, Grundform; feucht, attributiv gebunden; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; kalter Ansatz, Grundform
2	cthol	28	3309600	1	f4r	f4r.7	H	A	1	4	3	1	0	0	1	0.750000	4	4	1	1	qotaiin cthol daiin cthom	kalt, Grad III | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | Qualitätsgrad III | [cthom:?]	V13:TARGET_SURFACE_DEFAULT | GDT644:ROUND_02 | V13:CONTEXTUAL_VALUE_SERIES | OPEN	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE	4	cthom	4	cthom	daiin	<EOS>	Blatt-/Krautansatz, Einheit/Maß I	MANUAL_COMPOSITION:cth plant-drug head + o preparation + m unit I	MEDIUM	kalt, Grad III; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; Qualitätsgrad III; Blatt-/Krautansatz, Einheit/Maß I
2	cthol	41	3109600	1	f54v	f54v.12	H	A	1	4	3	2	0	0	1	0.750000	4	4	1	1	tol chol cthol s	kalt; nominal kaltes Gut/Material | trocken; nominal trockenes Gut/Material | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | [s:?]	V13:COLD_OL_FORM | V13:DRY_OL_FORM | GDT644:ROUND_02 | OPEN	KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE	4	s	4	s	cthol	<EOS>	s: ungeklärt	NO_VISIBLE_COMPOSITION_NO_FILLER	OPEN	kalt; nominal kaltes Gut/Material; trocken; nominal trockenes Gut/Material; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; s: ungeklärt
2	cthol	35	3299600	0	f93r	f93r.31	H	A	1	4	3	1	1	0	1	0.750000	4	4	1	1	ol chol cthol olchod	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken; nominal trockenes Gut/Material | CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge | [olchod:?]	V13:QUALITY_STATE_MATERIAL_CARRIER | V13:DRY_OL_FORM | GDT644:ROUND_02 | OPEN	AMBIGUOUS_ACTIVE_RIVAL | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE	4	olchod	4	olchod	cthol	<EOS>	Material/Zubereitungsstoff, Zubereitung/Ansatz	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trocken; nominal trockenes Gut/Material; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge; Material/Zubereitungsstoff, Zubereitung/Ansatz
