surface	locus	zl3b_line	it2a_line	rf1b_line	reader_gate	working_meaning_de	rival_de	decision
otal	f112r.19	polchdy o l otal y raiin sheky qeey qokey qokeey qoky am	polchdy ol otaly saiin sheky qeey qokey qokeey qoko am	polchdy ol otalysaiin sheky qeey qokey qokeey qokyam	AT_LEAST_ONE_ALL_READER_EXACT	Ansatz aus kaltem Rohstoff, Form I	kalte Rohstoffzubereitung, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
otal	f113v.11	orsheor oteeo cheey olkeey otal chotair otar qotar okar oko lkedal ram	or sheor oteeo cheey olkeey otol chotair otar qotar okar oko lkedal ram	orsheor oteeo cheey olkeey ot l chotair otar qotar okar oko lkedal ram	AT_LEAST_ONE_ALL_READER_EXACT	Ansatz aus kaltem Rohstoff, Form I	kalte Rohstoffzubereitung, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
otal	f116r.15	pchoetal otedal otal oteedy olr daiin okeedy qoky dar al keedy shdy	pchoetal otedal otal oteedy olr daiin okeedy qoky dar al keedy shdy	pchoetal ote al tal oteedy olr daiin okeedy qoky dar al keedy dy	AT_LEAST_ONE_ALL_READER_EXACT	Ansatz aus kaltem Rohstoff, Form I	kalte Rohstoffzubereitung, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
otal	f39v.12	paiin alaiin otal chd okar am okar cheodal ockhy	paiin alaiin otal chd okar am okar cheodal ockhy	paiin alaiin otalch okar am okar cheodal ockhy	AT_LEAST_ONE_ALL_READER_EXACT	Ansatz aus kaltem Rohstoff, Form I	kalte Rohstoffzubereitung, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
otal	f44r.3	oair ekokeey kshotol otal daiin ototaykal	oair ekokeey kshotol otol daiin otota ykal	oair ekokeey kshotol ot l daiin ototaykal	AT_LEAST_ONE_ALL_READER_EXACT	Ansatz aus kaltem Rohstoff, Form I	kalte Rohstoffzubereitung, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
otal	f51r.15	qokol cheor ckhal s or aldy otal	qokol cheor ckhal s or aldy otal	qokol cheor ckhal s or aldy ot l	AT_LEAST_ONE_ALL_READER_EXACT	Ansatz aus kaltem Rohstoff, Form I	kalte Rohstoffzubereitung, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
otal	f79r.16	shain shckhy qoly kshedy otal sheey qokain shey qokam	shain shckhy qoly kshedy otal sheey qokain shey qokam	shain shckhy qoly kshedy ot l eey qokain shey qok m	AT_LEAST_ONE_ALL_READER_EXACT	Ansatz aus kaltem Rohstoff, Form I	kalte Rohstoffzubereitung, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
otal	f83r.12	qockhol sheckhy otal qokeal sheckhdy al okedy qokedy qokal	qockhol sheckhy otal qokeal cseckhdy ckol okedy qokedy qokal	qockhol sheckhy tal qokeal eckhdy l okedy qokedy qokal	AT_LEAST_ONE_ALL_READER_EXACT	Ansatz aus kaltem Rohstoff, Form I	kalte Rohstoffzubereitung, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
otal	f86v5.20	ychor ar aiin ytaly otaiin ykaiin otal ytar aiin ytaiiil	ychor ar aiin ytaly otaiin ykaiin otar ytar aiin ytaiim	ychor ar aiin ytaly otaiin ykaiin otal ytar aiin ytaiiim	AT_LEAST_ONE_ALL_READER_EXACT	Ansatz aus kaltem Rohstoff, Form I	kalte Rohstoffzubereitung, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
otal	f95r2.7	dshedy otal qokal dol or eeedy okeedy okedyted otam	dshedy otol qokal dol or eeedy okeesy okedyted otam	dshedy otol qokal ol or eeedy okeedy oke y ted otam	AT_LEAST_ONE_ALL_READER_EXACT	Ansatz aus kaltem Rohstoff, Form I	kalte Rohstoffzubereitung, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
cthol	f37r.3	qo shy qokaiin cthol dy ckhor oky dy	qoshy qokaiin cthol dy ckhor oky dy	qo shy qokaiin ctholdy ckhor oky dy	AT_LEAST_ONE_ALL_READER_EXACT	CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	CTH-Drogengut; im Kräuterbuch Blatt- oder Krautmaterial	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
chokchy	f42r.17	shotol shol chety daiin chokchy chkaiin	shotol shol chety daiin chokchy chkaiin	shotol shol chety daiin chokch chkaiin	AT_LEAST_ONE_ALL_READER_EXACT	Trockenansatz: heiß-trockene Grundform	Trockenpräparat aus heiß-trockener Droge, Grundform	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
chokchy	f4v.7	torchy sheeor chor chokchy cphydy	torchy sheeor chor shokchy cphydy	torchy sheeor chor chokchy cphydy	AT_LEAST_ONE_ALL_READER_EXACT	Trockenansatz: heiß-trockene Grundform	Trockenpräparat aus heiß-trockener Droge, Grundform	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
