clause_id	physical_page	locus_span	visible_owner_or_namespace_de	event_count	surface_sequence	complete_working_translation_de	reading_source	end_reason	event_ids
P915-C001	f10r	f10r.1|f10r.2|f10r.3|f10r.4	zweiknolliges blauköpfiges Heilkraut	39	pchocthy shor octhody chorchy pchodol chopchal ypch kom dchey cthoor char chty os chair otytchol oky daiin etyd qotor o tchy daiin chocthy qotchy chol or yty dy dy sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody	Vom gezeigten Speicherwurzelstock einen Teil entnehmen, im Gefäß nach Sollmaß ansetzen, den ersten Zug auffangen, durch den Durchlass führen und bis zur Gebrauchsbereitschaft bearbeiten; den Teilgang schließen.	HERBAL_NATURAL_REWRITE	LICENSED_DY_CLOSE	P912-E0001|P912-E0002|P912-E0003|P912-E0004|P912-E0005|P912-E0006|P912-E0007|P912-E0008|P912-E0009|P912-E0010|P912-E0011|P912-E0012|P912-E0013|P912-E0014|P912-E0015|P912-E0016|P912-E0017|P912-E0018|P912-E0019|P912-E0020|P912-E0021|P912-E0022|P912-E0023|P912-E0024|P912-E0025|P912-E0026|P912-E0027|P912-E0028|P912-E0029|P912-E0030|P912-E0031|P912-E0032|P912-E0033|P912-E0034|P912-E0035|P912-E0036|P912-E0037|P912-E0038|P912-E0039
P915-C002	f10r	f10r.5|f10r.6|f10r.7|f10r.8|f10r.9|f10r.10|f10r.11|f10r.12	zweiknolliges blauköpfiges Heilkraut	53	qokchy qotchol chol cthy ycheor cthy chor cthaiin qoctholy dy chy taiin shy dchy qokchol y kchaiin yty daiin cth dain dair am qotchor chor otol chol cholor chol daiin dar oykchor shor chor chy kaiiin dy chodaiin oqotor otor cfhy cthor osain ytoiin otchoshor qoty qotor cthyd otar odaiin daiin qotchy qotor	Danach einen weiteren Wurzel-, Blatt- oder Kopfanteil nehmen, anwärmen, pressen und portionsweise in den Topf geben; den Ansatz nach Sollmaß weiterführen, einen Teil trennen und die Fortsetzung offenlassen.	HERBAL_NATURAL_REWRITE	PAGE_END_OPEN	P912-E0040|P912-E0041|P912-E0042|P912-E0043|P912-E0044|P912-E0045|P912-E0046|P912-E0047|P912-E0048|P912-E0049|P912-E0050|P912-E0051|P912-E0052|P912-E0053|P912-E0054|P912-E0055|P912-E0056|P912-E0057|P912-E0058|P912-E0059|P912-E0060|P912-E0061|P912-E0062|P912-E0063|P912-E0064|P912-E0065|P912-E0066|P912-E0067|P912-E0068|P912-E0069|P912-E0070|P912-E0071|P912-E0072|P912-E0073|P912-E0074|P912-E0075|P912-E0076|P912-E0077|P912-E0078|P912-E0079|P912-E0080|P912-E0081|P912-E0082|P912-E0083|P912-E0084|P912-E0085|P912-E0086|P912-E0087|P912-E0088|P912-E0089|P912-E0090|P912-E0091|P912-E0092
P915-C003	f11r	f11r.1	blühender dreikroniger Sodenstock	7	tshol schoal cfhy shfydaiin cphy shey tchody	Vom Blütenkraut einen Sudansatz bilden, auswringen, die vorgeschriebene Stehzeit abwarten, nachseihen, den Klarlauf abnehmen und kalt stellen; den Teilgang schließen.	HERBAL_NATURAL_REWRITE	LICENSED_DY_CLOSE	P912-E0093|P912-E0094|P912-E0095|P912-E0096|P912-E0097|P912-E0098|P912-E0099
P915-C004	f11r	f11r.1|f11r.2|f11r.3|f11r.4|f11r.5|f11r.6|f11r.7	blühender dreikroniger Sodenstock	52	shoyty socthody qodor y kshy daiin ytchy ytchoky kchol daiin qoty chol cthy dor ykychy choty dain chaiin daiin dod dchol chy kchy dy daiin tchol shor shor dky y daiin cthy d y chodl daiin odl d s y otol chaiin ykchor dair chody cthy s daiin qotchy okchol cthy dy	Einen Blütenanteil als Reserve zurücklegen, vom vorigen Ansatz die Sollmenge nehmen, weitere Teile zugeben und den Folgezug halten; einen Teil als Trank oder Gebrauchsauszug weiterleiten, der Artikelzug bleibt offen.	HERBAL_NATURAL_REWRITE	PAGE_END_OPEN	P912-E0100|P912-E0101|P912-E0102|P912-E0103|P912-E0104|P912-E0105|P912-E0106|P912-E0107|P912-E0108|P912-E0109|P912-E0110|P912-E0111|P912-E0112|P912-E0113|P912-E0114|P912-E0115|P912-E0116|P912-E0117|P912-E0118|P912-E0119|P912-E0120|P912-E0121|P912-E0122|P912-E0123|P912-E0124|P912-E0125|P912-E0126|P912-E0127|P912-E0128|P912-E0129|P912-E0130|P912-E0131|P912-E0132|P912-E0133|P912-E0134|P912-E0135|P912-E0136|P912-E0137|P912-E0138|P912-E0139|P912-E0140|P912-E0141|P912-E0142|P912-E0143|P912-E0144|P912-E0145|P912-E0146|P912-E0147|P912-E0148|P912-E0149|P912-E0150|P912-E0151
P915-C005	f13r	f13r.1|f13r.2|f13r.3|f13r.4|f13r.5	große Wurzelkrone mit Blatt und Blütenstand	42	torshor opchy shol dy qopchy shol opchor dypchy dchg dchol chol dol shkchy ydal shy ykchy qoty daiin s y s y dchor shaiin oeees ykor chor ytshy ykchy kchy dar qodchy ytchy otchor shorodo shy tshy kchol dpchy qopchy otchol cfholdy	Die Wurzelkrone aktivieren, ein Brutknöllchen und den ersten Teil abnehmen, im Ansatz halten, nach Sollmaß zugeben und den Blütenanteil mitführen; auspressen und den Teilgang schließen.	HERBAL_NATURAL_REWRITE	LICENSED_DY_CLOSE	P912-E0152|P912-E0153|P912-E0154|P912-E0155|P912-E0156|P912-E0157|P912-E0158|P912-E0159|P912-E0160|P912-E0161|P912-E0162|P912-E0163|P912-E0164|P912-E0165|P912-E0166|P912-E0167|P912-E0168|P912-E0169|P912-E0170|P912-E0171|P912-E0172|P912-E0173|P912-E0174|P912-E0175|P912-E0176|P912-E0177|P912-E0178|P912-E0179|P912-E0180|P912-E0181|P912-E0182|P912-E0183|P912-E0184|P912-E0185|P912-E0186|P912-E0187|P912-E0188|P912-E0189|P912-E0190|P912-E0191|P912-E0192|P912-E0193
P915-C006	f13r	f13r.6|f13r.7	große Wurzelkrone mit Blatt und Blütenstand	16	tchor dor daiin qotchol okchy okchor oiin chckhy d dchy qoky chol dy qoy d oldy	Vom restlichen Wurzelansatz eine Sollmenge nehmen, den Folgeansatz setzen, durch den Durchlass führen, an der Teilstelle fortsetzen und schließen.	HERBAL_NATURAL_REWRITE	LICENSED_DY_CLOSE	P912-E0194|P912-E0195|P912-E0196|P912-E0197|P912-E0198|P912-E0199|P912-E0200|P912-E0201|P912-E0202|P912-E0203|P912-E0204|P912-E0205|P912-E0206|P912-E0207|P912-E0208|P912-E0209
P915-C007	f13r	f13r.7|f13r.8|f13r.9	große Wurzelkrone mit Blatt und Blütenstand	10	okchor doaiin shochy qokchy torchy k s okchey daiin oldy	Einen Blattanteil nach Sollmaß in den nächsten Ansatz geben, kurz bearbeiten, prüfen und den zweiten Teilgang schließen.	HERBAL_NATURAL_REWRITE	LICENSED_DY_CLOSE	P912-E0210|P912-E0211|P912-E0212|P912-E0213|P912-E0214|P912-E0215|P912-E0216|P912-E0217|P912-E0218|P912-E0219
P915-C008	f13r	f13r.9	große Wurzelkrone mit Blatt und Blütenstand	6	shey chol doiin ykoly okchal daldy	Den angesetzten Posten kurz halten, auf der nächsten Arbeitsstufe fortführen, zur bezeichneten Stelle geben und dort schließen.	HERBAL_NATURAL_REWRITE	LICENSED_DY_CLOSE	P912-E0220|P912-E0221|P912-E0222|P912-E0223|P912-E0224|P912-E0225
P915-C009	f13r	f13r.10	große Wurzelkrone mit Blatt und Blütenstand	3	sotchy kchy okorory	Den nächsten Pflanzenteil auswählen, zugeben und mit dem vorhandenen Ansatz vereinigen; die Fortsetzung bleibt offen.	HERBAL_NATURAL_REWRITE	PAGE_END_OPEN	P912-E0226|P912-E0227|P912-E0228
P915-C010	f55v	f55v.1|f55v.2	große aromatische Doldenpflanze	8	kcheedchdy oedain chckhy otoldaiin dodyd oeeed yteey okeedy	Von der großen Doldenpflanze eine Portion entnehmen, durch den bezeichneten Durchlass führen, vollständig bearbeiten und länger ansetzen; den ersten Teilgang schließen.	HERBAL_NATURAL_REWRITE	LICENSED_DY_CLOSE	P912-E0229|P912-E0230|P912-E0231|P912-E0232|P912-E0233|P912-E0234|P912-E0235|P912-E0236
