physical_page	book_stage	unit_role_de	visible_owner_or_namespace_de	events	prose_clauses	local_address_events	primary_layer_counts	complete_working_translation_de
f10r	I_STOFF	Pflanzenartikel A	zweiknolliges blauköpfiges Heilkraut	92	2	0	COMMON_FORMULA_CARD:15|MEMORIZED_SPECIALIST_WHOLE_WORD:7|PRODUCTIVE_ROOT_COMPOSITION:70	Von der doppelten Speicherwurzel einen Teil nehmen, in das Gefäß geben und mit Arbeitsflüssigkeit ansetzen. Den ersten Zug auffangen, weiterbearbeiten und nach Sollmaß schließen. Danach einen weiteren Wurzel-, Blatt- oder Kopfanteil nehmen, anwärmen, pressen und im Topf als zweite Charge weiterführen; diese Fortsetzung bleibt offen.
f11r	I_STOFF	Pflanzenartikel B	blühender dreikroniger Sodenstock	59	2	0	COMMON_FORMULA_CARD:7|MEMORIZED_SPECIALIST_WHOLE_WORD:10|PRODUCTIVE_ROOT_COMPOSITION:42	Vom blühenden dreikronigen Soden das Blütenkraut nehmen und einen Sudansatz bilden. Auswringen, die vorgeschriebene Stehzeit abwarten, nachseihen, den Klarlauf abnehmen und kalt stellen. Einen weiteren Blütenanteil zurücklegen; vom vorigen Ansatz die nächste Portion als Trank oder Gebrauchsauszug auf Sollmaß bringen.
f13r	I_STOFF	Pflanzenartikel C	große Wurzelkrone mit Blatt und Blütenstand	77	5	0	COMMON_FORMULA_CARD:10|IMAGE_OWNED_SPECIALIST_CARD:5|PRODUCTIVE_ROOT_COMPOSITION:62	Die große Wurzelkrone aktivieren. Einen ersten Wurzelteil und ein Brutknöllchen in den Ansatz geben, Teilmengen nach Sollmaß zufügen und den Blütenanteil mitführen; weiter auspressen und schließen. Danach Restwurzel durch den Durchlass führen, einen Blattanteil in den Folgeansatz geben, kurz halten und zur Zielstelle bringen. Einen letzten Pflanzenteil zugeben; die Fortsetzung bleibt offen.
f55v	I_STOFF	Pflanzenartikel D	große aromatische Doldenpflanze	106	5	0	COMMON_FORMULA_CARD:21|MEMORIZED_SPECIALIST_WHOLE_WORD:4|PRODUCTIVE_ROOT_COMPOSITION:81	Von der großen Doldenpflanze den Wurzelstock ansetzen. Die Sollmenge in Portionen teilen, abkühlen und verwahren. Weitere Blatt- und Doldenanteile zugeben, einzelne Züge anwärmen, zwischen Gefäßstellen versetzen und durch den Durchlass führen. Vier kleine Teilgänge schließen; der Hauptansatz läuft weiter.
f56r	I_STOFF	Pflanzenartikel E	stachelköpfiges Kraut in mehreren Reifestufen	105	3	0	COMMON_FORMULA_CARD:17|MEMORIZED_SPECIALIST_WHOLE_WORD:10|PRODUCTIVE_ROOT_COMPOSITION:78	Stängel und den jeweils gezeigten Knospen-, Blüten- oder reifen Kopfanteil getrennt nehmen. Den Stängel zerreiben, den Auszug einsetzen und abseihen. Einen Anteil auflegen oder an der bezeichneten Stelle auftragen, den nächsten Reifeanteil nach Sollmaß zugeben und die Gabe zur folgenden Anwendung weiterführen.
f75r	III_ANWENDUNG	großes Bad-/Stationsblatt	großes Bad-/Stationsblatt mit dreieckiger Insel	418	111	10	COMMON_FORMULA_CARD:179|LOCAL_ADDRESS_COMPOSITION:10|PRODUCTIVE_ROOT_COMPOSITION:229	Großes Stationsformular: wiederholte Teilposten werden aus markierten Quellen genommen, nach Füllung oder Sollwert an lokale Zielstellen gesetzt, gehalten, über sichtbare Durchlässe geführt und in Becken aufgefangen. Das dreieckige Einsatzfeld ist ein eigener lokaler Besitzer.
f81v	III_ANWENDUNG	gemeinsames Badfeld	gemeinsames zweireihiges Badfeld	255	54	2	COMMON_FORMULA_CARD:83|LOCAL_ADDRESS_COMPOSITION:2|MEMORIZED_SPECIALIST_WHOLE_WORD:12|PRODUCTIVE_ROOT_COMPOSITION:158	Zweireihiges gemeinsames Badfeld: Portionen wandern zwischen Quell-, Innen- und Zielbecken; Halten, Weiterführen, Auffangen, Absetzen und Zellschluss bilden die wiederkehrende Arbeitsfolge.
f82r	III_ANWENDUNG	mehrere Bad- und Leitungsstationen	mehrere getrennte Bad- und Leitungsstationen	291	62	13	COMMON_FORMULA_CARD:104|LOCAL_ADDRESS_COMPOSITION:13|MEMORIZED_SPECIALIST_WHOLE_WORD:22|PRODUCTIVE_ROOT_COMPOSITION:152	Mehrere getrennte Bad- und Leitungsvignetten: jede Szene hat ihren eigenen Arbeitsweg. Sollwerte, Teilmengen, Durchlässe, Klarlauf und Spülung werden lokal kombiniert; es gibt keinen einzigen Seitenkreislauf.
f83r	III_ANWENDUNG	Variantenatlas der Stationen	Variantenatlas lokaler Becken und Anwendungen	345	91	4	COMMON_FORMULA_CARD:124|LOCAL_ADDRESS_COMPOSITION:4|MEMORIZED_SPECIALIST_WHOLE_WORD:30|PRODUCTIVE_ROOT_COMPOSITION:187	Variantenatlas von Becken, Anwendungen und kurzen Leitungsstücken: Posten werden gewählt, temperiert, gehalten, umgeleitet, aufgefangen, aufgetragen oder abgesetzt. Sichtbare Verbindungen gelten nur innerhalb der jeweiligen Variante.
f67r2	IV_ZEIT_UND_AUSWAHL	zwei Himmelsräder und Tabelle	zwei getrennte Himmelsräder und Tabelle	190	11	64	COMMON_FORMULA_CARD:8|LOCAL_ADDRESS_COMPOSITION:64|PRODUCTIVE_ROOT_COMPOSITION:118	Im ersten Himmelsrad einen Platz und seinen Wert wählen, im zweiten Rad einen getrennten Platz bestimmen und in der zugehörigen Tabelle Grad oder Arbeitsklasse nachschlagen. Die Einträge geben Auswahl- und Einstellwerte; die zwei Räder bleiben getrennte Instrumente.
