position	microcycle	owner	source_record_namespace	joint_tuple_id	hand_c_surface	atomic_value_de	slot_code	incoming_state	outgoing_state	board_address	composition_source	running_page_exemplar_needed	value_and_identity_attested
1	1	H4_LEAF_OWNER	H4	2cc054357a929df85f64	sho	Zutat	S1_BEZUG_FOLGE	M1_RAW_PART	M1_RAW_PART	M1_RAW_PART__S1_BEZUG_FOLGE	BOARD_PRODUCTIVE_RULE	NO	YES
2	1	H4_LEAF_OWNER	H4	7a4bb8136330ee4e6e56	sor	Ansatz	S1_BEZUG_FOLGE	M1_RAW_PART	M2_PREPARATION	M2_PREPARATION__S1_BEZUG_FOLGE	BOARD_PRODUCTIVE_RULE	NO	YES
3	1	H4_LEAF_OWNER	H4	807591efc3d3f7ddbfab	cheoar	Auszugnahme	S3_PROZESS_TRANSFER	M2_PREPARATION	M2_PREPARATION	M3_CLEAR_EXTRACT__S3_PROZESS_TRANSFER	BOARD_PRODUCTIVE_RULE	NO	YES
4	1	H4_LEAF_OWNER	H4	2c1a5fd92b9e3c762242	cheeky	Langwärme	S4_DAUER_ZUSTAND	M2_PREPARATION	M2_PREPARATION	M3_CLEAR_EXTRACT__S4_DAUER_ZUSTAND	BOARD_PRODUCTIVE_RULE	NO	YES
5	2	H4_LEAF_OWNER	H4	5fca8fc3dee57e1d8c1f	lcheey	Klarabzug	S3_PROZESS_TRANSFER	M2_PREPARATION	M3_CLEAR_EXTRACT	M3_CLEAR_EXTRACT__S3_PROZESS_TRANSFER	BOARD_PRODUCTIVE_RULE	NO	YES
6	2	H4_LEAF_OWNER	H4	e0b630cb1b5df5e7105b	shcthy	Bereit	S6_BEREIT_ABSCHLUSS	M3_CLEAR_EXTRACT	M3_CLEAR_EXTRACT	M4_MEASURED_PORTION__S6_BEREIT_ABSCHLUSS	BOARD_PRODUCTIVE_RULE	NO	YES
7	3	B4_MAIN_ARCH_LINKED_PAIR	B4	b921a237be883a820352	sy	Diesposten	S1_BEZUG_FOLGE	M3_CLEAR_EXTRACT	M3_CLEAR_EXTRACT	M4_MEASURED_PORTION__S1_BEZUG_FOLGE	BOARD_PRODUCTIVE_RULE	NO	YES
8	3	B4_MAIN_ARCH_LINKED_PAIR	B4	2f1c5e56e8f0ff459065	saiin	Sollmaß	S2_MATERIAL_MASS	M3_CLEAR_EXTRACT	M4_MEASURED_PORTION	M4_MEASURED_PORTION__S2_MATERIAL_MASS	BOARD_PRODUCTIVE_RULE	NO	YES
9	3	B4_MAIN_ARCH_LINKED_PAIR	B4	4a7a6326ac95a8809302	qokaly	Zieleinsatz	S5_ZIEL_ANWENDUNG	M4_MEASURED_PORTION	M5_APPLICATION_ITEM	M3_CLEAR_EXTRACT__S5_ZIEL_ANWENDUNG	PAIR_PLACARD_P13	NO	YES
10	4	B4_MAIN_ARCH_LINKED_PAIR	B4	0275fbf14e07935b0a45	okeey	Langkontakt	S4_DAUER_ZUSTAND	M5_APPLICATION_ITEM	M5_APPLICATION_ITEM	M4_MEASURED_PORTION__S4_DAUER_ZUSTAND	PAIR_PLACARD_P07	NO	YES
11	4	B4_MAIN_ARCH_LINKED_PAIR	B4	eb2e4bc143f623ee03ac	qokylddy	befestigen	S6_BEREIT_ABSCHLUSS	M5_APPLICATION_ITEM	M5_APPLICATION_ITEM	M4_MEASURED_PORTION__S6_BEREIT_ABSCHLUSS	OWNER_PINNED_MASTER_CARD_T11	NO	YES
