herbal_record	bio_record	shared_card_types	shared_card_ids	shared_bigrams	shared_bigram_ids	shared_trigrams	shared_trigram_ids	shared_fourgrams	strongest_bridge	decision
H1	B1	4	PROC003,PROC008,PROC009,PROC013	0	NONE	0	NONE	0	SHARED_CARD_VOCABULARY	THEMATIC_COMPATIBILITY_ONLY__NO_DIRECT_CROSS_REFERENCE
H1	B2	3	PROC003,PROC008,PROC009	0	NONE	0	NONE	0	SHARED_CARD_VOCABULARY	THEMATIC_COMPATIBILITY_ONLY__NO_DIRECT_CROSS_REFERENCE
H1	B3	6	PROC003,PROC004,PROC008,PROC009,PROC013,PROC014	1	PROC008>PROC009	0	NONE	0	SHARED_TWO_CARD_GRAMMAR	THEMATIC_COMPATIBILITY_ONLY__NO_DIRECT_CROSS_REFERENCE
H1	B4	3	PROC008,PROC009,PROC013	0	NONE	0	NONE	0	SHARED_CARD_VOCABULARY	THEMATIC_COMPATIBILITY_ONLY__NO_DIRECT_CROSS_REFERENCE
H1	B5	2	PROC009,PROC013	0	NONE	0	NONE	0	SHARED_CARD_VOCABULARY	THEMATIC_COMPATIBILITY_ONLY__NO_DIRECT_CROSS_REFERENCE
H1	B6	2	PROC009,PROC013	0	NONE	0	NONE	0	SHARED_CARD_VOCABULARY	THEMATIC_COMPATIBILITY_ONLY__NO_DIRECT_CROSS_REFERENCE
H2	B1	5	PROC003,PROC009,PROC013,PROC019,PROC022	1	PROC022>PROC013	0	NONE	0	SHARED_TWO_CARD_GRAMMAR	THEMATIC_COMPATIBILITY_ONLY__NO_DIRECT_CROSS_REFERENCE
H2	B2	3	PROC003,PROC009,PROC019	1	PROC009>PROC019	0	NONE	0	SHARED_TWO_CARD_GRAMMAR	THEMATIC_COMPATIBILITY_ONLY__NO_DIRECT_CROSS_REFERENCE
H2	B3	6	PROC003,PROC009,PROC013,PROC014,PROC016,PROC019	2	PROC009>PROC019 | PROC019>PROC009	1	PROC019>PROC009>PROC019	0	Y>AIIN>Y__GENERIC_MEASURE_FRAME	THEMATIC_COMPATIBILITY_ONLY__NO_DIRECT_CROSS_REFERENCE
H2	B4	4	PROC009,PROC013,PROC016,PROC019	1	PROC016>PROC019	0	NONE	0	SHARED_TWO_CARD_GRAMMAR	THEMATIC_COMPATIBILITY_ONLY__NO_DIRECT_CROSS_REFERENCE
H2	B5	2	PROC009,PROC013	0	NONE	0	NONE	0	SHARED_CARD_VOCABULARY	THEMATIC_COMPATIBILITY_ONLY__NO_DIRECT_CROSS_REFERENCE
