card_no	component_recipe	atomic_reading_de	herbal_events	herbal_records	herbal_event_ids	bio_events	bio_records	bio_event_ids	portable_status
PROC003	AR	QUELLE	2	H1,H2	E003,E031	3	B1,B2,B3	E105,E199,E238	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC004	T+Y	ANWENDEN · DIES	1	H1	E004	1	B3	E311	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC008	OK+Y	ANSETZEN · DIES	3	H1,H5	E008,E081,E085	7	B1,B2,B3,B4	E140,E188,E195,E247,E251,E298,E323	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC009	AIIN	MASS	9	H1,H2,H3,H4,H5	E009,E022,E030,E051,E057,E061,E068,E077,E100	11	B1,B2,B3,B4,B5,B6	E116,E118,E207,E217,E233,E274,E299,E332,E338,E369,E377	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC013	OL	FORTSETZEN	3	H1,H2	E013,E027,E029	16	B1,B3,B4,B5,B6	E106,E110,E114,E121,E124,E133,E135,E148,E154,E295,E324,E343,E366,E370,E376,E378	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC014	CTH+Y	BEREITEN · DIES	3	H1,H2,H3	E014,E016,E054	4	B3	E271,E279,E289,E310	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC016	OR	ANSATZ	5	H2,H4	E017,E025,E033,E034,E071	2	B3,B4	E254,E348	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC019	Y	DIES	9	H2,H3,H4	E020,E021,E023,E035,E037,E048,E050,E055,E072	9	B1,B2,B3,B4,B6	E132,E170,E208,E232,E234,E273,E277,E349,E380	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC022	OL+OR	FORTSETZEN · ANSATZ	1	H2	E028	1	B1	E113	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC031	SH+EE+Y	HALTEN · LANG · DIES	1	H3	E044	3	B2,B4	E197,E203,E353	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC038	OK+AIIN	ANSETZEN · MASS	1	H4	E056	8	B1,B2,B3	E102,E180,E181,E219,E236,E243,E256,E270	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC042	CHD+Y	UMSETZEN · DIES	1	H4	E062	10	B1,B3,B4,B5	E123,E145,E244,E252,E287,E304,E319,E328,E342,E372	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC046	CHK+EE+Y	WAERMEN · LANG · DIES	1	H4	E066	1	B4	E333	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC047	OL+DY	FORTSETZEN · SCHLUSS	1	H4	E067	1	B4	E337	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC048	OK+AL	ANSETZEN · ZIEL	1	H4	E069	5	B1,B2,B3	E104,E152,E172,E186,E241	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC055	AL	ZIEL	1	H5	E082	9	B1,B2,B3,B4,B5	E109,E156,E166,E214,E268,E272,E278,E359,E365	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
PROC065	OT+Y	DANACH · DIES	1	H5	E098	1	B4	E321	SHARED_WORKSHOP_CARD__NOT_CROSS_REFERENCE
