statement_id	record_unit_id	page	run_pattern	run_count	event_count	fresh_surfaces	atomic_chain	compact_template_reading_de	old_fluent_reading_de	compact_word_count	old_word_count	terminal_scope
B1-S001	B1	f81v	TREAT	1	1	qokedy	Kurzkontakt;	BEHANDELN: Kurzkontakt.	Lass ihn kurz einwirken	2	4	TERMINAL
B1-S002	B1	f81v	MEASURE>LOCAL_CONTROL>CHARGE>LOCAL_CONTROL>CHARGE>LOCAL_CONTROL>CHARGE>LOCAL_CONTROL>PASS_FILTER>MEASURE>LOCAL_CONTROL>MEASURE>PASS_FILTER>CHARGE	14	19	qokaiin kair okal char ol kain olkain al ol rol dl olor ol sheckhal aiin qokeedal aiin chckhy schedy	bemessen → Beckenlauf → Orteinsatz → davon → weiter → Portion → Folgeportion → dorthin → weiter → Anschluss → Zusatz → Gleichansatz → weiter → Zielkurzpassage → Sollmaß → Ziellanghalt → Sollmaß → durchleiten → überführen;	EINSTELLEN: bemessen; dann STEUERN: Beckenlauf; dann EINBRINGEN: Orteinsatz; dann STEUERN: davon – weiter; dann EINBRINGEN: Portion – Folgeportion; dann STEUERN: dorthin – weiter – Anschluss; dann EINBRINGEN: Zusatz – Gleichansatz; dann STEUERN: weiter; dann DURCHARBEITEN: Zielkurzpassage; dann EINSTELLEN: Sollmaß; dann STEUERN: Ziellanghalt; dann EINSTELLEN: Sollmaß; dann DURCHARBEITEN: durchleiten; dann EINBRINGEN: überführen.	Messe den Posten ab; Führe durch den Beckenlauf; Setze ihn dort ein; Nimm davon; Arbeite weiter; Nimm eine Portion; Nimm einen weiteren Anteil; Führe ihn dorthin; Arbeite weiter; Schließe am nächsten Abschnitt an; Gib den Zusatz zu; Verwende denselben Ansatz weiter; Arbeite weiter; Führe ihn kurz durch die Zielpassage; Arbeite nach dem vorgeschriebenen Maß; Setze ihn lange am Ziel ein; Arbeite nach dem vorgeschriebenen Maß; Leite den Posten hindurch; Führe den Posten über	46	73	TERMINAL
B1-S003	B1	f81v	LOCAL_CONTROL>CHARGE	2	2	qol sshkchdy	weiter → übertragen;	STEUERN: weiter; dann EINBRINGEN: übertragen.	Arbeite weiter; Übertrage ihn	5	4	TERMINAL
B1-S004	B1	f81v	CHARGE>LOCAL_CONTROL>SETTLE	3	3	chdy ol cheedy	überführen → weiter → Kurzabsetzung;	EINBRINGEN: überführen; dann STEUERN: weiter; dann ABSETZEN: Kurzabsetzung.	Führe den Posten über; Arbeite weiter; Lass ihn kurz absetzen	8	10	TERMINAL
B1-S005	B1	f81v	LOCAL_CONTROL	1	1	qolchedy	weiterführen;	STEUERN: weiterführen.	Führe ihn weiter	2	3	TERMINAL
B1-S006	B1	f81v	CHARGE>PASS_FILTER>CHARGE>LOCAL_CONTROL	4	4	qokain chckhy dl ral	Zugabe → durchleiten → Zusatz → Zielmarke	EINBRINGEN: Zugabe; dann DURCHARBEITEN: durchleiten; dann EINBRINGEN: Zusatz; dann STEUERN: Zielmarke …	Gib einen Anteil zu; Leite den Posten hindurch; Gib den Zusatz zu; Halte die Zielmarke ein	11	16	NONCLOSE
B1-S007	B1	f81v	CHARGE	1	1	qokchdy	Neueinsatz;	EINBRINGEN: Neueinsatz.	Setze einen neuen Posten ein	2	5	TERMINAL
B1-S008	B1	f81v	LOCAL_CONTROL>TREAT>LOCAL_CONTROL>SETTLE	4	5	y ol cheky ol cheedy	dies → weiter → Kurzwärme → weiter → Kurzabsetzung;	STEUERN: dies – weiter; dann BEHANDELN: Kurzwärme; dann STEUERN: weiter; dann ABSETZEN: Kurzabsetzung.	Halte diesen Posten aktiv; Arbeite weiter; Wärme ihn kurz; Arbeite weiter; Lass ihn kurz absetzen	12	15	TERMINAL
B1-S009	B1	f81v	TREAT	1	1	qokedy	Kurzkontakt;	BEHANDELN: Kurzkontakt.	Lass ihn kurz einwirken	2	4	TERMINAL
B1-S010	B1	f81v	TREAT	1	1	qokedy	Kurzkontakt;	BEHANDELN: Kurzkontakt.	Lass ihn kurz einwirken	2	4	TERMINAL
B1-S011	B1	f81v	PASS_FILTER>CHARGE	2	2	chckhy oky	durchleiten → einsetzen	DURCHARBEITEN: durchleiten; dann EINBRINGEN: einsetzen …	Leite den Posten hindurch; Setze den Posten ein	5	8	NONCLOSE
B1-S012	B1	f81v	PASS_FILTER>TREAT>PASS_FILTER	3	3	lsho okey lshedy	Waschgang → Kurzkontakt → Waschgang;	DURCHARBEITEN: Waschgang; dann BEHANDELN: Kurzkontakt; dann DURCHARBEITEN: Waschgang.	Führe einen Waschgang aus; Lass ihn kurz einwirken; Führe einen Waschgang aus	8	12	TERMINAL
B1-S013	B1	f81v	PASS_FILTER	1	1	lshedy	Waschgang;	DURCHARBEITEN: Waschgang.	Führe einen Waschgang aus	2	4	TERMINAL
B1-S014	B1	f81v	CHARGE>LOCAL_CONTROL>DISCHARGE>LOCAL_CONTROL	4	5	chdy qolky lchedal ol otar	überführen → Weiterweg → Zielabführung → weiter → Folgequelle	EINBRINGEN: überführen; dann STEUERN: Weiterweg; dann ABFÜHREN: Zielabführung; dann STEUERN: weiter – Folgequelle …	Führe den Posten über; Führe auf dem Weg weiter; Führe ihn am Ziel ab; Arbeite weiter; Wechsle zur folgenden Quelle	12	20	NONCLOSE
B1-S015	B1	f81v	CHARGE	1	2	ytey okchedy	Kurzteil → Rücktransfer;	EINBRINGEN: Kurzteil – Rücktransfer.	Nimm einen kleinen Teil; Führe den vorigen Posten über	3	9	TERMINAL
B1-S016	B1	f81v	CHARGE>TREAT>LOCAL_CONTROL>SETTLE	4	4	qokal okeey ol cheedy	Orteinsatz → Langkontakt → weiter → Kurzabsetzung;	EINBRINGEN: Orteinsatz; dann BEHANDELN: Langkontakt; dann STEUERN: weiter; dann ABSETZEN: Kurzabsetzung.	Setze ihn dort ein; Lass ihn länger einwirken; Arbeite weiter; Lass ihn kurz absetzen	11	14	TERMINAL
B1-S017	B1	f81v	LOCAL_CONTROL>CHARGE	2	3	al teol dchdy	dorthin → Kurzfortgang → Transfer;	STEUERN: dorthin – Kurzfortgang; dann EINBRINGEN: Transfer.	Führe ihn dorthin; Führe ihn kurz weiter; Führe ihn über	6	10	TERMINAL
B1-S018	B1	f81v	LOCAL_CONTROL>MEASURE>SETTLE	3	4	ly dsheol oiiin olkeedy	Auffanggefäß → Kurzhalt → Arbeitsstufe → Langsammlung;	STEUERN: Auffanggefäß – Kurzhalt; dann EINSTELLEN: Arbeitsstufe; dann ABSETZEN: Langsammlung.	Stelle das Auffanggefäß bereit; Halte ihn kurz; Stelle die Arbeitsstufe ein; Sammle ihn lange	9	14	TERMINAL
B1-S019	B1	f81v	SETTLE	1	1	cheedy	Kurzabsetzung;	ABSETZEN: Kurzabsetzung.	Lass ihn kurz absetzen	2	4	TERMINAL
B1-S020	B1	f81v	TREAT>PASS_FILTER	2	2	cheky shckhedy	Kurzwärme → durchlassen;	BEHANDELN: Kurzwärme; dann DURCHARBEITEN: durchlassen.	Wärme ihn kurz; Lass ihn hindurch	5	6	TERMINAL
B1-S021	B1	f81v	LOCAL_CONTROL	1	1	al	dorthin	STEUERN: dorthin …	Führe ihn dorthin	2	3	NONCLOSE
B2-S001	B2	f82r	CHARGE	1	1	schedy	überführen;	EINBRINGEN: überführen.	Führe den Posten über	2	4	TERMINAL
B2-S002	B2	f82r	LOCAL_CONTROL	1	1	qolchedy	weiterführen;	STEUERN: weiterführen.	Führe ihn weiter	2	3	TERMINAL
B2-S003	B2	f82r	CHARGE>LOCAL_CONTROL>TREAT	3	3	qokain y qokeedy	Zugabe → dies → Langkontakt;	EINBRINGEN: Zugabe; dann STEUERN: dies; dann BEHANDELN: Langkontakt.	Gib einen Anteil zu; Halte diesen Posten aktiv; Lass ihn lange einwirken	8	12	TERMINAL
B2-S004	B2	f82r	CHARGE>DISCHARGE>TREAT>DISCHARGE	4	5	qokal lcheckhy lched qokeey lcheckhedy	Orteinsatz → Abführpassage → Abführung → Langkontakt → Trennabzug;	EINBRINGEN: Orteinsatz; dann ABFÜHREN: Abführpassage – Abführung; dann BEHANDELN: Langkontakt; dann ABFÜHREN: Trennabzug.	Setze ihn dort ein; Führe ihn durch die Abführpassage; Führe ihn ab; Lass ihn länger einwirken; Ziehe die getrennte Fraktion ab	12	21	TERMINAL
B2-S005	B2	f82r	LOCAL_CONTROL>PASS_FILTER>MEASURE>LOCAL_CONTROL>TREAT>DISCHARGE	6	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Zieleinsatz → Sollsammlung → durchleiten → bemessen → bemessen → Folgevorbereitung → Langwärmen → abziehen;	STEUERN: Zieleinsatz – Sollsammlung; dann DURCHARBEITEN: durchleiten; dann EINSTELLEN: bemessen – bemessen; dann STEUERN: Folgevorbereitung; dann BEHANDELN: Langwärmen; dann ABFÜHREN: abziehen.	Setze ihn am Ziel ein; Sammle ihn bis zur Sollmenge; Leite den Posten hindurch; Messe den Posten ab; Messe den Posten ab; Setze den nächsten Durchgang an; Wärme ihn lange; Ziehe ihn ab	19	33	TERMINAL
B2-S006	B2	f82r	LOCAL_CONTROL>CHARGE>PASS_FILTER>CHARGE	4	4	oteey qokal sheckhy qoky	Langfolge → Orteinsatz → Kurzpassage → einsetzen	STEUERN: Langfolge; dann EINBRINGEN: Orteinsatz; dann DURCHARBEITEN: Kurzpassage; dann EINBRINGEN: einsetzen …	Führe ihn länger im Folgegang weiter; Setze ihn dort ein; Führe ihn kurz hindurch; Setze den Posten ein	11	18	NONCLOSE
B2-S007	B2	f82r	CHARGE	1	1	dshedy	Frischspülung;	EINBRINGEN: Frischspülung.	Lass frische Spülflüssigkeit ein	2	4	TERMINAL
B2-S008	B2	f82r	MEASURE>LOCAL_CONTROL>SETTLE	3	3	otaiin qokar cheedy	Folgemaß → Quelleinsatz → Kurzabsetzung;	EINSTELLEN: Folgemaß; dann STEUERN: Quelleinsatz; dann ABSETZEN: Kurzabsetzung.	Arbeite danach nach dem nächsten Maß; Setze den Quellposten ein; Lass ihn kurz absetzen	8	14	TERMINAL
B2-S009	B2	f82r	SETTLE	1	1	solshedy	Folgeabsetzen;	ABSETZEN: Folgeabsetzen.	Lass danach den nächsten Posten absetzen	2	6	TERMINAL
B2-S010	B2	f82r	TREAT>CHARGE>DISCHARGE>PASS_FILTER	4	4	qokeey qoky ls cheey	Langkontakt → einsetzen → Auslass → Klarlauf	BEHANDELN: Langkontakt; dann EINBRINGEN: einsetzen; dann ABFÜHREN: Auslass; dann DURCHARBEITEN: Klarlauf …	Lass ihn länger einwirken; Setze den Posten ein; Führe zum Auslass; Nimm den klaren Ablauf	11	15	NONCLOSE
B2-S011	B2	f82r	CHARGE>LOCAL_CONTROL>CHARGE>TREAT	4	4	qokain char qokain qokeedy	Zugabe → davon → Zugabe → Langkontakt;	EINBRINGEN: Zugabe; dann STEUERN: davon; dann EINBRINGEN: Zugabe; dann BEHANDELN: Langkontakt.	Gib einen Anteil zu; Nimm davon; Gib einen Anteil zu; Lass ihn lange einwirken	11	14	TERMINAL
B2-S012	B2	f82r	DISCHARGE>PASS_FILTER>LOCAL_CONTROL>TREAT>DISCHARGE>MEASURE>LOCAL_CONTROL	7	8	lchy cheey qcthey qokeey lcheey aiin y qokeeedy	Abführgut → Klarlauf → Kurzvorbereitung → Langkontakt → Klarabzug → Sollmaß → dies → Volleinsatz;	ABFÜHREN: Abführgut; dann DURCHARBEITEN: Klarlauf; dann STEUERN: Kurzvorbereitung; dann BEHANDELN: Langkontakt; dann ABFÜHREN: Klarabzug; dann EINSTELLEN: Sollmaß; dann STEUERN: dies – Volleinsatz.	Nimm das abzuführende Gut; Nimm den klaren Ablauf; Bereite ihn kurz vor; Lass ihn länger einwirken; Ziehe den klaren Anteil ab; Arbeite nach dem vorgeschriebenen Maß; Halte diesen Posten aktiv; Setze ihn vollständig ein	21	34	TERMINAL
B2-S013	B2	f82r	DISCHARGE	1	1	lchedy	abführen;	ABFÜHREN: abführen.	Führe ihn ab	2	3	TERMINAL
B2-S014	B2	f82r	DISCHARGE	1	1	lar	Quellabzug	ABFÜHREN: Quellabzug …	Ziehe ihn aus der Quelle ab	2	6	NONCLOSE
B2-S015	B2	f82r	PASS_FILTER>TREAT	2	2	tshey qokeedy	Folgeklarlauf → Langkontakt;	DURCHARBEITEN: Folgeklarlauf; dann BEHANDELN: Langkontakt.	Nimm danach den klaren Ablauf; Lass ihn lange einwirken	5	9	TERMINAL
B2-S016	B2	f82r	LOCAL_CONTROL>DISCHARGE>MEASURE>LOCAL_CONTROL>MEASURE>TREAT>CHARGE	7	8	al lchedar ches aiin oteey qokaiin qokey pchedy	dorthin → Quellabführung → teilen → Sollmaß → Langfolge → bemessen → Kurzkontakt → Zuführung;	STEUERN: dorthin; dann ABFÜHREN: Quellabführung; dann EINSTELLEN: teilen – Sollmaß; dann STEUERN: Langfolge; dann EINSTELLEN: bemessen; dann BEHANDELN: Kurzkontakt; dann EINBRINGEN: Zuführung.	Führe ihn dorthin; Führe ihn von der Quelle ab; Teile den Posten; Arbeite nach dem vorgeschriebenen Maß; Führe ihn länger im Folgegang weiter; Messe den Posten ab; Lass ihn kurz einwirken; Führe ihn zu	21	34	TERMINAL
B2-S017	B2	f82r	LOCAL_CONTROL	1	2	rsheal daldy	Zielkurzhalt → Zielschluss;	STEUERN: Zielkurzhalt – Zielschluss.	Halte den zugeführten Posten kurz am Ziel; Schließe den Schritt am Ziel ab	3	13	TERMINAL
B2-S018	B2	f82r	TREAT	1	1	qokeedy	Langkontakt;	BEHANDELN: Langkontakt.	Lass ihn lange einwirken	2	4	TERMINAL
B2-S019	B2	f82r	PASS_FILTER	1	1	rshedy	Vollwaschung;	DURCHARBEITEN: Vollwaschung.	Wasche ihn vollständig	2	3	TERMINAL
B2-S020	B2	f82r	MEASURE	1	1	qoteedy	Langfolgestufe;	EINSTELLEN: Langfolgestufe.	Führe die lange Folgestufe aus	2	5	TERMINAL
B2-S021	B2	f82r	TREAT	1	1	qokeedy	Langkontakt;	BEHANDELN: Langkontakt.	Lass ihn lange einwirken	2	4	TERMINAL
B2-S022	B2	f82r	DISCHARGE	1	1	lochedy	Abführung;	ABFÜHREN: Abführung.	Führe ihn ab	2	3	TERMINAL
B3-S001	B3	f83r	SETTLE	1	1	solkeedy	Langsammlung;	ABSETZEN: Langsammlung.	Sammle ihn lange	2	3	TERMINAL
B3-S002	B3	f83r	LOCAL_CONTROL>TREAT	2	2	qotal chkeedy	Folgeziel → Langwärmen;	STEUERN: Folgeziel; dann BEHANDELN: Langwärmen.	Führe ihn danach dorthin; Wärme ihn lange	5	7	TERMINAL
