node_order	node_id	working_object_de
1	OWNER_PLANT	abgebildete Pflanze
2	YOUNG_TOPS	junge Spitzen, Blätter und Blütenstände
3	PRIMARY_BATCH	erster zerstoßener und abgepresster Ansatz
4	MEASURED_PRIMARY	abgemessener erster Auszug
5	FOLLOW_ON_BATCH	zweiter Ansatz aus demselben Pflanzenvorrat
6	PRIMARY_AND_FOLLOW_ON	wieder vereinigter Erst- und Folgeansatz
7	MEASURED_COMBINATION	abgemessene Verbindung beider Ansätze
8	VESSEL	Arbeitsgefäß
9	TWO_BATCH_VESSEL	beide Ansätze im Gefäß
10	SOFT_PREPARATION	weich gearbeitete Auflagenzubereitung
11	EXTERNAL_APPLICATION	äußerliche Auflage auf harte Stelle
