system	family	complete_paragraphs	shared_words	status	sampled_maps	common_coherent_variants	meaning_unknowns	remaining_semantic_alternatives	independent_meaning_capacity
LONG_001	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f103r|f103r.1-f103r.4	chedy,qokedy,qokeey,sar,shdy,shedy	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_002	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f103r|f103r.8-f103r.12	chedy,chety,otaiin,otedy,shedy,shey	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_003	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f103v|f103v.1-f103v.4	chedy,dal,qokal,qokeedy,qokeey,qoky,qoteedy,shdy,shedy,shey	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_004	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f103v|f103v.5-f103v.8	chedy,qokeedy,qoky,qotedy,sain,shedy,shey	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_005	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f104r|f104r.1-f104r.4	chedy,otedy,qokeedy,sain,shedaiin	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_006	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f104r|f104r.5-f104r.9	chedy,otchedy,qokal,qokeedy,shedy	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_007	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f104v|f104v.1-f104v.5	chedy,ockhey,otaiin,qokeedy,qoteedy	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_008	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f104v|f104v.8-f104v.11	chedy,dal,otaiin,qokeedy,qoteedy	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_009	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f104v|f104v.15-f104v.18	chedy,qokchedy	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_010	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f104v|f104v.22-f104v.26	chckhdy,chedy,lchedy,otor,qokchedy	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_011	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f104v|f104v.37-f104v.40	chedain,chedy,qokeey,qoky,sar,shey,sol	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_012	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f104v|f104v.41-f104v.44	chedy,qokeey,tchedy	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_013	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f105r|f105r.17-f105r.23	chedy,lkedy,otedy,qokchedy,qokedy,saiin	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_014	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f105r|f105r.31-f105r.34	chedy,lkedy	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_015	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f105v|f105v.8-f105v.13	chedy,dal,otaiin,otchedy,qoteedy,saiin	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
LONG_016	FUNCTIONAL	ZL3b|f83r|f83r.18-f83r.24;ZL3b|f105v|f105v.32-f105v.38	chedy,otaiin	UNSAT	0	0	0	NONE_IF_INDEPENDENTLY_VERIFIED	0
