event_id	page	record	locus	card_no	component_parse	spoken_value_de	renderer_source	renderer_rule	final_surface	writing_instruction_de	surface_changes_meaning	requires_local_event_lookup
E001	f10r	H1	f10r.2	PROC001	CH+E+Y	abziehen · kurz · dieser Posten	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	dchey	schreibe die globale Vorzugsform dchey	NO	NO
E002	f10r	H1	f10r.2	PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	cthoor	schreibe die globale Vorzugsform cthoor	NO	NO
E003	f10r	H1	f10r.2	PROC003	AR	von dort	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	char	schreibe die globale Vorzugsform char	NO	NO
E004	f10r	H1	f10r.2	PROC004	T+Y	eintragen · dieser Posten	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chty	schreibe die globale Vorzugsform chty	NO	NO
E005	f10r	H1	f10r.2	PROC005	OS	Arbeitsfach	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	os	schreibe die globale Vorzugsform os	NO	NO
E006	f10r	H1	f10r.2	PROC006	CH+AIR	abziehen · laufender Bestand	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chair	schreibe die globale Vorzugsform chair	NO	NO
E007	f10r	H1	f10r.2	PROC007	OT+Y+T+CH+OL	danach · dieser Posten · eintragen · abziehen · fortsetzen	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	otytchol	schreibe die globale Vorzugsform otytchol	NO	NO
E008	f10r	H1	f10r.2	PROC008	OK+Y	ansetzen · dieser Posten	RECORD_WRAPPER_MELODY	RM01:1	oky	am Recordmelodieplatz RM01:1 schreibe oky	NO	NO
E009	f10r	H1	f10r.2	PROC009	AIIN	vorgeschriebenes Maß	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	daiin	schreibe die globale Vorzugsform daiin	NO	NO
E010	f10r	H1	f10r.2	PROC010	E+T+Y	kurz · eintragen · dieser Posten	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	etyd	schreibe die globale Vorzugsform etyd	NO	NO
E011	f10r	H1	f10r.5	PROC011	OK+Y	ansetzen · dieser Posten	RECORD_WRAPPER_MELODY	RM01:2	qokchy	am Recordmelodieplatz RM01:2 schreibe qokchy	NO	NO
E012	f10r	H1	f10r.5	PROC012	OT+CH+OL	danach · abziehen · fortsetzen	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	qotchol	schreibe die globale Vorzugsform qotchol	NO	NO
E013	f10r	H1	f10r.5	PROC013	OL	fortsetzen	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chol	schreibe die globale Vorzugsform chol	NO	NO
E014	f10r	H1	f10r.5	PROC014	CTH+Y	bereit · dieser Posten	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	cthy	schreibe die globale Vorzugsform cthy	NO	NO
E015	f10r	H2	f10r.6	PROC015	Y+CH+E+OR	dieser Posten · abziehen · kurz · Ansatz	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	ycheor	schreibe die globale Vorzugsform ycheor	NO	NO
E016	f10r	H2	f10r.6	PROC014	CTH+Y	bereit · dieser Posten	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	cthy	schreibe die globale Vorzugsform cthy	NO	NO
E017	f10r	H2	f10r.6	PROC016	OR	Ansatz	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chor	schreibe die globale Vorzugsform chor	NO	NO
E018	f10r	H2	f10r.6	PROC017	CTH+AIIN	bereit · vorgeschriebenes Maß	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	cthaiin	schreibe die globale Vorzugsform cthaiin	NO	NO
E019	f10r	H2	f10r.6	PROC018	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dieser Posten	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	qoctholy	schreibe die globale Vorzugsform qoctholy	NO	NO
E020	f10r	H2	f10r.6	PROC019	Y	dieser Posten	FORMULA_CADENCE_RULE	FC01	dy	in der gelernten Formelkadenz FC01 schreibe dy	NO	NO
E021	f10r	H2	f10r.6	PROC019	Y	dieser Posten	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chy	schreibe die globale Vorzugsform chy	NO	NO
E022	f10r	H2	f10r.6	PROC009	AIIN	vorgeschriebenes Maß	FORMULA_CADENCE_RULE	FC01	taiin	in der gelernten Formelkadenz FC01 schreibe taiin	NO	NO
E023	f10r	H2	f10r.6	PROC019	Y	dieser Posten	FORMULA_CADENCE_RULE	FC01	shy	in der gelernten Formelkadenz FC01 schreibe shy	NO	NO
E024	f10r	H2	f10r.8	PROC020	OT+CH+OR	danach · abziehen · Ansatz	FORMULA_CADENCE_RULE	FC02	qotchor	in der gelernten Formelkadenz FC02 schreibe qotchor	NO	NO
E025	f10r	H2	f10r.8	PROC016	OR	Ansatz	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chor	schreibe die globale Vorzugsform chor	NO	NO
E026	f10r	H2	f10r.8	PROC021	OT+OL	danach · fortsetzen	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	otol	schreibe die globale Vorzugsform otol	NO	NO
E027	f10r	H2	f10r.8	PROC013	OL	fortsetzen	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chol	schreibe die globale Vorzugsform chol	NO	NO
E028	f10r	H2	f10r.8	PROC022	OL+OR	fortsetzen · Ansatz	FORMULA_CADENCE_RULE	FC02	cholor	in der gelernten Formelkadenz FC02 schreibe cholor	NO	NO
E029	f10r	H2	f10r.8	PROC013	OL	fortsetzen	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chol	schreibe die globale Vorzugsform chol	NO	NO
E030	f10r	H2	f10r.8	PROC009	AIIN	vorgeschriebenes Maß	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	daiin	schreibe die globale Vorzugsform daiin	NO	NO
E031	f10r	H2	f10r.8	PROC003	AR	von dort	AUTOMATIC_CONTEXT_RULE	WR04	dar	wenn der unmittelbare Kontext WR04 ausloest, schreibe dar	NO	NO
E032	f10r	H2	f10r.9	PROC023	O+Y+K+OR	Arbeitsgang · dieser Posten · zuführen · Ansatz	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	oykchor	schreibe die globale Vorzugsform oykchor	NO	NO
E033	f10r	H2	f10r.9	PROC016	OR	Ansatz	FORMULA_CADENCE_RULE	FC03	shor	in der gelernten Formelkadenz FC03 schreibe shor	NO	NO
E034	f10r	H2	f10r.9	PROC016	OR	Ansatz	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chor	schreibe die globale Vorzugsform chor	NO	NO
E035	f10r	H2	f10r.9	PROC019	Y	dieser Posten	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chy	schreibe die globale Vorzugsform chy	NO	NO
E036	f10r	H2	f10r.9	PROC024	K+IIN	zuführen · Sollstufe	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	kaiiin	schreibe die globale Vorzugsform kaiiin	NO	NO
E037	f10r	H2	f10r.9	PROC019	Y	dieser Posten	FORMULA_CADENCE_RULE	FC03	dy	in der gelernten Formelkadenz FC03 schreibe dy	NO	NO
E038	f10r	H2	f10r.9	PROC025	CH+O+AIIN	abziehen · Arbeitsgang · vorgeschriebenes Maß	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chodaiin	schreibe die globale Vorzugsform chodaiin	NO	NO
E039	f11r	H3	f11r.1	PROC026	T+SH+OL	eintragen · halten · fortsetzen	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	tshol	schreibe die globale Vorzugsform tshol	NO	NO
E040	f11r	H3	f11r.1	PROC027	SH+O+AL	halten · Arbeitsgang · bezeichnete Stelle	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	schoal	schreibe die globale Vorzugsform schoal	NO	NO
E041	f11r	H3	f11r.1	PROC028	CFH+Y	auswringen · dieser Posten	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	cfhy	schreibe die globale Vorzugsform cfhy	NO	NO
E042	f11r	H3	f11r.1	PROC029	SH+Y+AIIN	halten · dieser Posten · vorgeschriebenes Maß	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	shfydaiin	schreibe die globale Vorzugsform shfydaiin	NO	NO
E043	f11r	H3	f11r.1	PROC030	P+Y	hineingeben · dieser Posten	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	cphy	schreibe die globale Vorzugsform cphy	NO	NO
E044	f11r	H3	f11r.1	PROC031	SH+EE+Y	halten · länger · dieser Posten	AUTOMATIC_CONTEXT_RULE	WR03	shey	wenn der unmittelbare Kontext WR03 ausloest, schreibe shey	NO	NO
E045	f11r	H3	f11r.1	PROC032	T+CH+O+DY	eintragen · abziehen · Arbeitsgang · Schluss	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	tchody	schreibe die globale Vorzugsform tchody	NO	NO
E046	f11r	H3	f11r.1	PROC033	SH+O+Y+T+Y	halten · Arbeitsgang · dieser Posten · eintragen · dieser Posten	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	shoyty	schreibe die globale Vorzugsform shoyty	NO	NO
E047	f11r	H3	f11r.4	PROC034	OL	fortsetzen	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	dchol	schreibe die globale Vorzugsform dchol	NO	NO
E048	f11r	H3	f11r.4	PROC019	Y	dieser Posten	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chy	schreibe die globale Vorzugsform chy	NO	NO
E049	f11r	H3	f11r.4	PROC035	K+Y	zuführen · dieser Posten	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	kchy	schreibe die globale Vorzugsform kchy	NO	NO
E050	f11r	H3	f11r.4	PROC019	Y	dieser Posten	RECORD_WRAPPER_MELODY	RM02:1	dy	am Recordmelodieplatz RM02:1 schreibe dy	NO	NO
