card_no	component_parse	spoken_value_de	registered_surfaces	events	default_surface	default_events	global_default_events	automatic_context_events	formula_cadence_events	record_melody_events	exception_rule_ids	apprentice_instruction_de	free_choice
PROC003	AR	von dort	char|dar|sar	5	char	2	2	2	1	0	FC04|WR04	normalerweise char; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC004	T+Y	eintragen · dieser Posten	chety|chty	2	chety	1	1	0	1	0	FC11	normalerweise chety; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC008	OK+Y	ansetzen · dieser Posten	choky|oky|qoky	10	qoky	7	9	0	0	1	RM01:1	normalerweise qoky; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC009	AIIN	vorgeschriebenes Maß	aiin|chaiin|daiin|saiin|taiin	20	daiin	11	13	0	3	4	FC01|FC07|RM03:1|RM03:2|RM07:3|RM09:1	normalerweise daiin; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC011	OK+Y	ansetzen · dieser Posten	chokchy|okchy|qokchy	3	chokchy	1	1	0	0	2	RM01:2|RM04:2	normalerweise chokchy; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC013	OL	fortsetzen	cheol|chol|ol|qol|sol|tol	19	ol	8	14	0	2	3	FC05|FC07|RM05:1|RM05:3|RM08:2	normalerweise ol; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC014	CTH+Y	bereit · dieser Posten	checthy|cthy|shcthy	7	cthy	3	5	0	2	0	FC09|FC10	normalerweise cthy; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC016	OR	Ansatz	chor|or|shor|sor	7	chor	3	3	2	2	0	FC03|FC08|WR02	normalerweise chor; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC019	Y	dieser Posten	chey|chy|dy|shy|sy|y	18	chey	7	10	0	4	4	FC01|FC03|FC09|RM02:1|RM02:2|RM03:2|RM06:1	normalerweise chey; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC020	OT+CH+OR	danach · abziehen · Ansatz	otchor|qotchor	2	otchor	1	1	0	1	0	FC02	normalerweise otchor; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC022	OL+OR	fortsetzen · Ansatz	cholor|olor	2	cholor	1	1	0	1	0	FC02	normalerweise cholor; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC031	SH+EE+Y	halten · länger · dieser Posten	cheey|shey	4	cheey	2	2	2	0	0	WR03	normalerweise cheey; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC034	OL	fortsetzen	dchol|schol	2	dchol	1	1	0	0	1	RM04:1	normalerweise dchol; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC038	OK+AIIN	ansetzen · vorgeschriebenes Maß	okaiin|qokaiin	9	qokaiin	8	8	0	1	0	FC04	normalerweise qokaiin; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
