scope	shol	grammar	model	timing	marker	prediction	patient	partner	observed_status	cross_boundary_links	remaining_unknown	independent_confirmation_capacity	row_status
S	Q	B	D	O	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	Q	B	D	I	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	Q	B	H	O	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	Q	B	H	I	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	Q	J	D	O	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	Q	J	D	I	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	Q	J	H	O	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	Q	J	H	I	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	Q	M	D	O	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	Q	M	D	I	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	Q	M	H	O	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	Q	M	H	I	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
I	Q	B	D	O	f32v.9:2	independent field loses prior imperative arguments			ARGUMENT_INCOMPLETE	[]	skey	0	recorded
I	Q	B	D	I	f32v.9:2	independent field loses prior imperative arguments			ARGUMENT_INCOMPLETE	[]	skey	0	recorded
I	Q	B	H	O	f32v.9:2	independent field loses prior imperative arguments			ARGUMENT_INCOMPLETE	[]	skey	0	recorded
I	Q	B	H	I	f32v.9:2	independent field loses prior imperative arguments			ARGUMENT_INCOMPLETE	[]	skey	0	recorded
I	Q	J	D	O	f32v.9:2	independent field loses prior imperative arguments			ARGUMENT_INCOMPLETE	[]	skey	0	recorded
I	Q	J	D	I	f32v.9:2	independent field loses prior imperative arguments			ARGUMENT_INCOMPLETE	[]	skey	0	recorded
I	Q	J	H	O	f32v.9:2	independent field loses prior imperative arguments			ARGUMENT_INCOMPLETE	[]	skey	0	recorded
I	Q	J	H	I	f32v.9:2	independent field loses prior imperative arguments			ARGUMENT_INCOMPLETE	[]	skey	0	recorded
I	Q	M	D	O	f32v.9:2	independent field loses prior imperative arguments			ARGUMENT_INCOMPLETE	[]	skey	0	recorded
I	Q	M	D	I	f32v.9:2	independent field loses prior imperative arguments			ARGUMENT_INCOMPLETE	[]	skey	0	recorded
I	Q	M	H	O	f32v.9:2	independent field loses prior imperative arguments			ARGUMENT_INCOMPLETE	[]	skey	0	recorded
I	Q	M	H	I	f32v.9:2	independent field loses prior imperative arguments			ARGUMENT_INCOMPLETE	[]	skey	0	recorded
S	A	B	D	O	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	A	B	D	I	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	A	B	H	O	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	A	B	H	I	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	A	J	D	O	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	A	J	D	I	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	A	J	H	O	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
S	A	J	H	I	f32v.9:2	dependent argument fields retained	f32v.9:4	f32v.9:6	NO_STATE_TRANSITION_MODELLED	"[{""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""patient"", ""target"": ""f32v.9:4""}, {""kind"": ""ARGUMENTS"", ""origin"": ""f32v.9:1"", ""slot"": ""coingredient"", ""target"": ""f32v.9:6""}]"	skey	0	recorded
