statement_id	record_unit_id	page	loci	surface_sequence	formula_family	terminal_status	owner_sequence	owner_reading_de	internal_owner_reset	line_crossing	family_sequence_de	station_translation_de	global_flow_policy
B1-S001	B1	f81v	f81v.2	qokedy	FLOW_TRANSFER_PROCESS	CLOSED	B1_SHARED_TWO_ROW_POOL	gemeinsamen zweireihigen Figurenbecken	NO	NO:f81v.2	EINSETZEN + GRAD + FESTSETZEN	Am gemeinsamen zweireihigen Figurenbecken: Bearbeite den laufenden Posten und führe ihn durch den örtlichen Lauf oder in das bezeichnete Gefäß. Kartenlesung: kurz einwirken; Schluss; Arbeitsschritt festsetzen. Setze diesen Stationsschritt fest.	LOCAL_STATION_ONLY__NO_GLOBAL_CIRCUIT
B1-S002	B1	f81v	f81v.2|f81v.7	okaiin · kair · okal · sar · ol · kain · olkain · al · ol · rol · dl · olor · ol · sheckhal · daiin · qokeedal · daiin · chckhy · schedy	FULL_ADDRESS_PROCESS	CLOSED	B1_SHARED_TWO_ROW_POOL	gemeinsamen zweireihigen Figurenbecken	NO	YES:f81v.2→f81v.7; CLAUSE_CONTINUES_ACROSS_PHYSICAL_LINES	EINSETZEN + SOLLWERT; LAUF_BAHN + ARGUMENTBINDER; EINSETZEN + ZU_ZIEL; VON_QUELLE; WEITER_GLEICHER_LAUF; PORTION; WEITER_GLEICHER_LAUF + PORTION; ZU_ZIEL; WEITER_GLEICHER_LAUF; WEITER_GLEICHER_LAUF; Zusatz; WEITER_GLEICHER_LAUF + BEDINGUNGSANSATZ; WEITER_GLEICHER_LAUF; ZU_ZIEL + GRAD + DURCHLASS; SOLLWERT; EINSETZEN + ZU_ZIEL + GRAD; SOLLWERT; DIES_AKTUELLER_POSTEN + DURCHLASS; UEBERFUEHREN	Am gemeinsamen zweireihigen Figurenbecken: Nimm den Posten aus der bezeichneten Quelle, bemiss ihn, führe ihn zur bezeichneten Stelle und vollziehe dort den Arbeitsgang. Kartenlesung: bemessen; Beckenlauf; dorthin einsetzen; davon; weiter; Portion; weiterer Anteil; dorthin; weiter; Anschluss; Zusatz; derselbe Ansatz; weiter; Kurze Zielpassage; Sollmaß; Langer Zieleinsatz; Sollmaß; durchleiten; überführen; Schluss. Setze diesen Stationsschritt fest.	LOCAL_STATION_ONLY__NO_GLOBAL_CIRCUIT
B1-S003	B1	f81v	f81v.7|f81v.17	qol · sshkchdy	LINKED_PROCESS	CLOSED	B1_SHARED_TWO_ROW_POOL	gemeinsamen zweireihigen Figurenbecken	NO	YES:f81v.7→f81v.17; CLAUSE_CONTINUES_ACROSS_PHYSICAL_LINES	WEITER_GLEICHER_LAUF; übertragen; Schluss	Am gemeinsamen zweireihigen Figurenbecken: Verknüpfe diesen Posten mit dem vorherigen oder dem nächsten Stationsposten und führe den verbundenen Gang weiter. Kartenlesung: weiter; übertragen; Schluss. Setze diesen Stationsschritt fest.	LOCAL_STATION_ONLY__NO_GLOBAL_CIRCUIT
B1-S004	B1	f81v	f81v.17	chedy · ol · shedy	GRADED_PROCESS	CLOSED	B1_SHARED_TWO_ROW_POOL	gemeinsamen zweireihigen Figurenbecken	NO	NO:f81v.17	DIES_AKTUELLER_POSTEN + UEBERFUEHREN; WEITER_GLEICHER_LAUF; GRAD + FESTSETZEN + ABSETZEN	Am gemeinsamen zweireihigen Figurenbecken: Führe den Arbeitsgang bis zur bezeichneten Stufe und halte den Posten dort entsprechend kurz, länger oder vollständig. Kartenlesung: überführen; weiter; kurz absetzen; Schluss; Arbeitsschritt festsetzen. Setze diesen Stationsschritt fest.	LOCAL_STATION_ONLY__NO_GLOBAL_CIRCUIT
B1-S005	B1	f81v	f81v.17	qolchedy	FLOW_TRANSFER_PROCESS	CLOSED	B1_SHARED_TWO_ROW_POOL	gemeinsamen zweireihigen Figurenbecken	NO	NO:f81v.17	WEITER_GLEICHER_LAUF + FESTSETZEN + UEBERFUEHREN	Am gemeinsamen zweireihigen Figurenbecken: Bearbeite den laufenden Posten und führe ihn durch den örtlichen Lauf oder in das bezeichnete Gefäß. Kartenlesung: weiterführen; Schluss; Arbeitsschritt festsetzen. Setze diesen Stationsschritt fest.	LOCAL_STATION_ONLY__NO_GLOBAL_CIRCUIT
B1-S006	B1	f81v	f81v.17	qokain · shckhy · dl · ral	QUANTIFIED_PROCESS	OPEN	B1_SHARED_TWO_ROW_POOL	gemeinsamen zweireihigen Figurenbecken	NO	NO:f81v.17	EINSETZEN + PORTION; DIES_AKTUELLER_POSTEN + DURCHLASS; Zusatz; ZU_ZIEL	Am gemeinsamen zweireihigen Figurenbecken: Nimm die bezeichnete Portion oder Sollmenge und führe den örtlichen Arbeitsgang damit aus. Kartenlesung: Anteil zugeben; durchleiten; Zusatz; Zielmarke. Halte den Posten für die folgende Stationszelle offen.	LOCAL_STATION_ONLY__NO_GLOBAL_CIRCUIT
B1-S007	B1	f81v	f81v.18	qokchdy	SOURCED_PROCESS	CLOSED	B1_SHARED_TWO_ROW_POOL	gemeinsamen zweireihigen Figurenbecken	NO	NO:f81v.18	EINSETZEN + FESTSETZEN + UEBERFUEHREN	Am gemeinsamen zweireihigen Figurenbecken: Nimm den Arbeitsstoff aus der örtlich bezeichneten Quelle und bearbeite ihn an dieser Station weiter. Kartenlesung: neuen Posten einsetzen; Schluss; Arbeitsschritt festsetzen. Setze diesen Stationsschritt fest.	LOCAL_STATION_ONLY__NO_GLOBAL_CIRCUIT
B1-S008	B1	f81v	f81v.18	chey · ol · cheky · ol · shedy	GRADED_PROCESS	CLOSED	B1_SHARED_TWO_ROW_POOL	gemeinsamen zweireihigen Figurenbecken	NO	NO:f81v.18	DIES_AKTUELLER_POSTEN; WEITER_GLEICHER_LAUF; GRAD + DIES_AKTUELLER_POSTEN + ZUSTAND_JUSTIEREN; WEITER_GLEICHER_LAUF; GRAD + FESTSETZEN + ABSETZEN	Am gemeinsamen zweireihigen Figurenbecken: Führe den Arbeitsgang bis zur bezeichneten Stufe und halte den Posten dort entsprechend kurz, länger oder vollständig. Kartenlesung: dies; weiter; kurz wärmen; weiter; kurz absetzen; Schluss; Arbeitsschritt festsetzen. Setze diesen Stationsschritt fest.	LOCAL_STATION_ONLY__NO_GLOBAL_CIRCUIT
B1-S009	B1	f81v	f81v.18	qokedy	FLOW_TRANSFER_PROCESS	CLOSED	B1_SHARED_TWO_ROW_POOL	gemeinsamen zweireihigen Figurenbecken	NO	NO:f81v.18	EINSETZEN + GRAD + FESTSETZEN	Am gemeinsamen zweireihigen Figurenbecken: Bearbeite den laufenden Posten und führe ihn durch den örtlichen Lauf oder in das bezeichnete Gefäß. Kartenlesung: kurz einwirken; Schluss; Arbeitsschritt festsetzen. Setze diesen Stationsschritt fest.	LOCAL_STATION_ONLY__NO_GLOBAL_CIRCUIT
B1-S010	B1	f81v	f81v.18	qokedy	FLOW_TRANSFER_PROCESS	CLOSED	B1_SHARED_TWO_ROW_POOL	gemeinsamen zweireihigen Figurenbecken	NO	NO:f81v.18	EINSETZEN + GRAD + FESTSETZEN	Am gemeinsamen zweireihigen Figurenbecken: Bearbeite den laufenden Posten und führe ihn durch den örtlichen Lauf oder in das bezeichnete Gefäß. Kartenlesung: kurz einwirken; Schluss; Arbeitsschritt festsetzen. Setze diesen Stationsschritt fest.	LOCAL_STATION_ONLY__NO_GLOBAL_CIRCUIT
