stop_rule_id	factor_family	blocked_rule	minimal_probe_recipe	candidate_stop_row_count	candidate_example_recipes	present_in_269_candidate_queue	reader_decision	meaning_change_allowed	automatic_repair
G442-F01	ADJACENT_ACTION_PAIR	PAIR:CH>CHD	CH+CHD	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F02	ADJACENT_ACTION_PAIR	PAIR:CH>SH	CH+SH	5	CH+SH+E+CH+K+Y|CH+SH+E+DY|CH+SH+E+OL|CH+SH+E+Y|CH+SH+O+L+SH+E+CH+T+Y	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F03	ADJACENT_ACTION_PAIR	PAIR:CHD>CH	CHD+CH	10	CHD+CH+K+E+DY|CHD+CH+K+E+Y|CHD+CH+K+Y|CHD+CH+T+AIIN|CHD+CH+T+E+Y|CHD+CH+T+Y|L+CHD+CH+T+Y|OK+CHD+CH+DY	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F04	ADJACENT_ACTION_PAIR	PAIR:CHD>CHD	CHD+CHD	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F05	ADJACENT_ACTION_PAIR	PAIR:CHD>K	CHD+K	2	CHD+K+CHD+DY|CHD+K+Y	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F06	ADJACENT_ACTION_PAIR	PAIR:CHD>OK	CHD+OK	6	CHD+OK|CHD+OK+AIIN|CHD+OK+AIN|CHD+OK+AL|CHD+OK+CH+EE+Y|CHD+OK+CH+Y	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F07	ADJACENT_ACTION_PAIR	PAIR:CHD>P	CHD+P	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F08	ADJACENT_ACTION_PAIR	PAIR:CHD>R	CHD+R	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F09	ADJACENT_ACTION_PAIR	PAIR:CHD>SH	CHD+SH	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F10	ADJACENT_ACTION_PAIR	PAIR:CHD>T	CHD+T	1	CHD+T+OL	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F11	ADJACENT_ACTION_PAIR	PAIR:K>K	K+K	1	K+K+AIIN	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F12	ADJACENT_ACTION_PAIR	PAIR:K>P	K+P	1	K+P+AIIN	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F13	ADJACENT_ACTION_PAIR	PAIR:K>R	K+R	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F14	ADJACENT_ACTION_PAIR	PAIR:K>S	K+S	17	CH+K+S+Y+K+OL+Y|K+S+AIIN|K+S+AL|K+S+AR+LOCAL_CHAR_G|K+S+E+Y|K+S+EE+D_ADDR+CHD+Y|K+S+EE+Y|K+S+O+AR	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F15	ADJACENT_ACTION_PAIR	PAIR:K>T	K+T	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F16	ADJACENT_ACTION_PAIR	PAIR:OK>K	OK+K	1	OK+K+CH+Y	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F17	ADJACENT_ACTION_PAIR	PAIR:OK>P	OK+P	1	OK+P+CH+Y	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F18	ADJACENT_ACTION_PAIR	PAIR:OK>R	OK+R	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F19	ADJACENT_ACTION_PAIR	PAIR:OK>T	OK+T	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F20	ADJACENT_ACTION_PAIR	PAIR:P>K	P+K	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F21	ADJACENT_ACTION_PAIR	PAIR:P>OK	P+OK	2	P+OK+AIIN|P+OK+CH+Y	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F22	ADJACENT_ACTION_PAIR	PAIR:P>P	P+P	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F23	ADJACENT_ACTION_PAIR	PAIR:P>R	P+R	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F24	ADJACENT_ACTION_PAIR	PAIR:P>S	P+S	24	CARRIER_Q+O+P+S+OL|CH+O+P+S+AL|CH+P+S+Y|CH+Y+P+S+AM_ADDR|O+P+S+E+OL|O+P+S+E+OR|O+P+S+EE+OL|O+P+S+OL+AL+AIIN	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F25	ADJACENT_ACTION_PAIR	PAIR:P>T	P+T	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F26	ADJACENT_ACTION_PAIR	PAIR:R>K	R+K	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
