stop_rule_id	blocked_rule	probe_recipe	probe_reader_status	probe_blocked_factor_rules	active_action_before_stop	active_action_after_stop	active_argument_before_stop	active_argument_after_stop	state_preserved	recovery_recipe	recovery_reader_status	recovery_succeeds
G442-F01	PAIR:CH>CHD	CH+CHD	STOP__UNLICENSED_FACTOR	PAIR:CH>CHD	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F02	PAIR:CH>SH	CH+SH	STOP__UNLICENSED_FACTOR	PAIR:CH>SH	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F03	PAIR:CHD>CH	CHD+CH	STOP__UNLICENSED_FACTOR	PAIR:CHD>CH	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F04	PAIR:CHD>CHD	CHD+CHD	STOP__UNLICENSED_FACTOR	PAIR:CHD>CHD	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F05	PAIR:CHD>K	CHD+K	STOP__UNLICENSED_FACTOR	PAIR:CHD>K	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F06	PAIR:CHD>OK	CHD+OK	STOP__UNLICENSED_FACTOR	PAIR:CHD>OK	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F07	PAIR:CHD>P	CHD+P	STOP__UNLICENSED_FACTOR	PAIR:CHD>P	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F08	PAIR:CHD>R	CHD+R	STOP__UNLICENSED_FACTOR	PAIR:CHD>R	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F09	PAIR:CHD>SH	CHD+SH	STOP__UNLICENSED_FACTOR	PAIR:CHD>SH	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F10	PAIR:CHD>T	CHD+T	STOP__UNLICENSED_FACTOR	PAIR:CHD>T	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F11	PAIR:K>K	K+K	STOP__UNLICENSED_FACTOR	PAIR:K>K	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F12	PAIR:K>P	K+P	STOP__UNLICENSED_FACTOR	PAIR:K>P	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F13	PAIR:K>R	K+R	STOP__UNLICENSED_FACTOR	PAIR:K>R	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F14	PAIR:K>S	K+S	STOP__UNLICENSED_FACTOR	PAIR:K>S	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F15	PAIR:K>T	K+T	STOP__UNLICENSED_FACTOR	PAIR:K>T	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F16	PAIR:OK>K	OK+K	STOP__UNLICENSED_FACTOR	PAIR:OK>K	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F17	PAIR:OK>P	OK+P	STOP__UNLICENSED_FACTOR	PAIR:OK>P	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
G442-F18	PAIR:OK>R	OK+R	STOP__UNLICENSED_FACTOR	PAIR:OK>R	OK	OK	Y	Y	YES	AIIN+DY	READ_NEW_FACTOR_COMPOSITION	YES
