precedence_id	target_occurrence_id	page	physical_folio	locus	ol_ordinal	right_ordinal	right_surface	right_reader_exact	parent_gdt780_fallback	parent_gdt780_contextual	frozen_whole_23_member	precedence_disposition	old_gdt780_branch	old_gdt780_default_de	old_gdt780_consumed_token_count	old_gdt780_consumed_token_ids	new_gdt781_branch	new_gdt781_default_de	new_gdt781_contextual	new_gdt781_consumed_token_count	new_gdt781_consumed_token_ids	fallback_replacement	same_row_inherited_consumption_takeover	cross_row_consumption_collision	selection_rule	selection_uses_occurrence_id	selection_uses_page_or_locus	selection_uses_analogy_or_meaning	selection_uses_substring	component_export_credit
G781-H001	G769-T0001	f100v	f100	f100v.20	7	8	chockhar	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	Trockenzubereitung	1	1	f100v.20@8	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H002	G769-T0006	f102v2	f102	f102v2.20	9	10	sheeoy	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	feuchter Endzustand	1	1	f102v2.20@10	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H003	G769-T0034	f104v	f104	f104v.1	6	7	ear	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	Stoffanteil	1	1	f104v.1@7	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H004	G769-T0106	f112v	f112	f112v.23	5	6	cheedaiin	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	Trockenmenge, Mittelstufe	1	1	f112v.23@6	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H005	G769-T0119	f113v	f113	f113v.25	9	10	keeor	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	erhitzter Arzneistoff	1	1	f113v.25@10	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H006	G769-T0123	f114r	f114	f114r.2	11	12	keeed	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	vollständig erhitzt	1	1	f114r.2@12	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H007	G769-T0136	f115r	f115	f115r.24	11	12	otlaiin	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	Kaltansatz, Stufe III	1	1	f115r.24@12	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H008	G769-T0141	f115v	f115	f115v.30	2	3	chlor	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	trockener Arzneistoff	1	1	f115v.30@3	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H009	G769-T0152	f116r	f116	f116r.49	11	12	lkan	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	erhitzt	1	1	f116r.49@12	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H010	G769-T0176	f30r	f30	f30r.8	2	3	chesey	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	Trockenzustand	1	1	f30r.8@3	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H011	G769-T0184	f34r	f34	f34r.5	4	5	okes	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	Heißansatz	1	1	f34r.5@5	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H012	G769-T0246	f66r	f66	f66r.69	4	5	kcheeky	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	heiß und trocken, Endstufe	1	1	f66r.69@5	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H013	G769-T0287	f76r	f76	f76r.53	4	5	chedor	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	trockene Stoffportion	1	1	f76r.53@5	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H014	G769-T0292	f77r	f77	f77r.32	4	5	chealor	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	trockener Arzneistoff	1	1	f77r.32@5	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H015	G769-T0325	f78v	f78	f78v.20	8	9	okalor	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	erhitzter Arzneiansatz	1	1	f78v.20@9	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H016	G769-T0409	f81r	f81	f81r.6	2	3	eses	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	Zubereitung	1	1	f81r.6@3	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H017	G769-T0425	f81v	f81	f81v.7	2	3	sheckhal	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	feuchte Arzneimischung	1	1	f81v.7@3	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H018	G769-T0450	f85r1	f85	f85r1.11	2	3	shdair	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	Arzneistoff	1	1	f85r1.11@3	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
G781-H019	G769-T0462	f85r2	f85	f85r2.23	4	5	sheoly	1	1	0	1	SELECTED_GDT781_EXPLORATORY_FALLBACK	INHERITED_GDT779	Ansatz-/Zubereitungsposten	0	NONE	GDT781_EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE	Feuchtzustand	1	1	f85r2.23@5	1	0	0	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0
