residual_id	parent_gdt780_residual_id	target_occurrence_id	page	physical_folio	locus	ol_ordinal	right_ordinal	right_surface	right_reader_exact	parent_residual_reason	residual_reason	gdt781_default_de	frozen_whole_23_member	component_export_credit
G781-R001	G780-R003	G769-T0011	f103r	f103	f103r.25	12	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R002	G780-R004	G769-T0014	f103r	f103	f103r.46	9	10	loiin	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R003	G780-R005	G769-T0016	f103v	f103	f103v.7	11	12	chedydy	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R004	G780-R006	G769-T0029	f104r	f104	f104r.5	6	7	cheday	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R005	G780-R007	G769-T0033	f104r	f104	f104r.23	1	2	sheockhey	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R006	G780-R009	G769-T0066	f107r	f107	f107r.35	10	11	kaldaim	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R007	G780-R010	G769-T0068	f107r	f107	f107r.51	4	5	cheey	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R008	G780-R011	G769-T0071	f107v	f107	f107v.2	13	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R009	G780-R012	G769-T0077	f108v	f108	f108v.1	12	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R010	G780-R013	G769-T0080	f108v	f108	f108v.18	11	12	l	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R011	G780-R014	G769-T0081	f108v	f108	f108v.20	11	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R012	G780-R015	G769-T0092	f111r	f111	f111r.20	12	13	l	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R013	G780-R016	G769-T0094	f111v	f111	f111v.14	4	5	oin	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R014	G780-R017	G769-T0095	f111v	f111	f111v.18	13	14	dain	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R015	G780-R019	G769-T0108	f113r	f113	f113r.6	16	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R016	G780-R020	G769-T0116	f113v	f113	f113v.15	6	7	tchdy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R017	G780-R022	G769-T0122	f113v	f113	f113v.42	13	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R018	G780-R024	G769-T0131	f114v	f114	f114v.3	10	11	lchdaiin	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R019	G780-R025	G769-T0134	f114v	f114	f114v.37	2	3	cheodaiiin	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R020	G780-R027	G769-T0139	f115v	f115	f115v.1	9	10	raiin	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R021	G780-R029	G769-T0149	f116r	f116	f116r.26	6	7	cheedy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R022	G780-R031	G769-T0157	f17v	f17	f17v.9	5	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R023	G780-R032	G769-T0169	f23v	f23	f23v.11	6	7	cheeb	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R024	G780-R033	G769-T0174	f26r	f26	f26r.8	7	8	ytedy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R025	G780-R035	G769-T0180	f32r	f32	f32r.15	4	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R026	G780-R037	G769-T0186	f34v	f34	f34v.3	7	8	kedaiiin	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R027	G780-R038	G769-T0193	f39r	f39	f39r.14	4	5	daiin	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R028	G780-R039	G769-T0194	f39r	f39	f39r.15	2	3	cheol	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R029	G780-R040	G769-T0197	f3r	f3	f3r.9	5	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R030	G780-R041	G769-T0200	f40r	f40	f40r.4	10	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R031	G780-R042	G769-T0203	f40v	f40	f40v.2	3	4	arag	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R032	G780-R043	G769-T0204	f40v	f40	f40v.6	2	3	chedy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R033	G780-R044	G769-T0205	f40v	f40	f40v.9	5	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R034	G780-R045	G769-T0210	f44v	f44	f44v.8	8	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R035	G780-R046	G769-T0226	f52v	f52	f52v.8	5	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R036	G780-R047	G769-T0228	f55r	f55	f55r.10	11	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R037	G780-R048	G769-T0234	f55v	f55	f55v.10	12	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R038	G780-R049	G769-T0242	f58v	f58	f58v.30	9	10	dam	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R039	G780-R050	G769-T0243	f66r	f66	f66r.61	10	11	okedy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R040	G780-R052	G769-T0252	f75r	f75	f75r.5	7	8	olsheedy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R041	G780-R053	G769-T0256	f75r	f75	f75r.24	7	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R042	G780-R054	G769-T0260	f75r	f75	f75r.29	6	7	okeedyqol	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R043	G780-R055	G769-T0268	f75v	f75	f75v.12	5	6	chey	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R044	G780-R056	G769-T0269	f75v	f75	f75v.15	2	3	olain	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R045	G780-R057	G769-T0272	f75v	f75	f75v.40	6	7	sheedy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R046	G780-R058	G769-T0274	f75v	f75	f75v.41	6	7	shey	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R047	G780-R059	G769-T0275	f75v	f75	f75v.41	8	9	shey	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R048	G780-R060	G769-T0280	f75v	f75	f75v.61	4	5	otchdy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R049	G780-R061	G769-T0281	f75v	f75	f75v.62	4	5	olsheey	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R050	G780-R062	G769-T0282	f76r	f76	f76r.3	11	12	chedy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R051	G780-R064	G769-T0288	f76r	f76	f76r.56	2	3	shedy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R052	G780-R066	G769-T0293	f77r	f77	f77r.40	2	3	eeedy	0	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	NO_V99R7_COMPLETE_WORD_CARD_READER_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R053	G780-R067	G769-T0295	f77r	f77	f77r.45	9	10	raiin	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R054	G780-R068	G769-T0297	f77v	f77	f77v.9	8	9	sheedy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R055	G780-R069	G769-T0298	f77v	f77	f77v.23	3	4	shedy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R056	G780-R070	G769-T0300	f77v	f77	f77v.27	9	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R057	G780-R071	G769-T0306	f78r	f78	f78r.14	9	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R058	G780-R072	G769-T0308	f78r	f78	f78r.29	2	3	kedy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R059	G780-R073	G769-T0309	f78r	f78	f78r.29	11	0	NONE	0	LINE_FINAL_NO_RIGHT	LINE_FINAL_NO_RIGHT	Ansatz-/Zubereitungsposten	0	0
G781-R060	G780-R074	G769-T0311	f78r	f78	f78r.33	8	9	keedy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
G781-R061	G780-R075	G769-T0316	f78v	f78	f78v.4	5	6	keedy	0	V99_CARD_NONEXACT	V99_CARD_NONEXACT	Ansatz-/Zubereitungsposten	0	0
