passage_patch_id	span_id	target_occurrence_id	page	physical_folio	locus	ol_ordinal	right_ordinal	right_surface	right_token_id	selected_whole_default_de	written_line_eva	inherited_gdt780_patch_de	gdt781_practical_patch_de	working_field_list_de	working_field_list_source_values_de	working_field_list_status	patch_legend	default_is_translation	confirmed_plaintext	component_export_credit
G781-P001	G781-S001	G769-T0001	f100v	f100	f100v.20	7	8	chockhar	f100v.20@8	Trockenzubereitung	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	ycheoky shokeesy qokeey chokeol saraloaly cheor ⟦Trockenzubereitung⟧	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P002	G781-S002	G769-T0006	f102v2	f102	f102v2.20	9	10	sheeoy	f102v2.20@10	feuchter Endzustand	qokeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoc	qokeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoc	qokeor cho keeol okeeey qokeody chockhey qokeey dol ⟦feuchter Endzustand⟧ tody cheoc	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P003	G781-S003	G769-T0034	f104v	f104	f104v.1	6	7	ear	f104v.1@7	Stoffanteil	pchdoiin opcheedy orar oltcheey opchedy ol ear aiir aly cheodaiin cheekain dam	pchdoiin opcheedy orar oltcheey opchedy ol ear aiir aly cheodaiin cheekain dam	pchdoiin opcheedy orar oltcheey opchedy ⟦Stoffanteil⟧ aiir aly cheodaiin cheekain dam	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P004	G781-S004	G769-T0106	f112v	f112	f112v.23	5	6	cheedaiin	f112v.23@6	Trockenmenge, Mittelstufe	ycheol keeor olkeeey chedain ol cheedaiin sheedy qokeedy qotain	ycheol keeor olkeeey chedain ol cheedaiin sheedy qokeedy qotain	ycheol keeor olkeeey chedain ⟦Trockenmenge, Mittelstufe⟧ sheedy qokeedy qotain	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P005	G781-S005	G769-T0119	f113v	f113	f113v.25	9	10	keeor	f113v.25@10	erhitzter Arzneistoff	tokary lkchey lkeedy otey pcheol qopchey cthol opaiin ol keeor opshedy qotam	tokary lkchey lkeedy otey pcheol qopchey cthol opaiin ol keeor opshedy qotam	tokary lkchey lkeedy otey pcheol qopchey cthol opaiin ⟦erhitzter Arzneistoff⟧ opshedy qotam	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P006	G781-S006	G769-T0123	f114r	f114	f114r.2	11	12	keeed	f114r.2@12	vollständig erhitzt	deedar qoteeddy dair o kedy okoeey r aiin oor cheed ol keeed lkeeedam	deedar qoteeddy dair o kedy okoeey r aiin oor cheed ol keeed lkeeedam	deedar qoteeddy dair o kedy okoeey r aiin oor cheed ⟦vollständig erhitzt⟧ lkeeedam	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P007	G781-S007	G769-T0136	f115r	f115	f115r.24	11	12	otlaiin	f115r.24@12	Kaltansatz, Stufe III	dcheol qokeol or ar aiin cheey okeeeo or chl lor ol otlaiin cheeor ary	dcheol qokeol or ar aiin cheey okeeeo or chl lor ol otlaiin cheeor ary	dcheol qokeol or ar aiin cheey okeeeo or chl lor ⟦Kaltansatz, Stufe III⟧ cheeor ary	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P008	G781-S008	G769-T0141	f115v	f115	f115v.30	2	3	chlor	f115v.30@3	trockener Arzneistoff	ycheedaiin ol chlor lkchedy rchedar oteedal ar lky	ycheedaiin ol chlor lkchedy rchedar oteedal ar lky	ycheedaiin ⟦trockener Arzneistoff⟧ lkchedy rchedar oteedal ar lky	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P009	G781-S009	G769-T0152	f116r	f116	f116r.49	11	12	lkan	f116r.49@12	erhitzt	sysor shey qokey okeolan chey qol or cheey qor arom ol lkan	sysor shey qokey okeolan chey qol or cheey qor arom ol lkan	sysor shey qokey okeolan chey qol or cheey qor arom ⟦erhitzt⟧	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P010	G781-S010	G769-T0176	f30r	f30	f30r.8	2	3	chesey	f30r.8@3	Trockenzustand	opchol ol chesey scheo r chey okeal dcheo rchey	opchol ol chesey scheo r chey okeal dcheo rchey	opchol ⟦Trockenzustand⟧ scheo r chey okeal dcheo rchey	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
