edge_id	batch_id	span_id	target_occurrence_id	page	physical_folio	locus	ol_ordinal	right_ordinal	right_surface	written_span_eva	selection_rule	score_eligible	component_export_credit
G781-E001	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S001	G769-T0001	f100v	f100	f100v.20	7	8	chockhar	ol chockhar	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E002	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S002	G769-T0006	f102v2	f102	f102v2.20	9	10	sheeoy	ol sheeoy	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E003	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S003	G769-T0034	f104v	f104	f104v.1	6	7	ear	ol ear	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E004	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S004	G769-T0106	f112v	f112	f112v.23	5	6	cheedaiin	ol cheedaiin	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E005	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S005	G769-T0119	f113v	f113	f113v.25	9	10	keeor	ol keeor	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E006	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S006	G769-T0123	f114r	f114	f114r.2	11	12	keeed	ol keeed	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E007	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S007	G769-T0136	f115r	f115	f115r.24	11	12	otlaiin	ol otlaiin	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E008	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S008	G769-T0141	f115v	f115	f115v.30	2	3	chlor	ol chlor	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E009	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S009	G769-T0152	f116r	f116	f116r.49	11	12	lkan	ol lkan	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E010	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S010	G769-T0176	f30r	f30	f30r.8	2	3	chesey	ol chesey	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E011	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S011	G769-T0184	f34r	f34	f34r.5	4	5	okes	ol okes	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E012	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S012	G769-T0246	f66r	f66	f66r.69	4	5	kcheeky	ol kcheeky	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E013	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S013	G769-T0287	f76r	f76	f76r.53	4	5	chedor	ol chedor	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E014	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S014	G769-T0292	f77r	f77	f77r.32	4	5	chealor	ol chealor	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E015	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S015	G769-T0325	f78v	f78	f78v.20	8	9	okalor	ol okalor	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E016	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S016	G769-T0409	f81r	f81	f81r.6	2	3	eses	ol eses	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E017	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S017	G769-T0425	f81v	f81	f81v.7	2	3	sheckhal	ol sheckhal	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E018	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S018	G769-T0450	f85r1	f85	f85r1.11	2	3	shdair	ol shdair	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E019	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S019	G769-T0462	f85r2	f85	f85r2.23	4	5	sheoly	ol sheoly	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E020	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S020	G769-T0466	f86v5	f86	f86v5.15	11	12	chsky	ol chsky	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E021	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S021	G769-T0488	f88r	f88	f88r.22	5	6	chorcholsal	ol chorcholsal	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E022	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S022	G769-T0492	f89v1	f89	f89v1.9	7	8	cheokchey	ol cheokchey	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
G781-E023	GDT781_REMAINING_23_EXPLORATORY_WHOLES	G781-S023	G769-T0497	f90r1	f90	f90r1.5	5	6	okachey	ol okachey	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0
