relation_id	candidate_surface	known_neighbor_surface	whole_levenshtein_distance	within_raw_closest_layer	raw_selected_radius	known_neighbor_reading_ids	known_neighbor_levels	known_neighbor_max_score_not_probability	known_neighbor_occurrences	known_neighbor_pages	known_neighbor_core_axes	known_neighbor_union_axes	known_neighbor_best_gloss_de	known_neighbor_all_glosses_de	candidate_raw_consensus_axes	candidate_raw_rival_axes	candidate_raw_analogy_tier	relation_scope	selector_credit	literal_identity_credit	component_export_credit
G781-A0001	chealor	cheal	2	1	2	cheal#GLOBAL	W3_SOLID_WORKING_THEORY	66	26	13	DRY|MATERIAL|MIDDLE_STAGE	DRY|MATERIAL|MIDDLE_STAGE	Rohstoffklasse I, trocken in der Gradmitte	Rohstoffklasse I, trocken in der Gradmitte	DRY|MATERIAL	AMOUNT|PART|CLOSE|MIDDLE_STAGE|END_STAGE	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	COMPLETE_WHOLE_EDIT_ANALOGY_ONLY	0	0	0
G781-A0002	chealor	chealy	2	1	2	chealy#GLOBAL	W3_SOLID_WORKING_THEORY	66	3	3	DRY|MATERIAL|MIDDLE_STAGE	DRY|MATERIAL|MIDDLE_STAGE	Rohstoff I bis zur mittleren Trockenstufe bringen	Rohstoff I bis zur mittleren Trockenstufe bringen	DRY|MATERIAL	AMOUNT|PART|CLOSE|MIDDLE_STAGE|END_STAGE	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	COMPLETE_WHOLE_EDIT_ANALOGY_ONLY	0	0	0
G781-A0003	chealor	chedyor	2	1	2	chedyor#GLOBAL	W2_PROVISIONAL_WORKING	46	1	1	DRY|AMOUNT|MATERIAL|CLOSE|END_STAGE	DRY|AMOUNT|MATERIAL|CLOSE|END_STAGE	eine Portion fertig getrocknete Droge	eine Portion fertig getrocknete Droge	DRY|MATERIAL	AMOUNT|PART|CLOSE|MIDDLE_STAGE|END_STAGE	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	COMPLETE_WHOLE_EDIT_ANALOGY_ONLY	0	0	0
G781-A0004	chealor	cheeor	2	1	2	cheeor#GLOBAL	W3_SOLID_WORKING_THEORY	76	13	13	DRY|AMOUNT|MATERIAL|END_STAGE	DRY|AMOUNT|MATERIAL|END_STAGE	eine Portion vollständig getrocknete Droge	eine Portion vollständig getrocknete Droge	DRY|MATERIAL	AMOUNT|PART|CLOSE|MIDDLE_STAGE|END_STAGE	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	COMPLETE_WHOLE_EDIT_ANALOGY_ONLY	0	0	0
G781-A0005	chealor	cheor	2	1	2	cheor#GLOBAL	W3_SOLID_WORKING_THEORY	66	71	45	DRY|PART|MATERIAL	DRY|PART|MATERIAL	trockener Drogenteil	trockener Drogenteil	DRY|MATERIAL	AMOUNT|PART|CLOSE|MIDDLE_STAGE|END_STAGE	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	COMPLETE_WHOLE_EDIT_ANALOGY_ONLY	0	0	0
G781-A0006	chealor	cholor	2	1	2	cholor#GLOBAL	W3_SOLID_WORKING_THEORY	66	5	5	DRY	DRY	trockene Zutat	trockene Zutat	DRY|MATERIAL	AMOUNT|PART|CLOSE|MIDDLE_STAGE|END_STAGE	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	COMPLETE_WHOLE_EDIT_ANALOGY_ONLY	0	0	0
G781-A0007	chedor	chdor	1	1	1	chdor#GLOBAL	W3_SOLID_WORKING_THEORY	73	9	7	DRY|AMOUNT|MATERIAL	DRY|AMOUNT|MATERIAL	eine abgemessene Portion Trockendroge	eine abgemessene Portion Trockendroge	DRY|AMOUNT|MATERIAL	PART|PROCESS|CLOSE|MIDDLE_STAGE|END_STAGE	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	COMPLETE_WHOLE_EDIT_ANALOGY_ONLY	0	0	0
G781-A0008	chedor	chedar	1	1	1	chedar#GLOBAL	W3_SOLID_WORKING_THEORY	76	31	20	DRY|PART|MIDDLE_STAGE	DRY|PART|MIDDLE_STAGE	abgemessene Trockenfraktion I, Mittelstufe	abgemessene Trockenfraktion I, Mittelstufe	DRY|AMOUNT|MATERIAL	PART|PROCESS|CLOSE|MIDDLE_STAGE|END_STAGE	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	COMPLETE_WHOLE_EDIT_ANALOGY_ONLY	0	0	0
G781-A0009	chedor	chedol	1	1	1	chedol#GLOBAL	W3_SOLID_WORKING_THEORY	71	5	5	DRY|AMOUNT|MATERIAL|PROCESS|MIDDLE_STAGE	DRY|AMOUNT|MATERIAL|PROCESS|MIDDLE_STAGE	Drogenstoff bis zur Mittelstufe trocknen und abmessen	Drogenstoff bis zur Mittelstufe trocknen und abmessen	DRY|AMOUNT|MATERIAL	PART|PROCESS|CLOSE|MIDDLE_STAGE|END_STAGE	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	COMPLETE_WHOLE_EDIT_ANALOGY_ONLY	0	0	0
G781-A0010	chedor	chedyor	1	1	1	chedyor#GLOBAL	W2_PROVISIONAL_WORKING	46	1	1	DRY|AMOUNT|MATERIAL|CLOSE|END_STAGE	DRY|AMOUNT|MATERIAL|CLOSE|END_STAGE	eine Portion fertig getrocknete Droge	eine Portion fertig getrocknete Droge	DRY|AMOUNT|MATERIAL	PART|PROCESS|CLOSE|MIDDLE_STAGE|END_STAGE	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	COMPLETE_WHOLE_EDIT_ANALOGY_ONLY	0	0	0
