cohort_id	parent_intake_id	target_occurrence_id	page	physical_folio	locus	section	language	hand	ol_ordinal	right_ordinal	right_surface	right_reader_exact	parent_gdt780_selected	frozen_whole_23_member	selection_rule	selection_uses_occurrence_id	selection_uses_page_or_locus	selection_uses_analogy_or_meaning	selection_uses_frequency	selection_uses_substring	default_is_translation	confirmed_lexeme	component_export_credit
G781-I001	G780-I001	G769-T0001	f100v	f100	f100v.20	P	A	1	7	8	chockhar	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I002	G780-I002	G769-T0006	f102v2	f102	f102v2.20	P	A	1	9	10	sheeoy	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I003	G780-I003	G769-T0034	f104v	f104	f104v.1	S	B	3	6	7	ear	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I004	G780-I004	G769-T0106	f112v	f112	f112v.23	S	B	3	5	6	cheedaiin	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I005	G780-I005	G769-T0119	f113v	f113	f113v.25	S	B	3	9	10	keeor	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I006	G780-I006	G769-T0123	f114r	f114	f114r.2	S	B	3	11	12	keeed	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I007	G780-I007	G769-T0136	f115r	f115	f115r.24	S	B	@	11	12	otlaiin	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I008	G780-I008	G769-T0141	f115v	f115	f115v.30	S	B	3	2	3	chlor	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I009	G780-I009	G769-T0152	f116r	f116	f116r.49	S	B	3	11	12	lkan	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I010	G780-I010	G769-T0176	f30r	f30	f30r.8	H	A	1	2	3	chesey	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
