page	locus	token_ordinal	surface	rule_id	composition	visible_tail	whole_extension	v64_gloss_de	v65_gloss_de	product_rival_de	basis
f104v	f104v.2	7	otarar	F009	O_PREP+T_COLD+AR_FRACTION_I+AR_FRACTION_I		SECOND_AR_RECURSIVE_SUBFRACTION	erste Unterfraktion der kalten Ansatzfraktion I	erste Unterfraktion der Fraktion I des kalten Ansatzes	Unterfraktion I des kalten Drogenauszugs I	Das zweite AR wird rekursiv als Unterfraktion gelesen; es ist kein neuer Stamm.
f104v	f104v.2	9	otair	F008	O_PREP+T_COLD+AIR_FRACTION_II		NONE	zweiter Kaltauszug der Droge	Fraktion II des kalten Ansatzes	kalter Drogenauszug II	AIR bleibt Stufe II neben OTAR Stufe I.
f105r	f105r.2	11	odar	F005	O_PREP+D_MEASURE+AR_FRACTION_I		NONE	erste Ansatzfraktion abmessen	Fraktion I des Ansatzes abmessen	erste Auszugsfraktion abmessen	O-Rahmen plus bereits gebundener Messkopf und Fraktion I.
f105v	f105v.1	2	oair	F004	O_PREP+AIR_FRACTION_II		NONE	zweite Ansatzfraktion	Fraktion II des Ansatzes	Auszugsfraktion II	O-Rahmen plus zweite Stufe derselben r-Leiter.
f105v	f105v.14	3	qokaiir	F016	QO_FRAME+K_HOT+AIIR_FRACTION_III		EXACT_QOKAIIR_ACTION_OVERRIDE	nimm die dritte erhitzte Drogenfraktion	nimm die heiße Drogenfraktion III	nimm den dritten heißen Drogenauszug	Exact-whole action override; AIIR bleibt Stufe III und QO wird nicht in nominale Schwestern exportiert.
f105v	f105v.14	8	odar	F005	O_PREP+D_MEASURE+AR_FRACTION_I		NONE	erste Ansatzfraktion abmessen	Fraktion I des Ansatzes abmessen	erste Auszugsfraktion abmessen	O-Rahmen plus bereits gebundener Messkopf und Fraktion I.
f107r	f107r.40	7	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f107r	f107r.40	8	otair	F008	O_PREP+T_COLD+AIR_FRACTION_II		NONE	zweiter Kaltauszug der Droge	Fraktion II des kalten Ansatzes	kalter Drogenauszug II	AIR bleibt Stufe II neben OTAR Stufe I.
f113v	f113v.17	4	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f114r	f114r.26	2	olkaiir	F012	O_PREP+L_WOOD+K_HOT+AIIR_FRACTION_III		NONE	dritter heißer Holzauszug	Fraktion III des heißen Holzansatzes	heißer Holzauszug III	Gleicher Material- und Temperaturkopf mit Stufe III.
