page	locus	section	language	hand	token_count	zl3b_line	v63_main_translation_de	v64_practical_translation_de	v64_changed_token_positions	v64_changed_ordinals	v64_compact_apparatus_de	v64_status	v65_compositional_translation_de	v65_changed_token_positions	v65_changed_ordinals	v65_compact_apparatus_de	v65_status
f102v2	f102v2.3	P	A	1	1	oror	Zwei Portionen.	Zwei Portionen.	0	NONE	NONE	EXPLICIT_CONTEXT_RELATIONS__PRACTICAL_HEADS_EXACT_ORDINAL	Zwei Portionen.	0	NONE	NONE	COMPLETE_FRACTION_SISTER_COMPOSITION__BOUND_SPANS__AUSZUG_ONLY_EXPLICIT_WORKFLOW
f104v	f104v.2	S	B	3	10	ychedaiin qoteed chockhy otaiin ydaiin qokamdy otarar alched otair oram	Hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen; Ansatz vollständig abkühlen und abziehen; Arzneikompositum im Trockenansatz am Gradanfang; kalter Ansatz, Grad III; davon drei Maße; ein Maß nehmen und erhitzen; erste Unterfraktion der kalten Ansatzfraktion I; Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen; zweite kalte Drogenfraktion im Ansatz; eine Maßportion Ansatz.	Hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen; Auszug vollständig abkühlen und abziehen; trockene Arzneizubereitung, Gradanfang; kalter Ansatz, Grad III; davon drei Maße; ein Maß nehmen und erhitzen; erste Unterfraktion der kalten Ansatzfraktion I; Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen; zweiter Kaltauszug der Droge; eine Maßportion Ansatz.	3	2|3|9	#2 qoteed: Ansatz vollständig abkühlen und abziehen → Auszug vollständig abkühlen und abziehen [P001] || #3 chockhy: Arzneikompositum im Trockenansatz am Gradanfang → trockene Arzneizubereitung, Gradanfang [P037] || #9 otair: zweite kalte Drogenfraktion im Ansatz → zweiter Kaltauszug der Droge [P042]	EXPLICIT_CONTEXT_RELATIONS__PRACTICAL_HEADS_EXACT_ORDINAL	Hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen; Auszug vollständig abkühlen und abziehen; trockene Arzneizubereitung, Gradanfang; kalter Ansatz, Grad III; davon drei Maße; ein Maß nehmen und erhitzen; erste Unterfraktion der Fraktion I des kalten Ansatzes; Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen; Fraktion II des kalten Ansatzes; eine Maßportion Ansatz.	2	7|9	#7 otarar: erste Unterfraktion der kalten Ansatzfraktion I → erste Unterfraktion der Fraktion I des kalten Ansatzes [F009] || #9 otair: zweiter Kaltauszug der Droge → Fraktion II des kalten Ansatzes [F008]	COMPLETE_FRACTION_SISTER_COMPOSITION__BOUND_SPANS__AUSZUG_ONLY_EXPLICIT_WORKFLOW
f105r	f105r.2	S	B	3	13	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	Eine Dosis vollständig eingeweichte Arzneimischung; hieran anschließend; trocken am Ende des Grades; Wurzel, Charge III; kalt-trockener Ansatz, Anfangsstufe erreicht; eine Portion Ansatz abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; erste Ansatzfraktion abmessen; getrockneter Ansatz; fertige Zubereitung.	Eine Dosis vollständig eingeweichte Arzneimischung; hieran anschließend; trocken am Ende des Grades; Wurzel, Charge III; kalt-trockene Zubereitung, Anfangsstufe erreicht; eine Portion Ansatz abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; erste Ansatzfraktion abmessen; getrocknete Masse; fertige Zubereitung.	2	5|12	#5 otchdy: kalt-trockener Ansatz, Anfangsstufe erreicht → kalt-trockene Zubereitung, Anfangsstufe erreicht [P016] || #12 cheody: getrockneter Ansatz → getrocknete Masse [P011]	EXPLICIT_CONTEXT_RELATIONS__PRACTICAL_HEADS_EXACT_ORDINAL	Eine Dosis vollständig eingeweichte Arzneimischung; hieran anschließend; trocken am Ende des Grades; Wurzel, Charge III; kalt-trockene Zubereitung, Anfangsstufe erreicht; eine Portion Ansatz abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; Fraktion I des Ansatzes abmessen; getrocknete Masse; fertige Zubereitung.	1	11	#11 odar: erste Ansatzfraktion abmessen → Fraktion I des Ansatzes abmessen [F005]	COMPLETE_FRACTION_SISTER_COMPOSITION__BOUND_SPANS__AUSZUG_ONLY_EXPLICIT_WORKFLOW
f105r	f105r.31	S	B	3	13	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Holz; eingeweichtes Gummi; Drogenfraktion I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im Ansatz, heiß am Gradanfang; bis zur mittleren Heizstufe erhitztes Holz; heiße Holzfraktion I; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Holz; eingeweichtes Gummi; Drogenfraktion I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im heißen Ansatz, Gradanfang; bis zur mittleren Heizstufe erhitztes Holz; heiße Holzfraktion I; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	1	7	#7 okal: Rohstoffklasse I im Ansatz, heiß am Gradanfang → Rohstoffklasse I im heißen Ansatz, Gradanfang [P043]	EXPLICIT_CONTEXT_RELATIONS__PRACTICAL_HEADS_EXACT_ORDINAL	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Holz; eingeweichtes Gummi; Drogenfraktion I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im heißen Ansatz, Gradanfang; bis zur mittleren Heizstufe erhitztes Holz; heiße Holzfraktion I; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	0	NONE	NONE	COMPLETE_FRACTION_SISTER_COMPOSITION__BOUND_SPANS__AUSZUG_ONLY_EXPLICIT_WORKFLOW
f105v	f105v.1	S	B	3	9	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	Zweite Pulverfraktion, abgeschlossen; zweite Ansatzfraktion; trocken gebundenes Holzpulver, Form II; erhitze hiervon auf Stufe III; fertiges Trockenpulver aus Holzansatz; drei Dosen bis zur Mittelstufe getrockneter Pulveransatz; fertige abgemessene Ansatzfraktion II; hieraus Pulver bis zur Mittelstufe trocknen; zweite Samenfraktion, abgeschlossen.	Zweite Pulverfraktion, abgeschlossen; zweite Ansatzfraktion; trocken gebundenes Holzpulver, Form II; erhitze hiervon auf Stufe III; fertiges Holzextraktpulver; drei Dosen bis zur Mittelstufe getrockneten Pulvers; fertige abgemessene Ansatzfraktion II; hieraus Pulver bis zur Mittelstufe trocknen; zweite Samenfraktion, abgeschlossen.	2	5|6	#5 olpchedy: fertiges Trockenpulver aus Holzansatz → fertiges Holzextraktpulver [P025] || #6 opchedaiin: drei Dosen bis zur Mittelstufe getrockneter Pulveransatz → drei Dosen bis zur Mittelstufe getrockneten Pulvers [P026]	EXPLICIT_CONTEXT_RELATIONS__PRACTICAL_HEADS_EXACT_ORDINAL	Zweite Pulverfraktion, abgeschlossen; Fraktion II des Ansatzes; trocken gebundenes Holzpulver, Form II; erhitze hiervon auf Stufe III; fertiges Holzextraktpulver; drei Dosen bis zur Mittelstufe getrockneten Pulvers; fertige abgemessene Ansatzfraktion II; hieraus Pulver bis zur Mittelstufe trocknen; zweite Samenfraktion, abgeschlossen.	1	2	#2 oair: zweite Ansatzfraktion → Fraktion II des Ansatzes [F004]	COMPLETE_FRACTION_SISTER_COMPOSITION__BOUND_SPANS__AUSZUG_ONLY_EXPLICIT_WORKFLOW
f105v	f105v.14	S	B	3	10	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht; nimm die dritte erhitzte Drogenfraktion; fertiges Trockenpulver aus Holzansatz; abgezogene Portion Holzansatz; Menge IV; kaltgestellte Rohdroge II; erste Ansatzfraktion abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht; nimm die dritte erhitzte Drogenfraktion; fertiges Holzextraktpulver; abgezogene Portion Holzauszug; Menge IV; kaltgestellte Rohdroge II; erste Ansatzfraktion abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	2	4|5	#4 olpchedy: fertiges Trockenpulver aus Holzansatz → fertiges Holzextraktpulver [P025] || #5 olord: abgezogene Portion Holzansatz → abgezogene Portion Holzauszug [P004]	EXPLICIT_CONTEXT_RELATIONS__PRACTICAL_HEADS_EXACT_ORDINAL	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht; nimm die heiße Drogenfraktion III; fertiges Holzextraktpulver; abgezogene Portion Holzauszug; Menge IV; kaltgestellte Rohdroge II; Fraktion I des Ansatzes abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	2	3|8	#3 qokaiir: nimm die dritte erhitzte Drogenfraktion → nimm die heiße Drogenfraktion III [F016] || #8 odar: erste Ansatzfraktion abmessen → Fraktion I des Ansatzes abmessen [F005]	COMPLETE_FRACTION_SISTER_COMPOSITION__BOUND_SPANS__AUSZUG_ONLY_EXPLICIT_WORKFLOW
f106r	f106r.23	S	B	3	10	ychedy qckhedy dair al qokedy shecphy qokchy otedy dar aror	Bis zur Mittelstufe getrocknet und abgeschlossen; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessene Fraktion II; Rohstoffklasse I; heiße Mittelstufe erreicht; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; kalter Ansatz, Mittelstufe erreicht; abgemessene Fraktion I; eine Portion der ersten Drogenfraktion.	Bis zur Mittelstufe getrocknet und abgeschlossen; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessene Fraktion II; Rohstoffklasse I; heiße Mittelstufe erreicht; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; kalter Ansatz, Mittelstufe erreicht; abgemessene Fraktion I; eine Portion der ersten Drogenfraktion.	0	NONE	NONE	EXPLICIT_CONTEXT_RELATIONS__PRACTICAL_HEADS_EXACT_ORDINAL	Bis zur Mittelstufe getrocknet und abgeschlossen; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessene Fraktion II; Rohstoffklasse I; heiße Mittelstufe erreicht; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; kalter Ansatz, Mittelstufe erreicht; abgemessene Fraktion I; eine Portion der ersten Drogenfraktion.	0	NONE	NONE	COMPLETE_FRACTION_SISTER_COMPOSITION__BOUND_SPANS__AUSZUG_ONLY_EXPLICIT_WORKFLOW
f107r	f107r.2	S	B	3	13	dchey qoteos aiin shedy oteed qor aiin cheockhy olkeey qotain chey qeeey lor	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; mittlere Feuchtstufe erreicht; vollständig abgekühlter und abgezogener Ansatz; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzansatz vollständig erhitzt; kalter Ansatz, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; mittlere Feuchtstufe erreicht; vollständig abgekühlter und abgezogener Auszug; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzansatz vollständig erhitzt; kalter Ansatz, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.	1	5	#5 oteed: vollständig abgekühlter und abgezogener Ansatz → vollständig abgekühlter und abgezogener Auszug [P002]	EXPLICIT_CONTEXT_RELATIONS__PRACTICAL_HEADS_EXACT_ORDINAL	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; mittlere Feuchtstufe erreicht; vollständig abgekühlter und abgezogener Auszug; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzansatz vollständig erhitzt; kalter Ansatz, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.	0	NONE	NONE	COMPLETE_FRACTION_SISTER_COMPOSITION__BOUND_SPANS__AUSZUG_ONLY_EXPLICIT_WORKFLOW
f107r	f107r.40	S	B	3	10	lolkaiin chey qokaiin chal aiin okaiin olkar otair okal okal	Holzstoff, heiß auf Stufe III; trocken in der Mitte des Grades; heiß, Grad III; Rohstoffklasse I, trocken am Gradanfang; Menge III; heißer Ansatz, Grad III; erste erhitzte Holzfraktion im Ansatz; zweite kalte Drogenfraktion im Ansatz; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Rohstoffklasse I im Ansatz, heiß am Gradanfang.	Holzstoff, heiß auf Stufe III; trocken in der Mitte des Grades; heiß, Grad III; Rohstoffklasse I, trocken am Gradanfang; Menge III; heißer Ansatz, Grad III; erster heißer Holzauszug; zweiter Kaltauszug der Droge; Rohstoffklasse I im heißen Ansatz, Gradanfang; Rohstoffklasse I im heißen Ansatz, Gradanfang.	4	7|8|9|10	#7 olkar: erste erhitzte Holzfraktion im Ansatz → erster heißer Holzauszug [P041] || #8 otair: zweite kalte Drogenfraktion im Ansatz → zweiter Kaltauszug der Droge [P042] || #9 okal: Rohstoffklasse I im Ansatz, heiß am Gradanfang → Rohstoffklasse I im heißen Ansatz, Gradanfang [P043] || #10 okal: Rohstoffklasse I im Ansatz, heiß am Gradanfang → Rohstoffklasse I im heißen Ansatz, Gradanfang [P043]	EXPLICIT_CONTEXT_RELATIONS__PRACTICAL_HEADS_EXACT_ORDINAL	Holzstoff, heiß auf Stufe III; trocken in der Mitte des Grades; heiß, Grad III; Rohstoffklasse I, trocken am Gradanfang; Menge III; heißer Ansatz, Grad III; Fraktion I des heißen Holzansatzes; Fraktion II des kalten Ansatzes; Rohstoffklasse I im heißen Ansatz, Gradanfang; Rohstoffklasse I im heißen Ansatz, Gradanfang.	2	7|8	#7 olkar: erster heißer Holzauszug → Fraktion I des heißen Holzansatzes [F011] || #8 otair: zweiter Kaltauszug der Droge → Fraktion II des kalten Ansatzes [F008]	COMPLETE_FRACTION_SISTER_COMPOSITION__BOUND_SPANS__AUSZUG_ONLY_EXPLICIT_WORKFLOW
f10r	f10r.2	H	A	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Krautansatz; Trockenfraktion I; trocken-kalt am Gradanfang; Ansatzcharge; zweite Trockenfraktion; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlter Ansatz, abgeschlossen.	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Krautansatz; Trockenfraktion I; trocken-kalt am Gradanfang; Ansatzcharge; zweite Trockenfraktion; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlte Zubereitung, abgeschlossen.	1	10	#10 etyd: bis Mittelstufe gekühlter Ansatz, abgeschlossen → bis Mittelstufe gekühlte Zubereitung, abgeschlossen [P020]	EXPLICIT_CONTEXT_RELATIONS__PRACTICAL_HEADS_EXACT_ORDINAL	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Krautansatz; Trockenfraktion I; trocken-kalt am Gradanfang; Ansatzcharge; zweite Trockenfraktion; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlte Zubereitung, abgeschlossen.	0	NONE	NONE	COMPLETE_FRACTION_SISTER_COMPOSITION__BOUND_SPANS__AUSZUG_ONLY_EXPLICIT_WORKFLOW
