rule_id	surface	composition	family	visible_tail	whole_extension	positions	changed_positions	action_licensed	v64_gloss_de	v65_gloss_de	product_rival_de	loci	basis
F001	ar	AR_FRACTION_I	NAKED_R_LADDER		NONE	2	0	0	Drogenfraktion I	Drogenfraktion I	Ansatzfraktion I	f105r.31#4|f116r.12#2	Nackte erste Stufe der r-Leiter.
F002	aiir	AIIR_FRACTION_III	NAKED_R_LADDER		NONE	1	0	0	Drogenfraktion III	Drogenfraktion III	Ansatzfraktion III	f114r.24#8	Nackte dritte Stufe der r-Leiter.
F003	oar	O_PREP+AR_FRACTION_I	O_PREP_R_LADDER		NONE	1	1	0	erster Drogenauszug	Fraktion I des Ansatzes	Drogenauszug I	f86v5.24#1	O-Rahmen plus Fraktion I; Auszug bleibt Rivale ohne Abziehmerkmal.
F004	oair	O_PREP+AIR_FRACTION_II	O_PREP_R_LADDER		NONE	1	1	0	zweite Ansatzfraktion	Fraktion II des Ansatzes	Auszugsfraktion II	f105v.1#2	O-Rahmen plus zweite Stufe derselben r-Leiter.
F005	odar	O_PREP+D_MEASURE+AR_FRACTION_I	O_PREP_MEASURE		NONE	2	2	1	erste Ansatzfraktion abmessen	Fraktion I des Ansatzes abmessen	erste Auszugsfraktion abmessen	f105r.2#11|f105v.14#8	O-Rahmen plus bereits gebundener Messkopf und Fraktion I.
F006	okar	O_PREP+K_HOT+AR_FRACTION_I	O_PREP_TEMPERATURE_R_LADDER		NONE	2	2	0	erster heißer Drogenauszug	Fraktion I des heißen Ansatzes	heißer Drogenauszug I	f114r.26#5|f86v6.31#6	Heißqualifikator verändert die Temperatur, nicht den Fraktionskopf.
F007	otar	O_PREP+T_COLD+AR_FRACTION_I	O_PREP_TEMPERATURE_R_LADDER		NONE	1	1	0	erster Kaltauszug der Droge	Fraktion I des kalten Ansatzes	kalter Drogenauszug I	f95v1.7#7	Kaltqualifikator verändert die Temperatur, nicht den Fraktionskopf.
F008	otair	O_PREP+T_COLD+AIR_FRACTION_II	O_PREP_TEMPERATURE_R_LADDER		NONE	2	2	0	zweiter Kaltauszug der Droge	Fraktion II des kalten Ansatzes	kalter Drogenauszug II	f104v.2#9|f107r.40#8	AIR bleibt Stufe II neben OTAR Stufe I.
F009	otarar	O_PREP+T_COLD+AR_FRACTION_I+AR_FRACTION_I	O_PREP_DERIVED_FRACTION		SECOND_AR_RECURSIVE_SUBFRACTION	1	1	0	erste Unterfraktion der kalten Ansatzfraktion I	erste Unterfraktion der Fraktion I des kalten Ansatzes	Unterfraktion I des kalten Drogenauszugs I	f104v.2#7	Das zweite AR wird rekursiv als Unterfraktion gelesen; es ist kein neuer Stamm.
F010	otardy	O_PREP+T_COLD+AR_FRACTION_I	O_PREP_DERIVED_FRACTION	dy	EXACT_OTARDY_FINISHED_RESULT_TAIL	1	1	0	fertige erste kalte Ansatzfraktion	fertige Fraktion I des kalten Ansatzes	fertiger kalter Drogenauszug I	f95v1.7#11	Fertig ist ein exact-whole Resultatschwanz und kein exportierter freier DY-Wert.
F011	olkar	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	16	16	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	f107r.40#7|f113v.17#4|f75r.3#8|f80r.17#9|f80v.27#3|f80v.35#3|f83v.12#8|f85r2.5#2|f86v3.13#6|f86v5.24#8|f86v5.4#10|f86v6.25#3|f86v6.31#4|f86v6.4#12|f86v6.5#4|f95v1.7#4	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
F012	olkaiir	O_PREP+L_WOOD+K_HOT+AIIR_FRACTION_III	O_PREP_MATERIAL_R_LADDER		NONE	1	1	0	dritter heißer Holzauszug	Fraktion III des heißen Holzansatzes	heißer Holzauszug III	f114r.26#2	Gleicher Material- und Temperaturkopf mit Stufe III.
F013	qokar	QO_FRAME+K_HOT+AR_FRACTION_I	QO_TEMPERATURE_R_LADDER		NONE	6	0	0	heiße Drogenfraktion I	heiße Drogenfraktion I	heißer Drogenauszug I	f80r.17#5|f86v5.2#3|f86v5.2#5|f86v6.25#2|f86v6.5#9|f95v1.7#3	Nominale QO-Schwester; kein zusätzliches Verb und kein Ansatzimport.
F014	qotar	QO_FRAME+T_COLD+AR_FRACTION_I	QO_TEMPERATURE_R_LADDER		NONE	2	0	0	kalte Drogenfraktion I	kalte Drogenfraktion I	kalter Drogenauszug I	f114v.36#8|f86v6.5#12	Nominale QO-Schwester; kein zusätzliches Verb und kein Ansatzimport.
F015	qodar	QO_FRAME+D_MEASURE+AR_FRACTION_I	QO_ACTION_R_LADDER		NONE	1	1	1	die erste Ansatzfraktion abmessen	Fraktion I abmessen	erste Ansatz- oder Auszugsfraktion abmessen	f86v6.25#4	QO trägt hier den bereits gebundenen Aktionsordinal, aber keinen freien Ansatzwert.
F016	qokaiir	QO_FRAME+K_HOT+AIIR_FRACTION_III	QO_ACTION_R_LADDER		EXACT_QOKAIIR_ACTION_OVERRIDE	1	1	1	nimm die dritte erhitzte Drogenfraktion	nimm die heiße Drogenfraktion III	nimm den dritten heißen Drogenauszug	f105v.14#3	Exact-whole action override; AIIR bleibt Stufe III und QO wird nicht in nominale Schwestern exportiert.
