page	locus	token_ordinal	surface	rule_id	composition	family	visible_tail	whole_extension	action_licensed	v64_gloss_de	v65_gloss_de	changed	product_rival_de	basis
f104v	f104v.2	7	otarar	F009	O_PREP+T_COLD+AR_FRACTION_I+AR_FRACTION_I	O_PREP_DERIVED_FRACTION		SECOND_AR_RECURSIVE_SUBFRACTION	0	erste Unterfraktion der kalten Ansatzfraktion I	erste Unterfraktion der Fraktion I des kalten Ansatzes	1	Unterfraktion I des kalten Drogenauszugs I	Das zweite AR wird rekursiv als Unterfraktion gelesen; es ist kein neuer Stamm.
f104v	f104v.2	9	otair	F008	O_PREP+T_COLD+AIR_FRACTION_II	O_PREP_TEMPERATURE_R_LADDER		NONE	0	zweiter Kaltauszug der Droge	Fraktion II des kalten Ansatzes	1	kalter Drogenauszug II	AIR bleibt Stufe II neben OTAR Stufe I.
f105r	f105r.2	11	odar	F005	O_PREP+D_MEASURE+AR_FRACTION_I	O_PREP_MEASURE		NONE	1	erste Ansatzfraktion abmessen	Fraktion I des Ansatzes abmessen	1	erste Auszugsfraktion abmessen	O-Rahmen plus bereits gebundener Messkopf und Fraktion I.
f105r	f105r.31	4	ar	F001	AR_FRACTION_I	NAKED_R_LADDER		NONE	0	Drogenfraktion I	Drogenfraktion I	0	Ansatzfraktion I	Nackte erste Stufe der r-Leiter.
f105v	f105v.1	2	oair	F004	O_PREP+AIR_FRACTION_II	O_PREP_R_LADDER		NONE	0	zweite Ansatzfraktion	Fraktion II des Ansatzes	1	Auszugsfraktion II	O-Rahmen plus zweite Stufe derselben r-Leiter.
f105v	f105v.14	3	qokaiir	F016	QO_FRAME+K_HOT+AIIR_FRACTION_III	QO_ACTION_R_LADDER		EXACT_QOKAIIR_ACTION_OVERRIDE	1	nimm die dritte erhitzte Drogenfraktion	nimm die heiße Drogenfraktion III	1	nimm den dritten heißen Drogenauszug	Exact-whole action override; AIIR bleibt Stufe III und QO wird nicht in nominale Schwestern exportiert.
f105v	f105v.14	8	odar	F005	O_PREP+D_MEASURE+AR_FRACTION_I	O_PREP_MEASURE		NONE	1	erste Ansatzfraktion abmessen	Fraktion I des Ansatzes abmessen	1	erste Auszugsfraktion abmessen	O-Rahmen plus bereits gebundener Messkopf und Fraktion I.
f107r	f107r.40	7	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f107r	f107r.40	8	otair	F008	O_PREP+T_COLD+AIR_FRACTION_II	O_PREP_TEMPERATURE_R_LADDER		NONE	0	zweiter Kaltauszug der Droge	Fraktion II des kalten Ansatzes	1	kalter Drogenauszug II	AIR bleibt Stufe II neben OTAR Stufe I.
f113v	f113v.17	4	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f114r	f114r.24	8	aiir	F002	AIIR_FRACTION_III	NAKED_R_LADDER		NONE	0	Drogenfraktion III	Drogenfraktion III	0	Ansatzfraktion III	Nackte dritte Stufe der r-Leiter.
f114r	f114r.26	2	olkaiir	F012	O_PREP+L_WOOD+K_HOT+AIIR_FRACTION_III	O_PREP_MATERIAL_R_LADDER		NONE	0	dritter heißer Holzauszug	Fraktion III des heißen Holzansatzes	1	heißer Holzauszug III	Gleicher Material- und Temperaturkopf mit Stufe III.
f114r	f114r.26	5	okar	F006	O_PREP+K_HOT+AR_FRACTION_I	O_PREP_TEMPERATURE_R_LADDER		NONE	0	erster heißer Drogenauszug	Fraktion I des heißen Ansatzes	1	heißer Drogenauszug I	Heißqualifikator verändert die Temperatur, nicht den Fraktionskopf.
f114v	f114v.36	8	qotar	F014	QO_FRAME+T_COLD+AR_FRACTION_I	QO_TEMPERATURE_R_LADDER		NONE	0	kalte Drogenfraktion I	kalte Drogenfraktion I	0	kalter Drogenauszug I	Nominale QO-Schwester; kein zusätzliches Verb und kein Ansatzimport.
f116r	f116r.12	2	ar	F001	AR_FRACTION_I	NAKED_R_LADDER		NONE	0	Drogenfraktion I	Drogenfraktion I	0	Ansatzfraktion I	Nackte erste Stufe der r-Leiter.
f75r	f75r.3	8	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f80r	f80r.17	5	qokar	F013	QO_FRAME+K_HOT+AR_FRACTION_I	QO_TEMPERATURE_R_LADDER		NONE	0	heiße Drogenfraktion I	heiße Drogenfraktion I	0	heißer Drogenauszug I	Nominale QO-Schwester; kein zusätzliches Verb und kein Ansatzimport.
f80r	f80r.17	9	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f80v	f80v.27	3	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f80v	f80v.35	3	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
