slot	slot_rank	master_card_id	master_form	portable_value_de	event_count	writing_class	finality_rule	fourth_instruction_use_de
G1	1	MC080	chor	Ansatz	7	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G1	2	MC055	char	davon	5	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G1	3	MC012	dl	Zusatz	2	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G1	4	MC013	otchor	Folgeansatz	2	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G2	1	MC123	chey	dies	18	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G2	2	MC120	okaiin	bemessen	9	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G2	3	MC017	okain	Anteil zugeben	7	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G2	4	MC034	cho	weitere Zutat	4	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G3	1	MC161	checthy	bereit	7	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G3	2	MC032	cheeky	länger bearbeiten	2	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G3	3	MC033	oiiin	Arbeitsstufe	2	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G3	4	MC073	qcthey	kurz vorbereiten	2	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G4	1	MC153	cheol	weiter	19	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G4	2	MC155	lchedy	abführen; Schluss	8	NEW_PORTABLE_SLOT_CANDIDATE	ALWAYS_FIELD_FINAL	use only with this observed slot and finality rule
G4	3	MC002	okeey	lange einwirken	7	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G4	4	MC025	dchedy	überführen; Schluss	4	NEW_PORTABLE_SLOT_CANDIDATE	ALWAYS_FIELD_FINAL	use only with this observed slot and finality rule
G5	1	MC045	olkeedy	lange sammeln; Schluss	3	NEW_PORTABLE_SLOT_CANDIDATE	ALWAYS_FIELD_FINAL	use only with this observed slot and finality rule
G5	2	MC113	shedal	am Ziel absetzen	2	NEW_PORTABLE_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G5	3	MC001	chdal	Zieltransfer	1	LOCAL_LEARNED_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G5	4	MC020	solkeey	Langsammlung	1	LOCAL_LEARNED_SLOT_CANDIDATE	NOT_OBSERVED_AS_CLOSE	use only with this observed slot and finality rule
G6	1	MC128	cheedy	kurz absetzen; Schluss	12	NEW_PORTABLE_SLOT_CANDIDATE	ALWAYS_FIELD_FINAL	use only with this observed slot and finality rule
G6	2	MC004	ldy	abziehen; Schluss	2	NEW_PORTABLE_SLOT_CANDIDATE	ALWAYS_FIELD_FINAL	use only with this observed slot and finality rule
G6	3	MC173	qoteedy	lange Folgestufe; Schluss	2	NEW_PORTABLE_SLOT_CANDIDATE	ALWAYS_FIELD_FINAL	use only with this observed slot and finality rule
G6	4	MC135	otedy	Kurzfolge; Schluss	2	LOCAL_LEARNED_SLOT_CANDIDATE	ALWAYS_FIELD_FINAL	use only with this observed slot and finality rule
