master_card_id	master_form	registered_surfaces	portable_value_de	syntactic_type	portable_scope	event_count	observed_slot	observed_role_combinations	terminal_events	finality_rule	forward_palette_slots	forward_alignment	writing_class	composition_class
MC001	chdal	chdal	Zieltransfer	LEARNED_TRANSFER_OR_ADDRESS	LOCAL_LEARNED_WHOLE_CARD	1	G5	OPERATION+TARGET	0	NOT_OBSERVED_AS_CLOSE	NOT_YET_USED	UNUSED_IN_FORWARD_PALETTE	LOCAL_LEARNED_SLOT_CANDIDATE	FULLY_COMPOSED_FROM_OTHER_CARDS
MC002	okeey	okeey|qokeey	lange einwirken	DURATIVE_ACTION	ACTIVE_CROSS_RECORD	7	G4	OWNER_ITEM+OPERATION+STATE_GRADE	0	NOT_OBSERVED_AS_CLOSE	NOT_YET_USED	UNUSED_IN_FORWARD_PALETTE	NEW_PORTABLE_SLOT_CANDIDATE	COMMON_CARD_NOT_IN_RARE_AUDIT
MC003	sheedy	sheedy	Langabsetzen; Schluss	LEARNED_PROCESS_OR_STATE	LOCAL_LEARNED_WHOLE_CARD	1	G6	STATE_GRADE+CLOSE	1	ALWAYS_FIELD_FINAL	NOT_YET_USED	UNUSED_IN_FORWARD_PALETTE	LOCAL_LEARNED_SLOT_CANDIDATE	FULLY_COMPOSED_FROM_OTHER_CARDS
MC004	ldy	ldy	abziehen; Schluss	TERMINAL_ACTION	ACTIVE_CROSS_RECORD	2	G6	CLOSE	2	ALWAYS_FIELD_FINAL	NOT_YET_USED	UNUSED_IN_FORWARD_PALETTE	NEW_PORTABLE_SLOT_CANDIDATE	FULLY_COMPOSED_FROM_OTHER_CARDS
MC005	okchedy	okchedy|qokchedy	einführen; Schluss	TERMINAL_ACTION	ACTIVE_CROSS_RECORD	2	G4	PREPARATION+OPERATION+CLOSE	2	ALWAYS_FIELD_FINAL	NOT_YET_USED	UNUSED_IN_FORWARD_PALETTE	NEW_PORTABLE_SLOT_CANDIDATE	FULLY_COMPOSED_FROM_OTHER_CARDS
MC006	chokcheo	chokcheo	Auszug einsetzen	LEARNED_LOCAL_ACTION	LOCAL_LEARNED_WHOLE_CARD	1	G4	PREPARATION+OPERATION+FLOW_TRANSFER	0	NOT_OBSERVED_AS_CLOSE	NOT_YET_USED	UNUSED_IN_FORWARD_PALETTE	LOCAL_LEARNED_SLOT_CANDIDATE	FULLY_COMPOSED_FROM_OTHER_CARDS
MC007	okey	okey|qokey	kurz einwirken	DURATIVE_ACTION	ACTIVE_CROSS_RECORD	2	G4	OWNER_ITEM+OPERATION+STATE_GRADE	0	NOT_OBSERVED_AS_CLOSE	G4	EXACT_SLOT_MATCH	CURRENT_25_CARD_PALETTE	FULLY_COMPOSED_FROM_OTHER_CARDS
MC008	lchy	lchy	Abführgut	LEARNED_TRANSFER_OR_ADDRESS	LOCAL_LEARNED_WHOLE_CARD	1	G2	OWNER_ITEM	0	NOT_OBSERVED_AS_CLOSE	NOT_YET_USED	UNUSED_IN_FORWARD_PALETTE	LOCAL_LEARNED_SLOT_CANDIDATE	FULLY_COMPOSED_FROM_OTHER_CARDS
MC009	chary	chary	Quellposten	LEARNED_TRANSFER_OR_ADDRESS	LOCAL_LEARNED_WHOLE_CARD	1	G4	OPERATION	0	NOT_OBSERVED_AS_CLOSE	NOT_YET_USED	UNUSED_IN_FORWARD_PALETTE	LOCAL_LEARNED_SLOT_CANDIDATE	FULLY_COMPOSED_FROM_OTHER_CARDS
MC010	chodaly	chodaly	Zielzugabe	LEARNED_OBJECT	LOCAL_LEARNED_WHOLE_CARD	1	G2	OWNER_ITEM	0	NOT_OBSERVED_AS_CLOSE	NOT_YET_USED	UNUSED_IN_FORWARD_PALETTE	LOCAL_LEARNED_SLOT_CANDIDATE	FULLY_COMPOSED_FROM_OTHER_CARDS
