target_frame_card_id	source_gdt505_target_card_id	target_matrix_cell_id	target_action_recipe	target_register	ordered_action_pair	carrier_neutral_handgrip_de	target_current_default_phrase_de	target_argument_policy	target_argument_roots	old_pair_carrier_event_count	ordered_reduction_candidate_count	argument_compatible_candidate_count	local_argument_compatible_candidate_count	cross_argument_compatible_candidate_count	target_register_old_pair_event_count	compatibility_tier	tier_reading_de	selected_reduction_candidate_id	selected_source_event_id	selected_source_register	selected_source_recipe	selected_source_argument_mode	selected_removed_carrier_atoms	selected_removed_carrier_values_de	selected_removed_carrier_atom_count	assumption_retained	target_phrase_changed	target_evidence_status_retained	working_root_meaning_changed	surface_prediction_made	occurrence_prediction_made	guard	compatibility_priority_rank
G506-T01	G505-T01	G498-M270	P+CH+E+Y	PHARMA	P+CH	Setze das zuvor Genannte ein und nimm es.	Setze den Drogenposten ein und nimm den Drogenposten; auf Grad I.	EXPLICIT_TARGET_ARGUMENTS	Y	16	1	1	1	0	4	A_LOCAL_ARGUMENT_COMPATIBLE_REDUCTION	Ein alter Träger im Zielregister reduziert auf das Zielrezept und hat denselben Argumentmodus.	G506-C001	G407-E3846	PHARMA	P+CH+E+O+L+Y	EXPLICIT_ARGUMENTS	O+L	AUSFÜHRUNG · VERBINDUNG	2	YES	NO	COMPOSED_WORKING	NO	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED	3
G506-T02	G505-T02	G498-M294	S+CHD+Y	CELESTIAL	S+CHD	Wähle das zuvor Genannte und bearbeite es.	Wähle den Positionsposten und bearbeite den Positionsposten.	EXPLICIT_TARGET_ARGUMENTS	Y	4	4	4	0	4	0	B_CROSS_REGISTER_ARGUMENT_COMPATIBLE_REDUCTION	Die passende Rahmenreduktion ist alt, aber nur in einem anderen Register.	G506-C002	G407-E1883	BIOLOGICAL	S+OL+CHD+Y	EXPLICIT_ARGUMENTS	OL	FORTSETZEN	1	YES	NO	COMPOSED_WORKING	NO	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED	4
G506-T03	G505-T03	G498-M269	P+CH+E+Y	CELESTIAL	P+CH	Setze das zuvor Genannte ein und nimm es.	Setze den Positionsposten ein und nimm den Positionsposten auf; auf Grad I.	EXPLICIT_TARGET_ARGUMENTS	Y	16	1	1	0	1	3	B_CROSS_REGISTER_ARGUMENT_COMPATIBLE_REDUCTION	Die passende Rahmenreduktion ist alt, aber nur in einem anderen Register.	G506-C006	G407-E3846	PHARMA	P+CH+E+O+L+Y	EXPLICIT_ARGUMENTS	O+L	AUSFÜHRUNG · VERBINDUNG	2	YES	NO	COMPOSED_WORKING	NO	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED	7
G506-T04	G505-T04	G498-M295	S+CHD+Y	PHARMA	S+CHD	Wähle das zuvor Genannte und bearbeite es.	Wähle den Drogenposten und bearbeite den Drogenposten.	EXPLICIT_TARGET_ARGUMENTS	Y	4	4	4	0	4	0	B_CROSS_REGISTER_ARGUMENT_COMPATIBLE_REDUCTION	Die passende Rahmenreduktion ist alt, aber nur in einem anderen Register.	G506-C007	G407-E1883	BIOLOGICAL	S+OL+CHD+Y	EXPLICIT_ARGUMENTS	OL	FORTSETZEN	1	YES	NO	COMPOSED_WORKING	NO	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED	5
G506-T05	G505-T05	G498-M291	S+CHD+Y	SOURCE_SECTION_T	S+CHD	Wähle das zuvor Genannte und bearbeite es.	Wähle den laufenden Eintrag und bearbeite den laufenden Eintrag.	EXPLICIT_TARGET_ARGUMENTS	Y	4	4	4	0	4	0	B_CROSS_REGISTER_ARGUMENT_COMPATIBLE_REDUCTION	Die passende Rahmenreduktion ist alt, aber nur in einem anderen Register.	G506-C011	G407-E1883	BIOLOGICAL	S+OL+CHD+Y	EXPLICIT_ARGUMENTS	OL	FORTSETZEN	1	YES	NO	COMPOSED_WORKING	NO	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED	6
G506-T06	G505-T06	G498-M495	CH+P	PHARMA	CH+P	Nimm das zuvor Genannte und setze es ein.	Nimm das zuvor Genannte und setze es ein.	CONTEXTUAL_TARGET_ARGUMENT	NONE	25	25	13	3	10	5	A_LOCAL_ARGUMENT_COMPATIBLE_REDUCTION	Ein alter Träger im Zielregister reduziert auf das Zielrezept und hat denselben Argumentmodus.	G506-C035	G407-E3844	PHARMA	CH+P+OL	INHERITED_ARGUMENT	OL	FORTSETZEN	1	YES	NO	COMPOSED_WORKING	NO	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED	1
G506-T07	G505-T07	G498-M491	CH+P	SOURCE_SECTION_T	CH+P	Nimm das zuvor Genannte und setze es ein.	Entnimm das zuvor Genannte und setze es ein.	CONTEXTUAL_TARGET_ARGUMENT	NONE	25	25	13	3	10	7	A_LOCAL_ARGUMENT_COMPATIBLE_REDUCTION	Ein alter Träger im Zielregister reduziert auf das Zielrezept und hat denselben Argumentmodus.	G506-C040	G407-E0044	SOURCE_SECTION_T	CH+P+AR	INHERITED_ARGUMENT	AR	AUSGANG	1	YES	NO	COMPOSED_WORKING	NO	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED	2
G506-T08	G505-T08	G498-M460	CH+CH	PHARMA	CH+CH	Nimm das zuvor Genannte zweimal.	Nimm das zuvor Genannte zweimal.	CONTEXTUAL_TARGET_ARGUMENT	NONE	7	7	0	0	0	0	C_ACTION_HANDGRIP_ONLY__ARGUMENT_MODE_OPEN	Die Handlungskette ist alt; alte Träger nennen jedoch Argumente explizit, während das Ziel sie aus dem Kontext erbt.	G506-C065	G407-E0218	HERBAL	CH+OR+CH+Y	EXPLICIT_ARGUMENTS	OR+Y	EINHEIT · POSTEN	2	YES	NO	COMPOSED_WORKING	NO	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED	8
G506-T09	G505-T09	G498-M456	CH+CH	SOURCE_SECTION_T	CH+CH	Nimm das zuvor Genannte zweimal.	Entnimm das zuvor Genannte zweimal.	CONTEXTUAL_TARGET_ARGUMENT	NONE	7	7	0	0	0	0	C_ACTION_HANDGRIP_ONLY__ARGUMENT_MODE_OPEN	Die Handlungskette ist alt; alte Träger nennen jedoch Argumente explizit, während das Ziel sie aus dem Kontext erbt.	G506-C072	G407-E0218	HERBAL	CH+OR+CH+Y	EXPLICIT_ARGUMENTS	OR+Y	EINHEIT · POSTEN	2	YES	NO	COMPOSED_WORKING	NO	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED	9
G506-T10	G505-T10	G498-M465	CH+SH	PHARMA	CH+SH	Nimm das zuvor Genannte und halte es.	Nimm das zuvor Genannte und halte es.	CONTEXTUAL_TARGET_ARGUMENT	NONE	3	3	0	0	0	0	C_ACTION_HANDGRIP_ONLY__ARGUMENT_MODE_OPEN	Die Handlungskette ist alt; alte Träger nennen jedoch Argumente explizit, während das Ziel sie aus dem Kontext erbt.	G506-C079	G407-E0298	HERBAL	OT+CH+O+SH+OR	EXPLICIT_ARGUMENTS	OT+O+OR	DANACH · AUSFÜHRUNG · EINHEIT	3	YES	NO	COMPOSED_WORKING	NO	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED	10
