reduction_candidate_id	source_gdt505_target_card_id	target_matrix_cell_id	target_action_recipe	target_register	ordered_action_pair	target_argument_policy	target_argument_roots	source_pair_carrier_id	source_event_id	source_register	source_component_recipe	source_argument_mode	source_explicit_argument_roots	source_inherited_argument_root	ordered_target_subsequence_exact	aligned_carrier_positions	removed_carrier_positions	removed_carrier_atoms	removed_carrier_values_de	removed_carrier_atom_count	argument_mode_compatible	argument_compatibility_reason	target_register_relation	direct_pair_in_carrier	carrier_neutral_handgrip_de	foreign_frame_transferred	target_phrase_changed	guard
G506-C001	G505-T01	G498-M270	P+CH+E+Y	PHARMA	P+CH	EXPLICIT_TARGET_ARGUMENTS	Y	G505-C48	G407-E3846	PHARMA	P+CH+E+O+L+Y	EXPLICIT_ARGUMENTS	Y	NONE	YES	1,2,3,6	4,5	O+L	AUSFÜHRUNG · VERBINDUNG	2	YES	EXPLICIT_TARGET_ARGUMENTS_PRESENT	SAME_REGISTER	YES	Setze das zuvor Genannte ein und nimm es.	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED
G506-C002	G505-T02	G498-M294	S+CHD+Y	CELESTIAL	S+CHD	EXPLICIT_TARGET_ARGUMENTS	Y	G505-C33	G407-E1883	BIOLOGICAL	S+OL+CHD+Y	EXPLICIT_ARGUMENTS	Y	NONE	YES	1,3,4	2	OL	FORTSETZEN	1	YES	EXPLICIT_TARGET_ARGUMENTS_PRESENT	CROSS_REGISTER	NO	Wähle das zuvor Genannte und bearbeite es.	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED
G506-C003	G505-T02	G498-M294	S+CHD+Y	CELESTIAL	S+CHD	EXPLICIT_TARGET_ARGUMENTS	Y	G505-C38	G407-E2549	BIOLOGICAL	S+OL+CHD+Y	EXPLICIT_ARGUMENTS	Y	NONE	YES	1,3,4	2	OL	FORTSETZEN	1	YES	EXPLICIT_TARGET_ARGUMENTS_PRESENT	CROSS_REGISTER	NO	Wähle das zuvor Genannte und bearbeite es.	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED
G506-C004	G505-T02	G498-M294	S+CHD+Y	CELESTIAL	S+CHD	EXPLICIT_TARGET_ARGUMENTS	Y	G505-C45	G407-E3697	BIOLOGICAL	S+AL+CHD+Y	EXPLICIT_ARGUMENTS	Y	NONE	YES	1,3,4	2	AL	ZIELORT	1	YES	EXPLICIT_TARGET_ARGUMENTS_PRESENT	CROSS_REGISTER	NO	Wähle das zuvor Genannte und bearbeite es.	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED
G506-C005	G505-T02	G498-M294	S+CHD+Y	CELESTIAL	S+CHD	EXPLICIT_TARGET_ARGUMENTS	Y	G505-C46	G407-E3749	BIOLOGICAL	S+OL+CHD+Y	EXPLICIT_ARGUMENTS	Y	NONE	YES	1,3,4	2	OL	FORTSETZEN	1	YES	EXPLICIT_TARGET_ARGUMENTS_PRESENT	CROSS_REGISTER	NO	Wähle das zuvor Genannte und bearbeite es.	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED
G506-C006	G505-T03	G498-M269	P+CH+E+Y	CELESTIAL	P+CH	EXPLICIT_TARGET_ARGUMENTS	Y	G505-C48	G407-E3846	PHARMA	P+CH+E+O+L+Y	EXPLICIT_ARGUMENTS	Y	NONE	YES	1,2,3,6	4,5	O+L	AUSFÜHRUNG · VERBINDUNG	2	YES	EXPLICIT_TARGET_ARGUMENTS_PRESENT	CROSS_REGISTER	YES	Setze das zuvor Genannte ein und nimm es.	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED
G506-C007	G505-T04	G498-M295	S+CHD+Y	PHARMA	S+CHD	EXPLICIT_TARGET_ARGUMENTS	Y	G505-C33	G407-E1883	BIOLOGICAL	S+OL+CHD+Y	EXPLICIT_ARGUMENTS	Y	NONE	YES	1,3,4	2	OL	FORTSETZEN	1	YES	EXPLICIT_TARGET_ARGUMENTS_PRESENT	CROSS_REGISTER	NO	Wähle das zuvor Genannte und bearbeite es.	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED
G506-C008	G505-T04	G498-M295	S+CHD+Y	PHARMA	S+CHD	EXPLICIT_TARGET_ARGUMENTS	Y	G505-C38	G407-E2549	BIOLOGICAL	S+OL+CHD+Y	EXPLICIT_ARGUMENTS	Y	NONE	YES	1,3,4	2	OL	FORTSETZEN	1	YES	EXPLICIT_TARGET_ARGUMENTS_PRESENT	CROSS_REGISTER	NO	Wähle das zuvor Genannte und bearbeite es.	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED
G506-C009	G505-T04	G498-M295	S+CHD+Y	PHARMA	S+CHD	EXPLICIT_TARGET_ARGUMENTS	Y	G505-C45	G407-E3697	BIOLOGICAL	S+AL+CHD+Y	EXPLICIT_ARGUMENTS	Y	NONE	YES	1,3,4	2	AL	ZIELORT	1	YES	EXPLICIT_TARGET_ARGUMENTS_PRESENT	CROSS_REGISTER	NO	Wähle das zuvor Genannte und bearbeite es.	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED
G506-C010	G505-T04	G498-M295	S+CHD+Y	PHARMA	S+CHD	EXPLICIT_TARGET_ARGUMENTS	Y	G505-C46	G407-E3749	BIOLOGICAL	S+OL+CHD+Y	EXPLICIT_ARGUMENTS	Y	NONE	YES	1,3,4	2	OL	FORTSETZEN	1	YES	EXPLICIT_TARGET_ARGUMENTS_PRESENT	CROSS_REGISTER	NO	Wähle das zuvor Genannte und bearbeite es.	NO	NO	FRAME_COMPATIBILITY_RANK_ONLY__OPEN_CONTEXTUAL_TARGETS_RETAINED_NOT_REJECTED
