n	statement_id	page	record	case_id	start_position	start_event	card_sequence	surface_sequence	command_sequence_de
2	H1-S001	f10r	H1	C1	8	E008	PROC008|PROC009	oky daiin	ANSETZEN · ARBEITSPOSTEN → SOLLMASS
2	H2-S001	f10r	H2	C2	7	E021	PROC019|PROC009	chy taiin	ARBEITSPOSTEN → SOLLMASS
2	H2-S001	f10r	H2	C2	8	E022	PROC009|PROC019	taiin shy	SOLLMASS → ARBEITSPOSTEN
3	H2-S001	f10r	H2	C2	7	E021	PROC019|PROC009|PROC019	chy taiin shy	ARBEITSPOSTEN → SOLLMASS → ARBEITSPOSTEN
2	H2-S002	f10r	H2	C2	5	E028	PROC022|PROC013	cholor chol	FORTSETZEN · ANSATZ → FORTSETZEN
2	H2-S002	f10r	H2	C2	6	E029	PROC013|PROC009	chol daiin	FORTSETZEN → SOLLMASS
2	H2-S003	f10r	H2	C2	3	E034	PROC016|PROC019	chor chy	ANSATZ → ARBEITSPOSTEN
2	H3-S003	f11r	H3	C3	4	E050	PROC019|PROC009	dy daiin	ARBEITSPOSTEN → SOLLMASS
2	H4-S004	f55v	H4	C4	4	E071	PROC016|PROC019	or y	ANSATZ → ARBEITSPOSTEN
2	B1-S002	f81v	B1	C1	7	E108	PROC070|PROC055	olkain al	FORTSETZEN · ZUDOSIEREN · PORTION → ZIELSTELLE
2	B1-S002	f81v	B1	C1	8	E109	PROC055|PROC013	al ol	ZIELSTELLE → FORTSETZEN
2	B1-S002	f81v	B1	C1	12	E113	PROC022|PROC013	olor ol	FORTSETZEN · ANSATZ → FORTSETZEN
2	B1-S004	f81v	B1	C1	1	E123	PROC042|PROC013	chedy ol	UMSETZEN · ARBEITSPOSTEN → FORTSETZEN
2	B1-S004	f81v	B1	C1	2	E124	PROC013|PROC078	ol shedy	FORTSETZEN → ABSETZEN; SCHLUSS
2	B1-S008	f81v	B1	C1	4	E135	PROC013|PROC078	ol shedy	FORTSETZEN → ABSETZEN; SCHLUSS
2	B1-S016	f81v	B1	C1	3	E154	PROC013|PROC078	qol cheedy	FORTSETZEN → ABSETZEN; SCHLUSS
2	B2-S010	f82r	B2	C2	1	E194	PROC092|PROC008	qokeey qoky	ANSETZEN · LANG · ARBEITSPOSTEN → ANSETZEN · ARBEITSPOSTEN
2	B2-S012	f82r	B2	C2	6	E207	PROC009|PROC019	daiin chey	SOLLMASS → ARBEITSPOSTEN
2	B3-S003	f83r	B3	C3	1	E232	PROC019|PROC009	chey daiin	ARBEITSPOSTEN → SOLLMASS
2	B3-S003	f83r	B3	C3	2	E233	PROC009|PROC019	daiin chey	SOLLMASS → ARBEITSPOSTEN
3	B3-S003	f83r	B3	C3	1	E232	PROC019|PROC009|PROC019	chey daiin chey	ARBEITSPOSTEN → SOLLMASS → ARBEITSPOSTEN
2	B3-S007	f83r	B3	C3	2	E244	PROC042|PROC100	chedy qokeedy	UMSETZEN · ARBEITSPOSTEN → ANSETZEN · LANG; SCHLUSS
2	B3-S021	f83r	B3	C3	4	E273	PROC019|PROC009	sy saiin	ARBEITSPOSTEN → SOLLMASS
2	B3-S028	f83r	B3	C3	1	E293	PROC092|PROC067	qokeey qokedy	ANSETZEN · LANG · ARBEITSPOSTEN → ANSETZEN · KURZ; SCHLUSS
2	B3-S030	f83r	B3	C3	1	E298	PROC008|PROC009	qoky saiin	ANSETZEN · ARBEITSPOSTEN → SOLLMASS
2	B4-S002	f83r	B4	C4	2	E317	PROC092|PROC067	qokeey qokedy	ANSETZEN · LANG · ARBEITSPOSTEN → ANSETZEN · KURZ; SCHLUSS
2	B4-S003	f83r	B4	C4	4	E322	PROC092|PROC008	qokeey qoky	ANSETZEN · LANG · ARBEITSPOSTEN → ANSETZEN · ARBEITSPOSTEN
2	B4-S003	f83r	B4	C4	6	E324	PROC013|PROC078	tol shedy	FORTSETZEN → ABSETZEN; SCHLUSS
2	B4-S005	f83r	B4	C4	2	E328	PROC042|PROC100	chedy qokeedy	UMSETZEN · ARBEITSPOSTEN → ANSETZEN · LANG; SCHLUSS
2	B4-S011	f83r	B4	C4	5	E342	PROC042|PROC013	chdy sol	UMSETZEN · ARBEITSPOSTEN → FORTSETZEN
2	B4-S014	f83r	B4	C4	1	E348	PROC016|PROC019	or chey	ANSATZ → ARBEITSPOSTEN
2	B4-S016	f83r	B4	C4	1	E358	PROC070|PROC055	qolkain dal	FORTSETZEN · ZUDOSIEREN · PORTION → ZIELSTELLE
2	B5-S003	f83r	B5	C5	2	E365	PROC055|PROC013	dal cheol	ZIELSTELLE → FORTSETZEN
2	B5-S003	f83r	B5	C5	6	E369	PROC009|PROC013	aiin sol	SOLLMASS → FORTSETZEN
2	B6-S001	f83r	B6	C6	4	E376	PROC013|PROC009	ol daiin	FORTSETZEN → SOLLMASS
2	B6-S001	f83r	B6	C6	5	E377	PROC009|PROC013	daiin ol	SOLLMASS → FORTSETZEN
