construction_id	n	card_sequence	command_sequence_de	occurrences	statements	records	pages	cases	statement_ids	record_ids	page_ids	case_ids	surface_realizations	construction_status	short_workshop_reading_de	source_only
SRC2_PROC013_PROC078	2	PROC013|PROC078	FORTSETZEN → ABSETZEN; SCHLUSS	4	4	2	2	2	B1-S004|B1-S008|B1-S016|B4-S003	B1|B4	f81v|f83r	C1|C4	ol shedy || qol cheedy || tol shedy	PORTABLE_SOURCE_CONSTRUCTION	FORTSETZEN → ABSETZEN; SCHLUSS	YES
SRC2_PROC019_PROC009	2	PROC019|PROC009	ARBEITSPOSTEN → SOLLMASS	4	4	3	3	2	B3-S003|B3-S021|H2-S001|H3-S003	B3|H2|H3	f10r|f11r|f83r	C2|C3	chey daiin || chy taiin || dy daiin || sy saiin	PORTABLE_SOURCE_CONSTRUCTION	ARBEITSPOSTEN → SOLLMASS	YES
SRC2_PROC009_PROC019	2	PROC009|PROC019	SOLLMASS → ARBEITSPOSTEN	3	3	3	3	2	B2-S012|B3-S003|H2-S001	B2|B3|H2	f10r|f82r|f83r	C2|C3	daiin chey || taiin shy	PORTABLE_SOURCE_CONSTRUCTION	SOLLMASS → ARBEITSPOSTEN	YES
SRC2_PROC016_PROC019	2	PROC016|PROC019	ANSATZ → ARBEITSPOSTEN	3	3	3	3	2	B4-S014|H2-S003|H4-S004	B4|H2|H4	f10r|f55v|f83r	C2|C4	chor chy || or chey || or y	PORTABLE_SOURCE_CONSTRUCTION	ANSATZ → ARBEITSPOSTEN	YES
SRC2_PROC008_PROC009	2	PROC008|PROC009	ANSETZEN · ARBEITSPOSTEN → SOLLMASS	2	2	2	2	2	B3-S030|H1-S001	B3|H1	f10r|f83r	C1|C3	oky daiin || qoky saiin	PORTABLE_SOURCE_CONSTRUCTION	ANSETZEN · ARBEITSPOSTEN → SOLLMASS	YES
SRC2_PROC009_PROC013	2	PROC009|PROC013	SOLLMASS → FORTSETZEN	2	2	2	1	2	B5-S003|B6-S001	B5|B6	f83r	C5|C6	aiin sol || daiin ol	PORTABLE_SOURCE_CONSTRUCTION	SOLLMASS → FORTSETZEN	YES
SRC2_PROC013_PROC009	2	PROC013|PROC009	FORTSETZEN → SOLLMASS	2	2	2	2	2	B6-S001|H2-S002	B6|H2	f10r|f83r	C2|C6	chol daiin || ol daiin	PORTABLE_SOURCE_CONSTRUCTION	FORTSETZEN → SOLLMASS	YES
SRC2_PROC022_PROC013	2	PROC022|PROC013	FORTSETZEN · ANSATZ → FORTSETZEN	2	2	2	2	2	B1-S002|H2-S002	B1|H2	f10r|f81v	C1|C2	cholor chol || olor ol	PORTABLE_SOURCE_CONSTRUCTION	FORTSETZEN · ANSATZ → FORTSETZEN	YES
SRC2_PROC042_PROC013	2	PROC042|PROC013	UMSETZEN · ARBEITSPOSTEN → FORTSETZEN	2	2	2	2	2	B1-S004|B4-S011	B1|B4	f81v|f83r	C1|C4	chdy sol || chedy ol	PORTABLE_SOURCE_CONSTRUCTION	UMSETZEN · ARBEITSPOSTEN → FORTSETZEN	YES
SRC2_PROC042_PROC100	2	PROC042|PROC100	UMSETZEN · ARBEITSPOSTEN → ANSETZEN · LANG; SCHLUSS	2	2	2	1	2	B3-S007|B4-S005	B3|B4	f83r	C3|C4	chedy qokeedy	PORTABLE_SOURCE_CONSTRUCTION	UMSETZEN · ARBEITSPOSTEN → ANSETZEN · LANG; SCHLUSS	YES
SRC2_PROC055_PROC013	2	PROC055|PROC013	ZIELSTELLE → FORTSETZEN	2	2	2	2	2	B1-S002|B5-S003	B1|B5	f81v|f83r	C1|C5	al ol || dal cheol	PORTABLE_SOURCE_CONSTRUCTION	ZIELSTELLE → FORTSETZEN	YES
SRC2_PROC070_PROC055	2	PROC070|PROC055	FORTSETZEN · ZUDOSIEREN · PORTION → ZIELSTELLE	2	2	2	2	2	B1-S002|B4-S016	B1|B4	f81v|f83r	C1|C4	olkain al || qolkain dal	PORTABLE_SOURCE_CONSTRUCTION	FORTSETZEN · ZUDOSIEREN · PORTION → ZIELSTELLE	YES
SRC2_PROC092_PROC008	2	PROC092|PROC008	ANSETZEN · LANG · ARBEITSPOSTEN → ANSETZEN · ARBEITSPOSTEN	2	2	2	2	2	B2-S010|B4-S003	B2|B4	f82r|f83r	C2|C4	qokeey qoky	PORTABLE_SOURCE_CONSTRUCTION	ANSETZEN · LANG · ARBEITSPOSTEN → ANSETZEN · ARBEITSPOSTEN	YES
SRC2_PROC092_PROC067	2	PROC092|PROC067	ANSETZEN · LANG · ARBEITSPOSTEN → ANSETZEN · KURZ; SCHLUSS	2	2	2	1	2	B3-S028|B4-S002	B3|B4	f83r	C3|C4	qokeey qokedy	PORTABLE_SOURCE_CONSTRUCTION	ANSETZEN · LANG · ARBEITSPOSTEN → ANSETZEN · KURZ; SCHLUSS	YES
SRC3_PROC019_PROC009_PROC019	3	PROC019|PROC009|PROC019	ARBEITSPOSTEN → SOLLMASS → ARBEITSPOSTEN	2	2	2	2	2	B3-S003|H2-S001	B3|H2	f10r|f83r	C2|C3	chey daiin chey || chy taiin shy	PORTABLE_SOURCE_CONSTRUCTION	ARBEITSPOSTEN → SOLLMASS → ARBEITSPOSTEN	YES
