statement_id	page	record	case_id	event_count	surface_sequence	card_sequence	recurrent_bigram_instances	recurrent_trigram_instances	recurrent_source_constructions
B1-S001	f81v	B1	C1	1	qokedy	PROC067	0	0	NONE
B1-S002	f81v	B1	C1	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	PROC038|PROC068|PROC048|PROC003|PROC013|PROC069|PROC070|PROC055|PROC013|PROC071|PROC072|PROC022|PROC013|PROC073|PROC009|PROC074|PROC009|PROC075|PROC076	3	0	PROC022|PROC013 || PROC055|PROC013 || PROC070|PROC055
B1-S003	f81v	B1	C1	2	qol sshkchdy	PROC013|PROC077	0	0	NONE
B1-S004	f81v	B1	C1	3	chedy ol shedy	PROC042|PROC013|PROC078	2	0	PROC013|PROC078 || PROC042|PROC013
B1-S005	f81v	B1	C1	1	qolchedy	PROC079	0	0	NONE
B1-S006	f81v	B1	C1	4	qokain shckhy dl ral	PROC080|PROC075|PROC072|PROC081	0	0	NONE
B1-S007	f81v	B1	C1	1	qokchdy	PROC082	0	0	NONE
B1-S008	f81v	B1	C1	5	chey ol cheky ol shedy	PROC019|PROC013|PROC083|PROC013|PROC078	1	0	PROC013|PROC078
B1-S009	f81v	B1	C1	1	qokedy	PROC067	0	0	NONE
B1-S010	f81v	B1	C1	1	qokedy	PROC067	0	0	NONE
B1-S011	f81v	B1	C1	2	chckhy qoky	PROC075|PROC008	0	0	NONE
B1-S012	f81v	B1	C1	3	lsho qokey lshedy	PROC084|PROC085|PROC086	0	0	NONE
B1-S013	f81v	B1	C1	1	lshedy	PROC086	0	0	NONE
B1-S014	f81v	B1	C1	5	chedy qolky lchedal qol otar	PROC042|PROC087|PROC088|PROC013|PROC089	0	0	NONE
B1-S015	f81v	B1	C1	2	ytey okchedy	PROC090|PROC091	0	0	NONE
B1-S016	f81v	B1	C1	4	qokal okeey qol cheedy	PROC048|PROC092|PROC013|PROC078	1	0	PROC013|PROC078
B1-S017	f81v	B1	C1	3	sal teol dchdy	PROC055|PROC093|PROC094	0	0	NONE
B1-S018	f81v	B1	C1	4	ly dsheol oiiin olkeedy	PROC095|PROC096|PROC097|PROC098	0	0	NONE
B1-S019	f81v	B1	C1	1	tedy	PROC078	0	0	NONE
B1-S020	f81v	B1	C1	2	cheky shckhedy	PROC083|PROC099	0	0	NONE
B1-S021	f81v	B1	C1	1	chal	PROC055	0	0	NONE
B2-S001	f82r	B2	C2	1	dchedy	PROC076	0	0	NONE
B2-S002	f82r	B2	C2	1	qolchedy	PROC079	0	0	NONE
B2-S003	f82r	B2	C2	3	qokain dy qokeedy	PROC080|PROC019|PROC100	0	0	NONE
B2-S004	f82r	B2	C2	5	qokal lcheckhy lched qokeey lcheckhedy	PROC048|PROC101|PROC102|PROC092|PROC103	0	0	NONE
B2-S005	f82r	B2	C2	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	PROC104|PROC105|PROC075|PROC038|PROC038|PROC106|PROC107|PROC108	0	0	NONE
B2-S006	f82r	B2	C2	4	oteey qokal sheckhy qoky	PROC109|PROC048|PROC110|PROC008	0	0	NONE
B2-S007	f82r	B2	C2	1	dshedy	PROC111	0	0	NONE
B2-S008	f82r	B2	C2	3	sotaiin qokar shedy	PROC112|PROC113|PROC078	0	0	NONE
B2-S009	f82r	B2	C2	1	solshedy	PROC114	0	0	NONE
B2-S010	f82r	B2	C2	4	qokeey qoky ls cheey	PROC092|PROC008|PROC115|PROC031	1	0	PROC092|PROC008
B2-S011	f82r	B2	C2	4	okain char okain qokeedy	PROC080|PROC003|PROC080|PROC100	0	0	NONE
B2-S012	f82r	B2	C2	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	PROC116|PROC031|PROC117|PROC092|PROC118|PROC009|PROC019|PROC119	1	0	PROC009|PROC019
B2-S013	f82r	B2	C2	1	lchedy	PROC120	0	0	NONE
B2-S014	f82r	B2	C2	1	lar	PROC121	0	0	NONE
B2-S015	f82r	B2	C2	2	tshey qokeedy	PROC122|PROC100	0	0	NONE
B2-S016	f82r	B2	C2	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	PROC055|PROC123|PROC124|PROC009|PROC109|PROC038|PROC085|PROC125	0	0	NONE
B2-S017	f82r	B2	C2	2	rsheal daldy	PROC126|PROC127	0	0	NONE
B2-S018	f82r	B2	C2	1	qokeedy	PROC100	0	0	NONE
B2-S019	f82r	B2	C2	1	rshedy	PROC128	0	0	NONE
B2-S020	f82r	B2	C2	1	qoteedy	PROC129	0	0	NONE
B2-S021	f82r	B2	C2	1	qokeedy	PROC100	0	0	NONE
B2-S022	f82r	B2	C2	1	lochedy	PROC130	0	0	NONE
B3-S001	f83r	B3	C3	1	olkeedy	PROC098	0	0	NONE
B3-S002	f83r	B3	C3	2	qotal chkeedy	PROC131|PROC132	0	0	NONE
B3-S003	f83r	B3	C3	4	chey daiin chey lchedy	PROC019|PROC009|PROC019|PROC120	2	1	PROC009|PROC019 || PROC019|PROC009 || PROC019|PROC009|PROC019
B3-S004	f83r	B3	C3	3	qokaiin qotal dar	PROC038|PROC131|PROC003	0	0	NONE
B3-S005	f83r	B3	C3	1	schedy	PROC076	0	0	NONE
B3-S006	f83r	B3	C3	3	chedchy qokal olchedy	PROC133|PROC048|PROC079	0	0	NONE
B3-S007	f83r	B3	C3	3	qokaiin chedy qokeedy	PROC038|PROC042|PROC100	1	0	PROC042|PROC100
B3-S008	f83r	B3	C3	1	lchedy	PROC120	0	0	NONE
B3-S009	f83r	B3	C3	1	qoky	PROC008	0	0	NONE
B3-S010	f83r	B3	C3	2	pchedal otedy	PROC134|PROC135	0	0	NONE
