occurrence_ordinal	surface	event_id	statement_id	card_ordinal_in_statement	physical_page	register	final_recipe	explicit_action_roots	incoming_action_root	incoming_action_source_event_id	incoming_action_distance_cards	explicit_argument_roots	incoming_argument_root	incoming_argument_source_event_id	incoming_argument_distance_cards	known_occurrence_requirement	known_clause_needs_active_action	known_clause_needs_active_argument	future_action_contract	future_argument_contract	resolved_action_root	resolved_argument_root	neutral_surface_phrase_de	known_contextual_clause_de	exact_recipe_roundtrip	guard
1	kodalchy	G515-E0001	G515-S001	1	f4r	HERBAL	K+O+D_ADDR+AL+CH+Y	K|CH	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	CH	Y	Den Posten geben und nehmen; zur Ausführung; hier; am Zielort.	Gib den Pflanzenposten zu und nimm den Pflanzenposten; zur Zielstelle; zur Ausführung; an der bezeichneten Stelle.	K+O+D_ADDR+AL+CH+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
2	chpady	G515-E0002	G515-S001	2	f4r	HERBAL	CH+P+A_ADDR+DY	CH|P	NONE	NONE	NONE	NONE	Y	G515-E0001	1	REQUIRES_ACTIVE_ARGUMENT	NO	YES	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	P	Y	Nehmen und einsetzen; hier; abschließen.	Nimm den Pflanzenposten [wie zuvor] und setze den Pflanzenposten [wie zuvor] ein; an der bezeichneten Stelle; schließe den Schritt.	CH+P+A_ADDR+DY	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
3	ytoy	G515-E0009	G515-S002	7	f4r	HERBAL	Y+T+O+Y	T	NONE	NONE	NONE	Y|Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	T	Y	Beide Posten einstellen; zur Ausführung.	Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein; zur Ausführung.	Y+T+O+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
4	shtchy	G515-E0014	G515-S002	12	f4r	HERBAL	SH+T+CH+Y	SH|T|CH	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	CH	Y	Den Posten halten, einstellen und nehmen.	Halte den Pflanzenposten, stelle den Pflanzenposten ein und nimm den Pflanzenposten.	SH+T+CH+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
5	choraiin	G515-E0017	G515-S002	15	f4r	HERBAL	CH+OR+AIIN	CH	NONE	NONE	NONE	OR|AIIN	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	CH	AIIN	Die Einheit und den Wert nehmen.	Nimm die Arbeitseinheit und den Arbeitswert.	CH+OR+AIIN	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
6	shain	G515-E0025	G515-S002	23	f4r	HERBAL	SH+AIN	SH	NONE	NONE	NONE	AIN	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	SH	AIN	Den Anteil halten.	Halte den Materialanteil.	SH+AIN	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
7	pydaiin	G515-E0032	G515-S003	1	f4r	HERBAL	P+Y+D_ADDR+AIIN	P	NONE	NONE	NONE	Y|AIIN	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	P	AIIN	Den Posten und den Wert einsetzen; hier.	Setze den Pflanzenposten und den Arbeitswert ein; an der bezeichneten Stelle.	P+Y+D_ADDR+AIIN	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
8	tydy	G515-E0035	G515-S003	4	f4r	HERBAL	T+Y+DY	T	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	T	Y	Den Posten einstellen; abschließen.	Stelle den Pflanzenposten ein; schließe den Schritt.	T+Y+DY	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
9	shytchy	G515-E0037	G515-S004	2	f4r	HERBAL	SH+Y+T+CH+Y	SH|T|CH	NONE	NONE	NONE	Y|Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	CH	Y	Beide Posten halten, einstellen und nehmen.	Halte den Pflanzenposten [außen] und den Pflanzenposten [innen], stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein und nimm den Pflanzenposten [außen] und den Pflanzenposten [innen].	SH+Y+T+CH+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
10	dytcheey	G515-E0038	G515-S004	3	f4r	HERBAL	D_ADDR+Y+T+CH+EE+Y	T|CH	NONE	NONE	NONE	Y|Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	CH	Y	Hier; beide Posten einstellen und nehmen; auf Grad II.	Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein und nimm den Pflanzenposten [außen] und den Pflanzenposten [innen]; auf Grad II; an der bezeichneten Stelle.	D_ADDR+Y+T+CH+EE+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
