metric	value	interpretation_de
target_occurrence_count	149	vollständig klassifizierte Prosavorkommen
target_surface_count	145	Oberflächen mit Intake-Vertrag
target_statement_count	49	berührte Aussagen
occurrence_self_contained	92	bekannte Vorkommen in dieser exakten Kontextklasse
occurrence_requires_active_argument	41	bekannte Vorkommen in dieser exakten Kontextklasse
occurrence_requires_active_action	5	bekannte Vorkommen in dieser exakten Kontextklasse
occurrence_requires_active_action_and_argument	11	bekannte Vorkommen in dieser exakten Kontextklasse
surface_self_contained_only	88	nur selbständig beobachtet
surface_active_argument_only	40	nur mit aktivem Argument beobachtet
surface_active_action_only	5	nur mit aktiver Handlung beobachtet
surface_both_active_only	11	nur mit beiden Zuständen beobachtet
surface_mixed_mode	1	mindestens zwei beobachtete Kontextmodi
repeated_surface_count	3	Oberflächen mit mehr als einem Vorkommen
repeated_consistent_surface_count	2	wiederholt mit gleichem Modus
repeated_context_switch_surface_count	1	wiederholt mit Kontextwechsel
max_action_source_distance_cards	3	größter Rückgriff auf eine sichtbare Handlung
max_argument_source_distance_cards	3	größter Rückgriff auf ein sichtbares Argument
same_statement_source_count	68	alle Kontextquellen bleiben im selben Satz
future_rule_surface_coverage	145	jede Oberfläche besitzt Handlung- und Argumentregel
