surface_ordinal	surface	final_recipe	event_count	physical_pages	event_ids	observed_requirement_modes	observed_mode_count	self_contained_occurrence_count	active_action_occurrence_count	active_argument_occurrence_count	both_active_occurrence_count	surface_evidence_class	visible_action_roots	visible_argument_roots	observed_incoming_action_roots	observed_incoming_argument_roots	max_action_source_distance_cards	max_argument_source_distance_cards	future_action_contract	future_argument_contract	minimum_future_state_for_verbal_clause	new_page_intake_de	neutral_surface_phrase_de	known_contextual_readings_de	guard
1	aiicthy	AIIN+CH+T+Y	1	f31r	G515-E0253	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH|T	AIIN|Y	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Sichtbare Handlung und sichtbares Argument lesen.	Den Wert und den Posten nehmen und einstellen.	Nimm den Arbeitswert und den Pflanzenposten und stelle den Arbeitswert und den Pflanzenposten ein.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
2	akar	A_ADDR+K+AR	1	f66r	G515-E0411	REQUIRES_ACTIVE_ARGUMENT	1	0	0	1	0	SINGLETON_ONE_OBSERVED_MODE	K	NONE	NONE	OR	NONE	1	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Hier; geben; vom Ausgang.	Ordne die Eintragseinheit [wie zuvor] zu; von der Ausgangszeile; an der bezeichneten Stelle.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
3	alkey	AL+K+E+Y	1	f66r	G515-E0537	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	K	Y	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Sichtbare Handlung und sichtbares Argument lesen.	Am Zielort; den Posten geben; auf Grad I.	Ordne den laufenden Eintrag zu; zur Zielspalte; auf Grad I.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
4	axor	A_ADDR+LOCAL_X+OR	1	f66r	G515-E0410	REQUIRES_ACTIVE_ACTION	1	0	1	0	0	SINGLETON_ONE_OBSERVED_MODE	NONE	OR	K	NONE	1	NONE	USE_SAME_STATEMENT_ACTIVE_ACTION__ELSE_RENDER_NONVERBAL_FRAGMENT	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	ACTIVE_ACTION	Laufende Satzhandlung einsetzen; sichtbares Argument lesen; ohne laufende Handlung nur als Fragment ausgeben.	Hier; mit lokalem X-Zeichen-/Namenskern; Einheit.	Im laufenden Satz ordne die Eintragseinheit zu; an der bezeichneten Stelle und mit dem lokalen X-Zeichen-/Namenskern.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
5	chady	CH+A_ADDR+DY	1	f66r	G515-E0319	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH	NONE	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen; hier; abschließen.	Entnimm; an der bezeichneten Stelle; schließe den Schritt.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
6	chap	CH+A_ADDR+P	1	f66r	G515-E0303	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH|P	NONE	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen und einsetzen; hier.	Entnimm und setze ein; an der bezeichneten Stelle.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
7	chckhedy	CH+CH+K+E+DY	1	f66r	G515-E0516	REQUIRES_ACTIVE_ARGUMENT	1	0	0	1	0	SINGLETON_ONE_OBSERVED_MODE	CH|CH|K	NONE	NONE	Y	NONE	1	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen, erneut nehmen und geben; auf Grad I; abschließen.	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I; schließe den Schritt.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
8	chcpheor	CH+CH+P+E+OR	1	f66r	G515-E0333	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH|CH|P	OR	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Sichtbare Handlung und sichtbares Argument lesen.	Die Einheit nehmen, erneut nehmen und einsetzen; auf Grad I.	Entnimm die Eintragseinheit, entnimm die Eintragseinheit und setze die Eintragseinheit ein; auf Grad I.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
9	chctho	CH+CH+T+O	1	f66r	G515-E0353	REQUIRES_ACTIVE_ARGUMENT	1	0	0	1	0	SINGLETON_ONE_OBSERVED_MODE	CH|CH|T	NONE	NONE	Y	NONE	1	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen, erneut nehmen und einstellen; zur Ausführung.	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; zur Ausführung.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
10	cheda	CHD+A_ADDR	1	f31r	G515-E0192	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CHD	NONE	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Bearbeiten; hier.	Bearbeite; an der bezeichneten Stelle.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
