instruction_id	clause_id	physical_page	register	instruction_order	phase	start_event	end_event	event_count	minimal_verb_sequence	current_fluent_de
P917-I0001	P915-C001	f10r	HERBAL	1	PREPARE	P912-E0001	P912-E0001	1	P>CH>O>CTH	Diesen Posten einsetzen, entnehmen, ausführen und bereitstellen.
P917-I0002	P915-C001	f10r	HERBAL	2	CONDITION	P912-E0002	P912-E0002	1	SH	Den Ansatz halten.
P917-I0003	P915-C001	f10r	HERBAL	3	EXECUTE	P912-E0003	P912-E0003	1	O>CTH>O	Aus diesem Teil diesen Posten ausführen, bereitstellen und ausführen.
P917-I0004	P915-C001	f10r	HERBAL	4	SELECT	P912-E0004	P912-E0004	1	CH>CH	Den Ansatz und diesen Posten entnehmen.
P917-I0005	P915-C001	f10r	HERBAL	5	PREPARE	P912-E0005	P912-E0005	1	P>CH>O	Weiter aus diesem Teil einsetzen, entnehmen und ausführen.
P917-I0006	P915-C001	f10r	HERBAL	6	SELECT	P912-E0006	P912-E0006	1	CH>O>P>CH	Entnehmen, ausführen, einsetzen und entnehmen zur Ziel- oder Anschlussstelle.
P917-I0007	P915-C001	f10r	HERBAL	7	PREPARE	P912-E0007	P912-E0007	1	P>CH	Diesen Posten einsetzen und entnehmen.
P917-I0008	P915-C001	f10r	HERBAL	8	PREPARE	P912-E0008	P912-E0008	1	K>O	Zugeben und ausführen mit m-Zeichen.
P917-I0009	P915-C001	f10r	HERBAL	9	SELECT	P912-E0009	P912-E0009	1	CH	Diesen Posten kurz entnehmen.
P917-I0010	P915-C001	f10r	HERBAL	10	CONDITION	P912-E0010	P912-E0010	1	CTH>O	Den Ansatz bereitstellen und ausführen.
P917-I0011	P915-C001	f10r	HERBAL	11	SELECT	P912-E0011	P912-E0012	2	CH>T	Von der Entnahmestelle diesen Posten entnehmen und einstellen.
P917-I0012	P915-C001	f10r	HERBAL	12	SELECT	P912-E0013	P912-E0014	2	CH	Auch entnehmen entlang des Laufs.
P917-I0013	P915-C001	f10r	HERBAL	13	EXECUTE	P912-E0015	P912-E0015	1	T>CH	Danach weiter diesen Posten einstellen und entnehmen.
P917-I0014	P915-C001	f10r	HERBAL	14	PREPARE	P912-E0016	P912-E0016	1	OK	Diesen Posten ansetzen.
P917-I0015	P915-C001	f10r	HERBAL	15	EXECUTE	P912-E0017	P912-E0018	2	T	Nach Sollmaß diesen Posten kurz einstellen.
P917-I0016	P915-C001	f10r	HERBAL	16	EXECUTE	P912-E0019	P912-E0020	2	O	Danach den Ansatz ausführen.
P917-I0017	P915-C001	f10r	HERBAL	17	EXECUTE	P912-E0021	P912-E0021	1	T	Diesen Posten einstellen.
P917-I0018	P915-C001	f10r	HERBAL	18	SELECT	P912-E0022	P912-E0023	2	CH>O>CTH	Nach Sollmaß diesen Posten entnehmen, ausführen und bereitstellen.
P917-I0019	P915-C001	f10r	HERBAL	19	EXECUTE	P912-E0024	P912-E0027	4	T	Danach weiter diesen Posten und den Ansatz einstellen.
P917-I0020	P915-C001	f10r	HERBAL	20	SELECT	P912-E0028	P912-E0030	3	S	Diesen Posten und den Ansatz wählen.
P917-I0021	P915-C001	f10r	HERBAL	21	SELECT	P912-E0031	P912-E0031	1	CH	Nach Sollmaß entnehmen.
P917-I0022	P915-C001	f10r	HERBAL	22	SELECT	P912-E0032	P912-E0032	1	CH>CTH	Diesen Posten entnehmen und bereitstellen.
P917-I0023	P915-C001	f10r	HERBAL	23	CONDITION	P912-E0033	P912-E0033	1	CTH>O	Bereitstellen und ausführen.
P917-I0024	P915-C001	f10r	HERBAL	24	SELECT	P912-E0034	P912-E0037	4	CH>T>CH	Nach Sollmaß diesen Posten und den Ansatz entnehmen, einstellen und entnehmen durch den Durchlass.
P917-I0025	P915-C001	f10r	HERBAL	25	EXECUTE	P912-E0038	P912-E0038	1	O>R	Aus diesem Teil auf der angegebenen Stufe ausführen und kennzeichnen.
P917-I0026	P915-C001	f10r	HERBAL	26	EXECUTE	P912-E0039	P912-E0039	1	O	Ausführen; fertig.
P917-I0027	P915-C002	f10r	HERBAL	1	PREPARE	P912-E0040	P912-E0040	1	OK	Diesen Posten ansetzen.
P917-I0028	P915-C002	f10r	HERBAL	2	SELECT	P912-E0041	P912-E0041	1	CH	Danach weiter entnehmen.
P917-I0029	P915-C002	f10r	HERBAL	3	CONDITION	P912-E0042	P912-E0043	2	CTH	Weiter diesen Posten bereitstellen.
P917-I0030	P915-C002	f10r	HERBAL	4	CONDITION	P912-E0044	P912-E0044	1	R	Diesen Posten und den Auszug kennzeichnen.
P917-I0031	P915-C002	f10r	HERBAL	5	CONDITION	P912-E0045	P912-E0045	1	CTH	Diesen Posten bereitstellen.
P917-I0032	P915-C002	f10r	HERBAL	6	SELECT	P912-E0046	P912-E0046	1	CH	Den Ansatz entnehmen.
P917-I0033	P915-C002	f10r	HERBAL	7	CONDITION	P912-E0047	P912-E0047	1	CTH	Nach Sollmaß bereitstellen.
P917-I0034	P915-C002	f10r	HERBAL	8	EXECUTE	P912-E0048	P912-E0048	1	O>CTH	Weiter diesen Posten ausführen und bereitstellen unter q-Träger.
P917-I0035	P915-C002	f10r	HERBAL	9	EXECUTE	P912-E0049	P912-E0051	3	T	Nach Sollmaß diesen Posten einstellen.
P917-I0036	P915-C002	f10r	HERBAL	10	PREPARE	P912-E0052	P912-E0054	3	OK	Weiter aus diesem Teil diesen Posten ansetzen.
P917-I0037	P915-C002	f10r	HERBAL	11	PREPARE	P912-E0055	P912-E0056	2	K>CH	Nach Sollmaß diesen Posten zugeben und entnehmen.
P917-I0038	P915-C002	f10r	HERBAL	12	EXECUTE	P912-E0057	P912-E0057	1	T	Diesen Posten einstellen.
P917-I0039	P915-C002	f10r	HERBAL	13	CONDITION	P912-E0058	P912-E0059	2	CTH	Nach Sollmaß bereitstellen.
P917-I0040	P915-C002	f10r	HERBAL	14	SELECT	P912-E0060	P912-E0063	4	CH	Danach aus diesem Teil als eine Portion den Ansatz entnehmen entlang des Laufs zur Innenstelle.
P917-I0041	P915-C002	f10r	HERBAL	15	SELECT	P912-E0064	P912-E0064	1	CH	Den Ansatz entnehmen.
P917-I0042	P915-C002	f10r	HERBAL	16	EXECUTE	P912-E0065	P912-E0071	7	O>K>CH	Danach weiter aus diesem Teil von der Entnahmestelle nach Sollmaß den Ansatz und diesen Posten ausführen, zugeben und entnehmen.
P917-I0043	P915-C002	f10r	HERBAL	17	CONDITION	P912-E0072	P912-E0072	1	SH	Den Ansatz halten.
P917-I0044	P915-C002	f10r	HERBAL	18	SELECT	P912-E0073	P912-E0073	1	CH	Den Ansatz entnehmen.
P917-I0045	P915-C002	f10r	HERBAL	19	PREPARE	P912-E0074	P912-E0075	2	K	Von der lokalen Stelle auf der angegebenen Stufe diesen Posten zugeben mit i-Zeichen.
P917-I0046	P915-C002	f10r	HERBAL	20	SELECT	P912-E0076	P912-E0077	2	CH>O	Aus diesem Teil nach Sollmaß diesen Posten entnehmen und ausführen.
P917-I0047	P915-C002	f10r	HERBAL	21	EXECUTE	P912-E0078	P912-E0078	1	O	Danach den Ansatz ausführen.
P917-I0048	P915-C002	f10r	HERBAL	22	TRANSFER	P912-E0079	P912-E0080	2	CFH	Danach den Ansatz und diesen Posten trennen.
P917-I0049	P915-C002	f10r	HERBAL	23	CONDITION	P912-E0081	P912-E0081	1	CTH	Den Ansatz bereitstellen.
P917-I0050	P915-C002	f10r	HERBAL	24	EXECUTE	P912-E0082	P912-E0082	1	O>S	Als eine Portion ausführen und wählen.
P917-I0051	P915-C002	f10r	HERBAL	25	EXECUTE	P912-E0083	P912-E0083	1	T>O	Auf der angegebenen Stufe diesen Posten einstellen und ausführen.
P917-I0052	P915-C002	f10r	HERBAL	26	SELECT	P912-E0084	P912-E0084	1	CH>O>SH	Danach den Ansatz entnehmen, ausführen und halten.
P917-I0053	P915-C002	f10r	HERBAL	27	CONDITION	P912-E0085	P912-E0087	3	CTH	Danach aus diesem Teil diesen Posten und den Ansatz bereitstellen.
P917-I0054	P915-C002	f10r	HERBAL	28	EXECUTE	P912-E0088	P912-E0089	2	O	Danach von der Entnahmestelle aus diesem Teil nach Sollmaß ausführen.
P917-I0055	P915-C002	f10r	HERBAL	29	CONTEXT	P912-E0090	P912-E0092	3	NONE	Danach nach Sollmaß diesen Posten und den Ansatz weiterarbeiten.
P917-I0056	P915-C003	f11r	HERBAL	1	EXECUTE	P912-E0093	P912-E0093	1	T>SH	Weiter einstellen und halten.
P917-I0057	P915-C003	f11r	HERBAL	2	CONDITION	P912-E0094	P912-E0094	1	SH>O	Halten und ausführen zur Ziel- oder Anschlussstelle.
