clause_id	physical_page	register	start_event	end_event	events	instructions	crosses_physical_line	end_reason	phase_run_sequence	phase_runs	verb_counts	source_quantity_inventory	target_path_inventory	grade_inventory	natural_process_summary_de
P915-C001	f10r	HERBAL	P912-E0001	P912-E0039	39	26	YES	LICENSED_DY_CLOSE	PREPAREx1>CONDITIONx1>EXECUTEx1>SELECTx1>PREPAREx1>SELECTx1>PREPAREx2>SELECTx1>CONDITIONx1>SELECTx2>EXECUTEx1>PREPAREx1>EXECUTEx3>SELECTx1>EXECUTEx1>SELECTx3>CONDITIONx1>SELECTx1>EXECUTEx2	19	CH:16;O:12;CTH:6;T:6;P:4;SH:1;K:1;OK:1;S:1;R:1	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß	Ziel- oder Anschlussstelle;Durchlass	kurz	Beim gezeigten Pflanzenmaterial stehen 26 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 16× entnehmen, 12× ausführen, 6× bereitstellen, 6× einstellen, 4× einsetzen, 1× halten. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß. Der Gang führt über Ziel- oder Anschlussstelle, Durchlass. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
P915-C002	f10r	HERBAL	P912-E0040	P912-E0092	53	29	YES	PAGE_END_OPEN	PREPAREx1>SELECTx1>CONDITIONx3>SELECTx1>CONDITIONx1>EXECUTEx2>PREPAREx2>EXECUTEx1>CONDITIONx1>SELECTx2>EXECUTEx1>CONDITIONx1>SELECTx1>PREPAREx1>SELECTx1>EXECUTEx1>TRANSFERx1>CONDITIONx1>EXECUTEx2>SELECTx1>CONDITIONx1>EXECUTEx1>CONTEXTx1	23	CH:9;O:8;CTH:7;T:3;K:3;OK:2;SH:2;R:1;CFH:1;S:1	Entnahmestelle oder bezeichnetes Teil;Ansatz;Auszug;Sollmaß;Portion	NONE	NONE	Beim gezeigten Pflanzenmaterial stehen 29 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 9× entnehmen, 8× ausführen, 7× bereitstellen, 3× einstellen, 3× zugeben, 2× ansetzen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Auszug, Sollmaß, Portion. Der Arbeitsgang bleibt für die folgende Klausel oder Seite offen.
P915-C003	f11r	HERBAL	P912-E0093	P912-E0099	7	7	NO	LICENSED_DY_CLOSE	EXECUTEx1>CONDITIONx1>TRANSFERx1>CONDITIONx1>TRANSFERx1>CONDITIONx1>EXECUTEx1	7	SH:4;T:2;O:2;CFH:1;CPH:1;CH:1	Sollmaß	Ziel- oder Anschlussstelle	kurz	Beim gezeigten Pflanzenmaterial stehen 7 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 4× halten, 2× einstellen, 2× ausführen, 1× trennen, 1× umleiten, 1× entnehmen. Als Einsatzgrößen erscheinen Sollmaß. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
P915-C004	f11r	HERBAL	P912-E0100	P912-E0151	52	29	YES	PAGE_END_OPEN	EXECUTEx3>PREPAREx1>EXECUTEx2>PREPAREx1>CONDITIONx1>PREPAREx1>SELECTx2>EXECUTEx1>PREPAREx1>EXECUTEx1>CONDITIONx2>PREPAREx1>CONDITIONx1>SELECTx1>EXECUTEx1>SELECTx2>PREPAREx1>SELECTx1>CONDITIONx1>SELECTx1>PREPAREx1>CONDITIONx1>CONTEXTx1	23	O:8;CH:7;K:6;CTH:5;SH:4;T:4;S:3;OK:2	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß;Portion	weiterer Lauf	NONE	Beim gezeigten Pflanzenmaterial stehen 29 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 8× ausführen, 7× entnehmen, 6× zugeben, 5× bereitstellen, 4× halten, 4× einstellen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß, Portion. Der Gang führt über weiterer Lauf. Der Arbeitsgang bleibt für die folgende Klausel oder Seite offen.
P915-C005	f13r	HERBAL	P912-E0152	P912-E0193	42	30	YES	LICENSED_DY_CLOSE	EXECUTEx2>CONDITIONx1>EXECUTEx1>CONDITIONx1>EXECUTEx1>PREPAREx1>SELECTx1>CONDITIONx1>PREPAREx1>SELECTx3>CONDITIONx1>EXECUTEx1>PREPAREx1>SELECTx1>EXECUTEx1>PREPAREx2>EXECUTEx2>SELECTx1>EXECUTEx2>PREPAREx2>EXECUTEx1>SELECTx1>TRANSFERx1	23	O:8;SH:6;P:6;CH:6;K:6;T:4;S:3;CFH:1	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß	Ziel- oder Anschlussstelle	vollständig	Beim gezeigten Pflanzenmaterial stehen 30 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 8× ausführen, 6× halten, 6× einsetzen, 6× entnehmen, 6× zugeben, 4× einstellen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind vollständig. Danach wird der Arbeitsschritt geschlossen.
P915-C006	f13r	HERBAL	P912-E0194	P912-E0209	16	8	YES	LICENSED_DY_CLOSE	EXECUTEx1>SELECTx1>PREPAREx2>EXECUTEx1>PREPAREx1>EXECUTEx1>CONTEXTx1	7	CH:3;OK:3;O:2;T:1	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß	Durchlass	NONE	Beim gezeigten Pflanzenmaterial stehen 8 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× entnehmen, 3× ansetzen, 2× ausführen, 1× einstellen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß. Der Gang führt über Durchlass. Danach wird der Arbeitsschritt geschlossen.
P915-C007	f13r	HERBAL	P912-E0210	P912-E0219	10	8	YES	LICENSED_DY_CLOSE	PREPAREx1>EXECUTEx1>PREPAREx1>EXECUTEx1>PREPAREx1>SELECTx1>PREPAREx1>CONTEXTx1	8	OK:3;CH:1;O:1;T:1;K:1;S:1	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß	NONE	NONE	Beim gezeigten Pflanzenmaterial stehen 8 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× ansetzen, 1× entnehmen, 1× ausführen, 1× einstellen, 1× zugeben, 1× auswählen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß. Danach wird der Arbeitsschritt geschlossen.
P915-C008	f13r	HERBAL	P912-E0220	P912-E0225	6	5	NO	LICENSED_DY_CLOSE	CONDITIONx1>EXECUTEx1>PREPAREx2>CONTEXTx1	4	SH:1;O:1;K:1;OK:1;CH:1	Entnahmestelle oder bezeichnetes Teil	Ziel- oder Anschlussstelle	kurz	Beim gezeigten Pflanzenmaterial stehen 5 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× halten, 1× ausführen, 1× zugeben, 1× ansetzen, 1× entnehmen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
P915-C009	f13r	HERBAL	P912-E0226	P912-E0228	3	3	NO	PAGE_END_OPEN	SELECTx1>PREPAREx2	2	S:1;K:1;OK:1	Ansatz	NONE	NONE	Beim gezeigten Pflanzenmaterial stehen 3 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× auswählen, 1× zugeben, 1× ansetzen. Als Einsatzgrößen erscheinen Ansatz. Der Arbeitsgang bleibt für die folgende Klausel oder Seite offen.
P915-C010	f55v	HERBAL	P912-E0229	P912-E0236	8	6	YES	LICENSED_DY_CLOSE	PREPAREx1>EXECUTEx4>PREPAREx1	3	O:3;K:1;CH:1;CHD:1;T:1;OK:1	Entnahmestelle oder bezeichnetes Teil;Sollmaß;Portion	Durchlass	kurz;länger;vollständig	Beim gezeigten Pflanzenmaterial stehen 6 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× ausführen, 1× zugeben, 1× entnehmen, 1× umsetzen, 1× einstellen, 1× ansetzen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Sollmaß, Portion. Der Gang führt über Durchlass. Die notierten Wirkstufen sind kurz, länger, vollständig. Danach wird der Arbeitsschritt geschlossen.
P915-C011	f55v	HERBAL	P912-E0237	P912-E0258	22	14	YES	LICENSED_DY_CLOSE	EXECUTEx1>PREPAREx3>EXECUTEx1>TRANSFERx1>SELECTx1>PREPAREx2>SELECTx1>PREPAREx1>EXECUTEx1>PREPAREx1>EXECUTEx1	11	O:5;OK:4;K:3;S:2;CHD:2;CH:1	Entnahmestelle oder bezeichnetes Teil;Auszug;Sollmaß;Portion	Ziel- oder Anschlussstelle;Durchlass	kurz;länger;vollständig	Beim gezeigten Pflanzenmaterial stehen 14 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 5× ausführen, 4× ansetzen, 3× zugeben, 2× auswählen, 2× umsetzen, 1× entnehmen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Auszug, Sollmaß, Portion. Der Gang führt über Ziel- oder Anschlussstelle, Durchlass. Die notierten Wirkstufen sind kurz, länger, vollständig. Danach wird der Arbeitsschritt geschlossen.
P915-C012	f55v	HERBAL	P912-E0259	P912-E0263	5	5	NO	LICENSED_DY_CLOSE	PREPAREx1>SELECTx1>PREPAREx2>EXECUTEx1	4	K:2;OK:1;CH:1;O:1	Sollmaß;Portion	NONE	NONE	Beim gezeigten Pflanzenmaterial stehen 5 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× zugeben, 1× ansetzen, 1× entnehmen, 1× ausführen. Als Einsatzgrößen erscheinen Sollmaß, Portion. Danach wird der Arbeitsschritt geschlossen.
P915-C013	f55v	HERBAL	P912-E0264	P912-E0319	56	35	YES	LICENSED_DY_CLOSE	TRANSFERx1>EXECUTEx1>PREPAREx2>CONDITIONx1>PREPAREx2>CONDITIONx1>SELECTx1>PREPAREx2>CONDITIONx1>EXECUTEx1>TRANSFERx1>PREPAREx2>EXECUTEx1>PREPAREx7>EXECUTEx1>SELECTx1>PREPAREx2>EXECUTEx1>PREPAREx3>SELECTx1>CONDITIONx1>CONTEXTx1	22	K:11;OK:10;CHD:4;T:4;CH:3;O:3;CHK:2;SH:1;P:1;R:1;S:1	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß;Portion	Ziel- oder Anschlussstelle	kurz;länger	Beim gezeigten Pflanzenmaterial stehen 35 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 11× zugeben, 10× ansetzen, 4× umsetzen, 4× einstellen, 3× entnehmen, 3× ausführen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß, Portion. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind kurz, länger. Danach wird der Arbeitsschritt geschlossen.
