exact_tuple_id	surface_forms	deck_class	spoken_default	requires_active_register	register_update_or_result	apprentice_rule
2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	MEASURE_REFERENCE	in the stated or usual measure	active charge	reuse the rubric's stated measure	read the whole exact card; do not derive a new meaning from individual glyphs
dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	LIQUID_RELATION	with the foregoing liquid	foregoing liquid or preparation	attach it to the next charge/instruction	read the whole exact card; do not derive a new meaning from individual glyphs
b921a237be883a820352	chey|chy|dy|shy|sy|y	CHARGE_POINTER	this present charge	current preparation	make the present charge active	read the whole exact card; do not derive a new meaning from individual glyphs
bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	SETTLING_ACTION	let it stand and settle	mixed liquid	mixture rests and settles	read the whole exact card; do not derive a new meaning from individual glyphs
6f7ff8287eddf4da9fdb	chdy|chedy	MIXING_ACTION	stir until evenly mixed	two or more charges	uniform mixture	read the whole exact card; do not derive a new meaning from individual glyphs
276a7c2d74d1143446f4	choky|oky|qoky	APPLICATION_ACTION	apply or use the prepared substance	prepared substance	substance applied or used	read the whole exact card; do not derive a new meaning from individual glyphs
7d25241b0e56c836372a	qokeedy	MODERATE_HEATING	warm it to a tempered heat	mixture in vessel	tempered warm mixture	read the whole exact card; do not derive a new meaning from individual glyphs
dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	PLACE_REFERENCE	at the indicated place	active pictured/body place	route/application is locally bound	read the whole exact card; do not derive a new meaning from individual glyphs
b5fcea1eaed06b2f2291	okaiin|qokaiin	LOAD_NEXT_CHARGE	take up the next measured charge	next rubric entry	next measured charge active	read the whole exact card; do not derive a new meaning from individual glyphs
7db18b2f0fb7ed0fcfd3	qokedy	LOCAL_RINSE	pour or rinse it over the indicated place	liquid and active place	liquid poured or rinsed over place	read the whole exact card; do not derive a new meaning from individual glyphs
de7321bface5628e35d6	lchedy	COOLING_ACTION	let it cool to the ordinary setting	heated mixture	ordinary-temperature mixture	read the whole exact card; do not derive a new meaning from individual glyphs
0275fbf14e07935b0a45	okeey|qokeey	WARM_WATER_ADDITION	add warmed water	working vessel	warm-water medium present	read the whole exact card; do not derive a new meaning from individual glyphs
1645e612504fcef59ced	okain|qokain	VESSEL_TRANSFER	put the next measured charge into the vessel	measured charge	charge placed in working vessel	read the whole exact card; do not derive a new meaning from individual glyphs
7a4bb8136330ee4e6e56	chor|or|shor|sor	LIQUID_SELECTOR	the prepared liquid	prepared liquid available	prepared liquid active	read the whole exact card; do not derive a new meaning from individual glyphs
e0b630cb1b5df5e7105b	checthy|cthy|shcthy	READINESS_GATE	when the preparation is ready	preparation in process	following action licensed when ready	read the whole exact card; do not derive a new meaning from individual glyphs
308e8ea2d5d190c498e8	okal|qokal	CHARGE_MERGE	combine the two portions	two active charges	combined charge active	read the whole exact card; do not derive a new meaning from individual glyphs
4d4559019a961b834aa1	char|dar|sar	SEQUENCE_ADVANCE	then proceed	completed local act	proceed to next act	read the whole exact card; do not derive a new meaning from individual glyphs
259b2b3b0bf859882e2c	dchedy|schedy|tchedy	SINGLE_WASH_PASS	wash it through once	vessel/place and liquid	one washing pass complete	read the whole exact card; do not derive a new meaning from individual glyphs
2cc054357a929df85f64	cho|sho	HERBAL_OWNER_RESUME	as for the pictured plant	pictured plant dossier	pictured plant restored as clause owner	read the whole exact card; do not derive a new meaning from individual glyphs
2cc8bb3c2af19607888f	chckhy|shckhy	CHANNEL_ROUTE	through the joined channels	connected path available	liquid routed through joined channels	read the whole exact card; do not derive a new meaning from individual glyphs
b5df9126607030b95175	cheey|shey	CLARITY_GATE	until the liquid runs clear	flowing or settling liquid	following action licensed at clear outflow	read the whole exact card; do not derive a new meaning from individual glyphs
28ffbc88b97772a75f1e	olchedy|qolchedy	DECANTING_ACTION	draw off the clear liquor	settled liquid	clear upper liquor separated	read the whole exact card; do not derive a new meaning from individual glyphs
3b70942557b3a40e8030	olkeedy|solkeedy	CLARIFY_BY_SETTLING	let the liquid settle clear	cloudy liquid	settled clear liquid	read the whole exact card; do not derive a new meaning from individual glyphs
54d0e228ca346110af05	otaiin|sotaiin	DURATION_REFERENCE	for the same duration	previous timed act	same duration reused	read the whole exact card; do not derive a new meaning from individual glyphs
87411f84689b4f93a303	qokchdy	SINGLE_BOIL_PASS	bring it once to the boil	liquid in heatable vessel	one boil completed	read the whole exact card; do not derive a new meaning from individual glyphs
90bcf0a9ec0ef56399e6	otal|qotal	LOWER_OUTLET_ROUTE	toward the lower outlet	multi-level vessel/channel	flow directed to lower outlet	read the whole exact card; do not derive a new meaning from individual glyphs
9ad66e67803a12e745de	chokchy|okchy|qokchy	FRESH_PREPARATION_SELECTOR	use the fresh preparation	fresh plant preparation	fresh preparation active	read the whole exact card; do not derive a new meaning from individual glyphs
9da1b6ac2c929daea697	chkain|kain	ONE_CHARGE_VALUE	one measured charge	measure standard	one measured charge instantiated	read the whole exact card; do not derive a new meaning from individual glyphs
d68bc8de3bcee09db23c	shckhedy	CLOTH_FILTRATION	strain it through cloth	mixed liquid and cloth	strained liquid	read the whole exact card; do not derive a new meaning from individual glyphs
d904bf7b044dd3922781	cheky	LOW_HEAT_MODE	over a gentle heat	heating action	gentle-fire mode active	read the whole exact card; do not derive a new meaning from individual glyphs
